id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgzhDaWA__cYPiNJK6V4AaABAg	0	0	2020-11-21 01:19:26	GS Railfann	Climate is fake	UCtF8MfSVrYo14V0AhOAslng	http://www.youtube.com/channel/UCtF8MfSVrYo14V0AhOAslng	0		
Ugw_9bSCzIN6o3kcUrd4AaABAg	0	0	2020-11-14 21:25:35	Rajat Baniya	Lol..	UCZJGHnfdUkqkTmG6Sae3GWg	http://www.youtube.com/channel/UCZJGHnfdUkqkTmG6Sae3GWg	0		
UgxsSPezL3SAfE3_yBV4AaABAg	0	0	2020-11-14 14:33:33	Syria Siri	The poor countries on this planet no climate change is real , The rich deny it because of money , As usual the poor with nothing who live simple lives suffer in this Life , i am sure it will be the other way around in the next life ?	UCENTxy5qgGKVISBn4ZC-aLQ	http://www.youtube.com/channel/UCENTxy5qgGKVISBn4ZC-aLQ	0		
UgxsTGMDTiIyTtNS_np4AaABAg	0	2	2020-11-04 16:18:39	Catface Toons	Trump said global warming was a hoax just look at the ice caps tell that to the folks	UClHTnrRwkmTxcFHZfx9XtCQ	http://www.youtube.com/channel/UClHTnrRwkmTxcFHZfx9XtCQ	0		
UgwzhTw95yAWYzHWZFd4AaABAg	0	1	2020-10-31 22:15:38	Tim Popik	Why was it that California was not taking care of the forests? - zero forest management. Nature&#39;s way to manage forests is FIRE	UCuO182vdVG5OcPT5gKsk3dA	http://www.youtube.com/channel/UCuO182vdVG5OcPT5gKsk3dA	0		
UgzV9IKkUc63wQE3YRB4AaABAg	0	2	2020-10-31 14:11:54	Manzur E Khoda	Trump doesn&#39;t believe the words of scientists. He believes the words of right-wing conspiracy theorists.	UCtibUod5zNjwMdpvamHD--g	http://www.youtube.com/channel/UCtibUod5zNjwMdpvamHD--g	0		
Ugy7b9nDkNnxDH4SJHR4AaABAg	0	0	2020-10-29 21:09:22	Gregory Byrne	MILANKOVITCH cycles cause climate change.<br /><br />The climate cycles of our water planet are continental glaciers with lower sea levels brought on by Global tsunami&#39;s every 13 k years when the Precession of the north star aligns the equator with the solar orbital plane at the ecliptic&#39;s.<br /><br />Global warming is happening because as the axis of the earth continues to tilt towards the sun. More DIRECT sunlight reaches the higher latitudes poles. Warming the southern hemisphere heat sink oceans and thawing the northern hemisphere frozen co2 continents. Which is why temperature rises first and co2 follows. Cause and effect.<br /><br />Earth is a 4.5 billion year old closed loop that self regulates co2 with LIFE.<br />Dinosaurs didn&#39;t live of off the little bit of co2 unthawed released right now.<br />Nor did dinosaurs cause ClimateChange all of those other times throughout Earth&#39;s history.<br /><br />Covid19 is a Strawman built on the Baby BOOMERS turning Seniors Bust due to the usual suspects of seasonal FLU and old age.	UCt-iKA0I1Zq62df0-GbO0Fg	http://www.youtube.com/channel/UCt-iKA0I1Zq62df0-GbO0Fg	0		
Ugyt8pY2DyAdrSQ1xVJ4AaABAg	0	1	2020-10-27 22:45:13	Mammoth Bench	I’m in Minnesota and the weather is a lot colder than the previous years	UCRPew9Zfrp-Z275nb38IAIg	http://www.youtube.com/channel/UCRPew9Zfrp-Z275nb38IAIg	0		
Ugywmx95vVY1iiIWPnx4AaABAg	0	0	2020-10-18 18:15:55	terry richards	DEW WEAPONS WERE USED TO START FIRES..	UCj4xGA3qjAjSjV7EMF2Wvjg	http://www.youtube.com/channel/UCj4xGA3qjAjSjV7EMF2Wvjg	0		
UgwPzLq0fPQYRno3_Kp4AaABAg	0	1	2020-10-16 06:21:45	RAIDERNATOR	So why isn’t Canada on fire? 🤔 They just have better forest management then Commifornia. So climate change is responsible for that gender reveal party also??? haha 😂	UCn19aB5yvpE_dxgFT0csGjw	http://www.youtube.com/channel/UCn19aB5yvpE_dxgFT0csGjw	0		
