position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	tags	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	thumbnail_maxres	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCoMdktPbSTixAyNGwb-UYkQ	Sky News	rWqgrFDIX6c	2019-08-07T15:09:14Z	2019-08-07 15:09:14	The threat to the Amazon rainforest l A New Climate	Sky News reports from Brazil where 'super farming' has meant massive deforestation and a threat to the indigenous people of the Amazon. The next episode in our New Climate series by Sky's Stuart Ramsay. The Brazilian government argues it has the right to farm and to exploit its own natural resources. SUBSCRIBE to our YouTube channel for more videos: http://www.youtube.com/skynews Follow us on Twitter: https://twitter.com/skynews Like us on Facebook: https://www.facebook.com/skynews Follow us on Instagram: https://www.instagram.com/skynews For more content go to http://news.sky.com and download our apps: Apple: https://itunes.apple.com/gb/app/sky-news/id316391924?mt=8 Android https://play.google.com/store/apps/details?id=com.bskyb.skynews.android&hl=en_GB	SKY,NEWS,AMAZON,BRAZIL,RAINFOREST,SCIENCE,CLIMATE,NEW,SKY NEWS,ENVIRONMENT,CLIMATE CHANGE,DEFORESTATION,TRIBES,INPE,SPACE RESEARCH,GOVERNMENT,LOBBYING,TREES	25	News & Politics	PT11M21S	681	2d	hd	false	https://i.ytimg.com/vi/rWqgrFDIX6c/maxresdefault.jpg	1	163437	1260	142	0	307
2	UCHaHD477h-FeBbVh9Sh7syA	BBC Learning English	oFIqIrepQa0	2019-08-28T14:41:07Z	2019-08-28 14:41:07	The Amazon and climate change - Lingohack	Why is the Amazon rainforest important when it comes to climate change? We explain the science and bring you the English vocabulary to discuss it. The story… The Amazon and climate change Learn language related to… climate change Need-to-know language: carbon dioxide – gas produced when things containing carbon are burned heating up –making something hotter global warming – increase in Earth's temperature caused by gases preventing heat leaving deforestation – destruction of forests by people fossil fuels – remains of long-dead animals and plants to be burned for energy For more, visit our website: https://bbc.in/2L3leMm [Cover: Getty Images] Please use English when you comment. For more free English lessons and videos visit our website: http://www.bbclearningenglish.com	english videos,BBC,learn English,how to speak English,English speaking,English vocabulary,speak English,elt,bbc english,English teacher,英語,영어,อังกฤษ,Anh,English tutorial,Ingilizce ders,English grammar,IELTS,British English,English pronunciation,English lesson,English expressions,BBC Learning English,tefl,lingohack,climate change,rainforest,Amazon,tree,carbon dioxide,global warming	27	Education	PT3M36S	216	2d	sd	false	https://i.ytimg.com/vi/oFIqIrepQa0/maxresdefault.jpg		51201	1801	40	0	104
3	UC8p1vwvWtl6T73JiExfWs1g	CBS News	WJaqE3pOcd0	2019-04-22T16:03:45Z	2019-04-22 16:03:45	Deforestation creating climate issues for the Amazon rainforest	For Earth Day, CBS News correspondent Vladimir Duthiers spent three days in Brazil's Amazon rainforest, where he spoke to scientists about deforestation's effects on the climate. He joins CBSN from Brasilia, Brazil, to discuss what he discovered.	Earth day,climate watch,Amazon rainforest,deforestation,Climate Change,Global warming,greenhouse gas emissions,Carbon emissions	25	News & Politics	PT7M56S	476	2d	hd	false	https://i.ytimg.com/vi/WJaqE3pOcd0/maxresdefault.jpg	1	29128	279	18	0	73
4	UCpVm7bg6pXKo1Pr6k5kxG9A	National Geographic	Ic-J6hcSKa8	2017-08-21T17:00:03Z	2017-08-21 17:00:03	Climate 101: Deforestation | National Geographic	Forests cover about 30% of the planet, but deforestation is clearing these essential habitats on a massive scale. What is deforestation? Find out the causes, effects, and solutions to deforestation. ➡ Subscribe: http://bit.ly/NatGeoSubscribe About National Geographic: National Geographic is the world's premium destination for science, exploration, and adventure. Through their world-class scientists, photographers, journalists, and filmmakers, Nat Geo gets you closer to the stories that matter and past the edge of what's possible. Get More National Geographic: Official Site: http://bit.ly/NatGeoOfficialSite Facebook: http://bit.ly/FBNatGeo Twitter: http://bit.ly/NatGeoTwitter Instagram: http://bit.ly/NatGeoInsta Read more in "Deforestation explained" https://on.natgeo.com/2FTAeZ8 Climate 101: Deforestation | National Geographic https://youtu.be/Ic-J6hcSKa8 National Geographic https://www.youtube.com/natgeo	national geographic,nat geo,natgeo,animals,science,explore,discover,survival,nature,what is deforestation,effects,palm oil,solutions,global warming,forests,Climate 101,Forests cover,the planet,deforestation,a massive scale,Find out the causes,Forests cover about 30% of the planet,essential habitats on a massive scale,PLivjPDlt6ApRfQqtRw7JkGCLvezGeMBB2,PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb,PLivjPDlt6ApTjurXykShuUqp7LQcj9s8s,PLivjPDlt6ApRpidjp1zjROOCKru-89Q1_	27	Education	PT2M49S	169	2d	hd	true	https://i.ytimg.com/vi/Ic-J6hcSKa8/maxresdefault.jpg	1	737637	5555	262	0	582
5	UC4rlAVgAK0SGk-yTfe48Qpw	BRIGHT SIDE	n5U0-7-eKG4	2019-10-22T03:00:10Z	2019-10-22 03:00:10	Will We Lose Oxygen If We Lose the Amazon Rainforest?	The Amazon Rainforest is big news right now as fires continue to consume its lush landscape. It’s essential to our planet’s climate, ecosystem, and more. If we do nothing, the Amazon could be gone within 100 years. What would that mean for us? Well, did you know that a lot of the ingredients in our modern medicines come from the plants of the Amazon? These include the most important medications, such as essential vaccines. Millions of people depend on the Amazon basin for their income. So it would certainly be devastating for South American people. Also, if the fires continue, not only will we lose the huge oxygen source, but extra pollution will be released. And that is not all! Other videos you might like: A New Continent Is Discovered on Earth In the Pacific Ocean https://www.youtube.com/watch?v=bMncyN_C-pQ& 8 Tourists Attractions Humans Have Ruined Forever https://www.youtube.com/watch?v=CT81h82K3jQ What Will Happen to Us Before 2050? https://www.youtube.com/watch?v=Cip3LmqQ7Y0& TIMESTAMPS: We’d miss out on important medicine 0:24 The economy of South America would be ruined 0:53 The world would lose oxygen 1:20 There’d be a huge loss of wildlife 2:02 It would speed up global climate change 2:36 The Rainforest would become a carbon source 3:14 There would be a loss of natural resources 3:48 Soil Erosion 4:30 We could start seeing a cycle of more fires 5:02 Unpredictable drought and rainfall patterns 5:43 We could see disastrous floods 6:21 Overcrowded cities 6:59 Change in landscape 7:33 Hours of Daytime Darkness 7:59 A little bit more about deforestation 8:35 Is there anything we can do? 8:56 #Amazon #rainforest #brightside SUMMARY: - Many of the plants of the Amazon are still being studied today with the hope of finding ingredients that will cure some of our most serious diseases. - The Amazon Rainforest covers about 40% of South America, covering 8 countries. If it was suddenly gone, a lot of South America’s exports and businesses would disappear with it. - Our planet gets 20% of its oxygen from this Rainforest, due to its massive size. - Covering just over 2 million square miles, the Amazon is home to 30% of our planet’s wildlife. - If the Amazon were destroyed, you can kiss your morning joe goodbye, in addition to fruits, rice, and CHOCOLATE, just to name a few. - In addition to oxygen and medicinal plants, we’d also lose a substantial supplier of minerals, fresh water, and food. - Science has shown that rainforests, in general, influence the climate both globally and locally. - Unhealthy soil would add to the disaster: excessive rain + unanchored soil = mudslide. Farmland and homes would be overcome with rain and mud. - Rural people will be forced into the cities, which are already home to millions. This will cause overcrowding, which comes with its own problems. Music by Epidemic Sound https://www.epidemicsound.com/ Subscribe to Bright Side : https://goo.gl/rQTJZz ---------------------------------------------------------------------------------------- Our Social Media: Facebook: https://www.facebook.com/brightside/ Instagram: https://www.instagram.com/brightgram/ 5-Minute Crafts Youtube: https://www.goo.gl/8JVmuC Stock materials (photos, footages and other): https://www.depositphotos.com https://www.shutterstock.com https://www.eastnews.ru ---------------------------------------------------------------------------------------- For more videos and articles visit: http://www.brightside.me/	Amazon Rainforest,wilfires,forest fires,what if,future,human future,predictions,the future of Earth,what can happen to the world,climate change,global warming,pollution,environmental pollution,ecology problems,ecological disaster,clean the planet,save the planet,the planet’s lungs,Amazon’s trees,Soil Erosion,overcrowded cities,South America,overcrowding,deforestation	26	Howto & Style	PT10M1S	601	2d	hd	true	https://i.ytimg.com/vi/n5U0-7-eKG4/maxresdefault.jpg	1	117683	4372	145	0	629
6	UCLXo7UDZvByw2ixzpQCufnA	Vox	SAZAKPUQMw0	2019-11-21T13:00:07Z	2019-11-21 13:00:07	The destruction of the Amazon, explained	The 2019 fires were just the tip of the iceberg. This is Part 1 of Vox Atlas: The Amazon, a three-part series about the world's largest rainforest, why it's in jeopardy, and the people trying to save it. Watch all three parts right here on YouTube. Part 1: https://youtu.be/SAZAKPUQMw0 Part 2: https://youtu.be/e1_4JseKlO4 Part 3: https://youtu.be/oGjRNbXeRXI Become a Video Lab member! http://bit.ly/video-lab The Amazon rainforest has been reduced by about 17% since the 1970s. Cattle ranchers, loggers, and farmers are mostly to blame for the deforestation, but the demand driving them comes from all around the world. Brazil's economy depends on agriculture, especially beef and soy, which is grown on cleared land in the Amazon. Today, president Jair Bolsonaro, is weakening the environmental protections there in order to give agriculture more power. This came to a head when, in summer 2019, more than 30,000 wildfires burned in the Amazon, sparking worldwide outrage. Here are some sources I found particularly helpful while reporting for this story: Nepstad, et al. 2014 https://science.sciencemag.org/content/344/6188/1118 Umair Irfan, Vox: https://www.vox.com/science-and-health/2019/11/18/20970604/amazon-rainforest-2019-brazil-burning-deforestation-bolsonaro The Intercept: https://theintercept.com/2019/07/06/brazil-amazon-rainforest-indigenous-conservation-agribusiness-ranching/ Vox Atlas demonstrates where conflicts occur on a map and the ways in which foreign policy shapes a region. Watch all the episodes here: http://bit.ly/2SThVsf Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com. Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on Facebook: http://goo.gl/U2g06o Or Twitter: http://goo.gl/XFrZ5H Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on Facebook: http://goo.gl/U2g06o Or Twitter: http://goo.gl/XFrZ5H	amazon,rainforest,Brazil,Vox.com,vox,explain,explainer,bolsonaro,jair bolsonaro,save the amazon,save the rainforest,deforestation,logging,mining,farming,cattle ranching,soy,military dictatorship,greenpeace,environmentalism,environment,marina silva,brazil politics,ruralistas,bancada rurualista,amazon rainforest,vox atlas,amazon rainforest fire,amazon fire,rainforest fire,what is the amazon rainforest,amazon rainforest documentary,fire in the amazon rainforest	25	News & Politics	PT11M45S	705	2d	hd	true	https://i.ytimg.com/vi/SAZAKPUQMw0/maxresdefault.jpg	1	1961686	58125	2229	0	6149
7	UC6o-wWU-v2ClFMwougmK7dA	BBC Newsnight	-0qTyDzXf1c	2020-01-30T23:52:49Z	2020-01-30 23:52:49	Climate change: 'My last chance to save the Amazon rainforest' - BBC Newsnight	Newsnight was given rare access to a once-in-a-generation meeting of indigenous groups trying to save the Amazon. Subscribe to our channel here: https://goo.gl/31Q53F The number of fires in the Amazon rose by a third last year, according to the latest figures released this month. Environmental campaigners and indigenous groups have warned that the policies of Brazil’s populist leader Jair Bolsonaro have heavily contributed to the fires and to the destruction of the rainforest. Indigenous Chief Raoni Metuktire gathered leaders from across the Amazon to make a stand against further incursion into their lands. The assembled delegates drew up a manifesto to present to the government in Brasilia. International editor Gabriel Gatehouse reports. Newsnight is the BBC's flagship news and current affairs TV programme - with analysis, debate, exclusives, and robust interviews. Website: https://www.bbc.co.uk/newsnight Twitter: https://twitter.com/BBCNewsnight Facebook: https://www.facebook.com/bbcnewsnight	Amazon,Amazon fires,rainforest,Indigenous,Jair Bolsonaro,species,deforestation,Brazil,populist,South America,climate change,climate crisis,environmental policy,climate change deniers,global warming,science and technology,gloabl warming and climate change policy,amazon rainforest climate change,climate catastrophe,climate tipping point	25	News & Politics	PT6M48S	408	2d	hd	false	https://i.ytimg.com/vi/-0qTyDzXf1c/maxresdefault.jpg	1	4740	137	7	0	19
8	UC1raaXFgsFBSFR8qNgchF2g	GeoDiode	wq0asIXcW7w	2018-10-21T10:55:12Z	2018-10-21 10:55:12	Tropical Rainforest - Secrets of World Climate #1 (New Version)	NEWLY ENHANCED EDITION WITH AN EXTRA MINUTE OF FOOTAGE AND INFO! The tropical rainforest. When we hear this, maybe we think of steamy jungles of Indonesia and Malaysia, the Amazon, Borneo, Java, Bali, the Congo of Central Africa, or the lush islands of the South Pacific. See this part of the planet like you've never seen it before, in an original new earth documentary, exploring the geography of our planet's equatorial zone. I'll explain how it is that this region experiences huge amounts of rain all year round, the biodiversity that results from the combination of all this rain in this tropical heat, and the countries and cities that lie within its influence. The first episode in a geography series showcasing our beautiful planet, themed by all its major climate zones, here we show this part of the world in its full beauty, and uncover the secrets of why it is that way. Countries featured in this climate zone are: Costa Rica, The Dominican Republic, Puerto Rico, Colombia, Ecuador, Venezuela, Brazil, Peru, Bolivia, Congo, Uganda, New Guinea, Fiji, French Polynesia, Palau, Malaysia, Indonesia and The Philippines. Cities featured in this climatic region are: Singapore, Kuala Lumpur and Hilo. VIDEOGRAPHY AND PHOTOGRAPHY CREDITS EXTRA SPECIAL THANKS FOR PERMISSION TO USE FOOTAGE Milosh Kitchovitch (Congo Gorillas & Indonesia) https://youtu.be/2b9txcAt4e0 https://youtu.be/QyCAVHRiUKs AND SPECIAL THANKS TO THESE AWESOME SHARING AND CARING FOLKS IN THE CREATIVE COMMONS Center for International Forestry Research (CIFOR) - https://youtu.be/cBnbLJ5TzvE https://youtu.be/F3drbGqs3D0 Larry Syverson (Hilo) Ed Uthman (Big Island Hawaii) Frank Vassen (Madagascar) --- Please support the development of this channel by remembering to Like, Share and Subscribe. You can also support us by becoming a monthly sponsor with Patreon for as little as $1/month: http://patreon.com/geodiode Narrated, Written and Produced by B.J.Ranson Our main interaction page for feedback and commercial inquiries is currently via Facebook: http://www.facebook.com/geodiode/	climate change,climate zones,climates,climates around the world,world climate,world climate zones,world climate types,earth climate,earth documentary,tropical,rainforest,tropical rainforest,rain forest,jungle,selva,cities around the world,geography documentary,climate documentary,climate zones of the earth,climate zones of the world,list of climate zones,climate patterns,climate,climatic classification,the earth,major climatic regions,upsc,ias exam	27	Education	PT8M58S	538	2d	hd	true	https://i.ytimg.com/vi/wq0asIXcW7w/maxresdefault.jpg	1	67606	1104	67	0	207
9	UC1raaXFgsFBSFR8qNgchF2g	GeoDiode	kw6DCp9xvWw	2018-03-12T19:03:56Z	2018-03-12 19:03:56	Tropical Rainforest - Secrets of World Climate #1	THIS VIDEO IS THE OLD VERSION - A NEWLY REVISED AND ENHANCED VERSION CAN BE FOUND HERE: https://youtu.be/wq0asIXcW7w The tropical rainforest. When we hear this, maybe we think of steamy jungles of Indonesia and Malaysia, the Amazon, Borneo, Java, Bali, the Congo of Central Africa. See this part of the planet like you've never seen it before, in an original new earth documentary, exploring the geography of our planet's equatorial zone. I'll explain how it is that this region experiences huge amounts of rain all year round, the biodiversity that results from the combination of all this rain in this tropical heat, and the countries and cities that lie within its influence. The first episode in a geography series showcasing our beautiful planet, themed by all its major climate zones, here we show this part of the world in its full beauty, and uncover the secrets of why it is that way. Countries featured in this climate zone are: Costa Rica, The Dominican Republic, Puerto Rico, Colombia, Ecuador, Venezuela, Brazil, Peru, Bolivia, Congo, Uganda, New Guinea, Fiji, French Polynesia, the Solomon Islands, Malaysia, Indonesia and The Philippines. Cities featured in this climatic region are: Singapore, Kuala Lumpur, Hilo and Iquitos. Please support the development of this channel by remembering to Like, Share and Subscribe. You can also support us by becoming a monthly sponsor with Patreon for as little as $1/month: http://patreon.com/geodiode Narrated, Written and Produced by B.J.Ranson Our main interaction page for feedback and commercial inquiries is currently via Facebook: http://www.facebook.com/geodiode/	climate change,climate zones,climates,climates around the world,world climate,world climate zones,world climate types,earth climate,earth documentary,tropical,rainforest,tropical rainforest,rain forest,cities around the world,geography documentary,climate documentary,climate zones of the earth,climate zones of the world,list of climate zones,climate patterns,climate,climatic classification,the earth,major climatic regions,upsc,ias exam	27	Education	PT7M50S	470	2d	hd	true	https://i.ytimg.com/vi/kw6DCp9xvWw/maxresdefault.jpg	1	192668	2481	122	0	318
10	UCoMdktPbSTixAyNGwb-UYkQ	Sky News	FlZBPbP56ZM	2020-01-04T20:49:52Z	2020-01-04 20:49:52	Climate crisis: UK's "rainforest equivalent" is under threat	Targets to end the use of peat-based products will be missed in what environmentalists say is a massive blow in the UK's carbon-reduction targets. Peat is an organic material that takes hundreds of years to develop. Natural England estimates the UK has lost around 94% of its peatlands over the past century, through agricultural development, forestry and mining for use in horticulture. SUBSCRIBE to our YouTube channel for more videos: http://www.youtube.com/skynews Sky News videos are now available in Spanish here/Los video de Sky News están disponibles en español aquí: https://www.youtube.com/skynewsespanol Follow us on Twitter: https://twitter.com/skynews Like us on Facebook: https://www.facebook.com/skynews Follow us on Instagram: https://www.instagram.com/skynews For more content go to http://news.sky.com and download our apps: Apple: https://itunes.apple.com/gb/app/sky-news/id316391924?mt=8 Android https://play.google.com/store/apps/details?id=com.bskyb.skynews.android&hl=en_GB	SKY NEWS,SKY,NEWS,LIVE,BREAKING,CLIMATE,CHANGE,CLIMATE CHANGE,CRISIS,PEATLANDS,BOGS,RAINFOREST,PEAT,CARBON,REDUCTION,NATURAL CARBON,NATURAL ENGLAND,AGRICULTURE,FORESTRY,MINING,GARDENING,GREEN,LAKE DISTRICT,B&Q	25	News & Politics	PT2M58S	178	2d	hd	false	https://i.ytimg.com/vi/FlZBPbP56ZM/maxresdefault.jpg	1	14728	196	56	0	56
