,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at,search_term
0,UgxmLxU4DhRD5Ht05Gl4AaABAg,0.0,1.0,2021-03-14T13:41:37Z,Erik Bouma,"The reason why people deny climate change are small flaws in the story. A good example is the 97% of all scientists agree or the “extinction” of the polar bear. I am well aware of global warming and we do have influence on it. (Co2). But stating that the science is settled is never ever correct. It is a fact that there are a lot of scientists who don’t agree on the current theory of us being the main reason for global warming. If you want to win an argument with a global warming denier. Try and find the scientific articles that deny our influence on it. The best way to win a war is to look thru your opponents eyes. You will find that not everything they say is wrong. And they will use that to confirm their story. Trust me, if you really research global warming. Maybe you will understand them a bit. Only then will you be able to convince them.",UCPcO6d4MTawvL0KEMJJxF6w,0.0,UgxmLxU4DhRD5Ht05Gl4AaABAg,9M29ns1rUSE,2019-11-13T17:00:03Z,climate crisis
1,UgxD8hNqa--vRMsRqQ94AaABAg,0.0,0.0,2021-03-13T15:01:38Z,Thomas Woodworth,"How to talk to global warming believers might be a better topic. They don't seem to like facts, like there are record numbers of polar bears, sea gauges show no rise in sea levels ( the gauges have been in use since the 1870's ),  and the hockey stick graph was proven false ( the British Inspector General found Dr. Mann had lied about his findings ).",UCku1s9Hc0ggOa65VGujlYJw,0.0,UgxD8hNqa--vRMsRqQ94AaABAg,9M29ns1rUSE,2019-11-13T17:00:03Z,climate crisis
2,Ugyps7GeH3FP0xd11Dt4AaABAg,0.0,0.0,2021-03-13T08:59:23Z,John Wedderburn,"You are speaking from an American point of view. Here in the UK, Conservatives accept Anthropogenic Climate Change as real. As for reaching American Republicans.
Talk to their wallets and their xenophobia.
So, talk about how renewable energy will save them money and make America energy independent. Also, throw in that it will deprive Islamic OPEC nations of revenue!",UCEh_y2Yxal0lk585D6JmeDQ,0.0,Ugyps7GeH3FP0xd11Dt4AaABAg,9M29ns1rUSE,2019-11-13T17:00:03Z,climate crisis
3,UgzEHBTfxH2S50pQ7AV4AaABAg,0.0,0.0,2021-03-09T10:02:20Z,L0,you cannot cure stupid.,UCby9TXd_YV3wxOTFMwQURDQ,0.0,UgzEHBTfxH2S50pQ7AV4AaABAg,9M29ns1rUSE,2019-11-13T17:00:03Z,climate crisis
4,UgzbQzT6xJiJIhJ3Tp14AaABAg,0.0,0.0,2021-03-09T10:01:28Z,L0,the most practical way to deal with climate change is to adapt to it.,UCby9TXd_YV3wxOTFMwQURDQ,0.0,UgzbQzT6xJiJIhJ3Tp14AaABAg,9M29ns1rUSE,2019-11-13T17:00:03Z,climate crisis
5,UgwIRWBWE_QGd5eBae54AaABAg,0.0,0.0,2021-02-27T21:40:40Z,Patrick O'Neill,You are never going to convince anybody of man made climate change using this strategy I just watch some videos by people that you would call climate deniers and they are using pseudoscience those people had hard facts graphs they talked about methodologies used on studies you haven't told me a single fact the only thing you've done in this video is tell me how I can manipulate people if you really want to convince me then you need to go to these climate denier websites put the videos up and then tell me why they're wrong if you can't do that then you're just a waste of my time,UCN2Jn8-8m6-Bac8nCK5y0tg,0.0,UgwIRWBWE_QGd5eBae54AaABAg,9M29ns1rUSE,2019-11-13T17:00:03Z,climate crisis
6,UgysYWa6Xld1IKYSKfR4AaABAg,1.0,1.0,2021-02-22T16:05:54Z,The Hidden Hand,Climate change is a money making scam,UCZ3rmmXrMVUClkb8U6c10eg,0.0,UgysYWa6Xld1IKYSKfR4AaABAg,9M29ns1rUSE,2019-11-13T17:00:03Z,climate crisis
7,UgysYWa6Xld1IKYSKfR4AaABAg,0.0,2.0,2021-02-27T08:12:11Z,a potato,Moron,UCL_VNta7feJKnejmBCIoSlA,1.0,UgysYWa6Xld1IKYSKfR4AaABAg,9M29ns1rUSE,2019-11-13T17:00:03Z,climate crisis
8,UgyPtkGBwXh1MXrRu814AaABAg,0.0,0.0,2021-02-20T09:23:47Z,Toğrul Məmmədov,"Sunshine, it's not that people deny it but u can't prove that Global warming is a result of human actions and by certain actions that we take we'll be able to reduce the warming. Yeah, and I know plastic pollution or oil in seas and oceans is not for good neither the factories which polluting our air but my point is we shouldn't name it as a ""saving the planet"" but ourselves.",UCuLoP9BDlQRsmyCoWEkfxzA,0.0,UgyPtkGBwXh1MXrRu814AaABAg,9M29ns1rUSE,2019-11-13T17:00:03Z,climate crisis
9,Ugw1Uy1D39ZHIQ7ibvJ4AaABAg,0.0,0.0,2021-02-19T20:13:02Z,Roy Curtis Millen,How to talk to Climate Change Believers - Show them the lack of sea level rise. Show them Carbon is a basic building block of life and that plants breathe it and actually thrive when there is more carbon in the air. Show them that actually the carbon levels rise from the oceans AFTER there is a rise in temperature. There are so many real scientific facts that show Global Warming to be a nothing burger to type.,UCuPaYcUkUPoGtoa2a_4UiMA,0.0,Ugw1Uy1D39ZHIQ7ibvJ4AaABAg,9M29ns1rUSE,2019-11-13T17:00:03Z,climate crisis
