,id,threadId,published_at,author_name,text,likeCount,is_reply,cleaned,video_id,video_published_at
0,UgyNCm-SjOqd7jwszL54AaABAg,UgyNCm-SjOqd7jwszL54AaABAg,2021-02-08T14:44:35Z,Richard Fritz,Al Gore laughing all the way to bank,0.0,0.0,,cVkAsPizAbU,
1,UgxSiQA3GhONLu6aJjx4AaABAg,UgxSiQA3GhONLu6aJjx4AaABAg,2021-02-08T05:57:30Z,Lawrence,The Global Warming idea was simply introduced by the U.S to substitute for the tension which would disappear with the collapse of the Iron Curtain/Berlin Wall in 1989. That's its primary purpose.,0.0,0.0,,cVkAsPizAbU,
2,UgyMSdJQGbhRJZDlzat4AaABAg,UgyMSdJQGbhRJZDlzat4AaABAg,2021-02-08T05:16:51Z,John Rose,"The Paris agreements make no sense if China and India are not following them...  The US and some European countries have recently met their agreement goals and exceed the goals...just about 30% reduction in CO... However, China is at 5 TIMES the CO output than in 1978..due to burning COAL at an all time high... They are burning coal to produce cheap power...this is great for industry and production as well as consumer usage...Ultimately this will increase the China's GNP and GDP... While other countries are trying to go green, this is a burden on industry and very costly, China continues to cheat and disregard the Paris agreements.. Ultimate goal is to increase it's YEN market value....",0.0,0.0,,cVkAsPizAbU,
3,UgyBw2Ka2wUgZdad5h14AaABAg,UgyBw2Ka2wUgZdad5h14AaABAg,2021-02-07T23:22:19Z,James Everett,Typical Left wing smoke blowing in order to look virtuous without doing anything virtuous.,0.0,0.0,,cVkAsPizAbU,
4,UgxhcGVxIyoY3dfrNex4AaABAg,UgxhcGVxIyoY3dfrNex4AaABAg,2021-02-07T19:44:39Z,medexamtoolsdotcom,"One of the favorite tricks of the political left, is to try to guilt you into supporting something by NAMING it something that makes you think ""how could you possibly be against this"". Another one is VAWA, the violence against women act. You'd think ""how can you be against this act unless you're in favor of violence against women"", but that title hides the fact that it's all about taking civil rights away from men.",0.0,0.0,,cVkAsPizAbU,
5,UgxfIU_FdUf5oZKTbRd4AaABAg,UgxfIU_FdUf5oZKTbRd4AaABAg,2021-02-07T16:11:51Z,Michael,"SO, IN OTHER WORDS...... ITS TOO LATE..",0.0,0.0,,cVkAsPizAbU,
6,UgzxkC5VjQaRSJ6m3wV4AaABAg,UgzxkC5VjQaRSJ6m3wV4AaABAg,2021-02-07T12:44:33Z,Steve McQueen,President Senile put America back onto chopping block,1.0,0.0,,cVkAsPizAbU,
7,Ugyb2JgYY-odrV8SLCx4AaABAg,Ugyb2JgYY-odrV8SLCx4AaABAg,2021-02-06T23:49:35Z,Jordan Cook,And now we’re back in.  Can’t you just feel how much Biden cares about climate change?  Warms the soul.  I just hope my sarcastic tone is coming across in print.,3.0,0.0,,cVkAsPizAbU,
8,UgxCTDny09lBJlPNuLZ4AaABAg,UgxCTDny09lBJlPNuLZ4AaABAg,2021-02-06T19:46:50Z,Nick Kopecke,"Praised by Maubama to make it impossible for the US to afford these changes to factories thereby sending jobs back to China,India where they will pollute even more.",1.0,0.0,,cVkAsPizAbU,
9,UgxJovYELU2fGRg9yaV4AaABAg,UgxJovYELU2fGRg9yaV4AaABAg,2021-02-06T18:35:47Z,Joe Petrucce,"A tree converts carbon dioxide, but they never talk about possible solutions",1.0,0.0,,cVkAsPizAbU,
