,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgzIAYKQdWmCEaTtint4AaABAg,18.0,111,2020-07-29 19:00:59,SoulPancake,This show was filmed in December before Covid became a pandemic.<br />We strongly believe in wearing masks and social distancing.<br />Climate Change is real. Well proven science is real.<br />Thanks for listening to our Ted Talk.,UCaDVcGDMkvcRb4qGARkWlyg,0,UgzIAYKQdWmCEaTtint4AaABAg,2nIMQrpDgaQ,2020-07-28 15:59:50
1,UgzIAYKQdWmCEaTtint4AaABAg.9BhfU675epW9J10ugnSG00,,0,2021-01-27 16:21:33,legendno1,well concensus isnt science. most folks are single studies academias who arent looking for truth but looking to get published. youre bullied in the sciences for questioning them despite how openminded they act.,UCVO2Plp8g1PZqvh5Z1nEJQA,1,UgzIAYKQdWmCEaTtint4AaABAg,2nIMQrpDgaQ,2020-07-28 15:59:50
2,UgzIAYKQdWmCEaTtint4AaABAg.9BhfU675epW9Dy7V35DNBy,,0,2020-09-23 21:25:09,Morrie C,"@Stephen Martin I wasn't talking about destroying the earth, but at some point in time we will have a big enough explosive device to alter the mass of earth, sending it into a different orbit, which may just crash into some other planet or the sun, thereby destroying the earth by humanities hand. I presume god's creation include the environment; That is what I was talking about. Calling someone a fool IS insulting their intelligence by the definitions I provided in my last?! Don't recall ever blaming you for what you propertedly have accomplished, but people are going to get the impression that you think of yourself as smarter than them if you drop it unprompted into conversation. You can get a PhD in subjects other than science, and I doubt getting a PhD in HR for example implies you have more awareness than anyone you would speak to about core science subjects.",UCZ7lfwXed_eXb3H_rT1gzUA,1,UgzIAYKQdWmCEaTtint4AaABAg,2nIMQrpDgaQ,2020-07-28 15:59:50
3,UgzIAYKQdWmCEaTtint4AaABAg.9BhfU675epW9Dy49-89Pvo,,0,2020-09-23 20:55:56,Morrie C,"@Stephen Martin It is not about how you view PhD's. It is about how others take you deciding to include you have a PhD. Again, if the science is peer reviewed, there should be no need to mention the original author of the research. Fool: ""A silly or stupid person, a person who lacks judgement or sense"". Intelligence: ""The ability to acquire and apply knowledge and skills"". Roy Spencer has been quoted as saying that he doesn't believe man can destroy god's creation. God is faith; Science is empirical. I switch off after someone presents their opinion or justifies research based on faith.",UCZ7lfwXed_eXb3H_rT1gzUA,1,UgzIAYKQdWmCEaTtint4AaABAg,2nIMQrpDgaQ,2020-07-28 15:59:50
4,UgzIAYKQdWmCEaTtint4AaABAg.9BhfU675epW9Dxokf822yW,,0,2020-09-23 18:32:39,Morrie C,"@Stephen Martin Roy Spencer seems to believe there is no ramifications for putting tonnes upon tonnes of CO2 in the environment because their is some magical process that removes any amount we produce from it. That is what I trust you believe, otherwise we wouldn't be having this discussion. Mentioning you have a PhD will result in the assumption you are proclaiming your intelligence by most. Don't believe me, try engaging another random person on a page of a certain pro-<name your subject> page, mention you have a PhD, and see the reaction. Calling anyone a fool is an insult to their intelligence. Never mentioned green new deal. There is more than 2 viewpoints on the problem and the solution. Oh, and, keep on saying I am touchy, hysterical, or any other emotional label you wish. If we were in person you would not hear any tone of voice or body language that would quantify any of it.",UCZ7lfwXed_eXb3H_rT1gzUA,1,UgzIAYKQdWmCEaTtint4AaABAg,2nIMQrpDgaQ,2020-07-28 15:59:50
5,UgzIAYKQdWmCEaTtint4AaABAg.9BhfU675epW9DxjdMjVc0i,,0,2020-09-23 17:47:58,Morrie C,"@Stephen Martin Again, I know of Roy Spencer and his views. You obviously believe him, which I trust fits with your information bias. My information bias is different and no amount of labels you want to apply to me (you realise this is unscientific in and of itself, right?), Or profession of your self proclaimed intelligence, is going to change that.",UCZ7lfwXed_eXb3H_rT1gzUA,1,UgzIAYKQdWmCEaTtint4AaABAg,2nIMQrpDgaQ,2020-07-28 15:59:50
6,UgzIAYKQdWmCEaTtint4AaABAg.9BhfU675epW9DxeWLIZAbk,,0,2020-09-23 17:03:11,Morrie C,"@Stephen Martin Wow, yeah, let's assume I haven't done research on this subject. Oh, and while we are at it, assume that you are right. I'm out. I can see no benefit to continuing. No-one else is going to be reading this far into our exchange.",UCZ7lfwXed_eXb3H_rT1gzUA,1,UgzIAYKQdWmCEaTtint4AaABAg,2nIMQrpDgaQ,2020-07-28 15:59:50
7,UgzIAYKQdWmCEaTtint4AaABAg.9BhfU675epW9DxeF4-QEya,,0,2020-09-23 17:00:50,Morrie C,"@Stephen Martin Should have addressed this in my last. You are reading emotion into my reply where there is none intended. I have listened to their talks and haven't seen any peer reviewed articles that cite any actual science from the people you mention, and if I recall correctly nothing more than lamen's explanations of complex data in the videos from them I have seen. I didn't accuse anyone of taking oil finding; I asked if you had considered it. Big difference. I support science that is peer reviewed, not science that isn't. Seeing as the peer review process includes a large body of scientists, there is no need to name every one of them. This is about evidence, not who is disseminating the information. I don't know what you hope to achieve by replying again and again. Do you think I will change my mind and listen to non-peer reviewed science because I just realised this fits my world view. From the getgo I didn't expect the same from you, just wanted to see what sources fits your world view and how deep the rabbit hole goes. I won't insult you by calling you names, just suggest if not already familiar with information bias, it should be looked up. This is the crux of our discussion now.",UCZ7lfwXed_eXb3H_rT1gzUA,1,UgzIAYKQdWmCEaTtint4AaABAg,2nIMQrpDgaQ,2020-07-28 15:59:50
8,UgzIAYKQdWmCEaTtint4AaABAg.9BhfU675epW9DxZohOoJw-,,0,2020-09-23 16:13:24,Morrie C,"@Stephen Martin ""I do not share your fanaticism and hysteria over the climate"" - That is clear, and is unfortunate, because there is the climate science predicting what can happen (that we could assume is false, or put measures in place to help ensure it doesn't happen... Like buying insurance) and then there is effects that have lifestyle/life implications, whatever they are caused by. However, I see little point in discussing this further if we don't agree on what 1 degree of warming can do and we don't accept the ""science"" from the same groups. One final thought - You don't think it at least possible that those ""scientists"" you mention are being paid by the fossil fuel industry to hide the truth (if I knew my industry was damaging the environment and didn't care, this would certainly be what I would do. And it isn't the first industry that has had evidence come out of doing similar). Actually, forget the question. The answer is no doubt going to be that the group of scientists I believe must be hiding the truth to get more research money. What a weird world we live in when empirical evidence (what science is based on) can be bent to the world view of each of us.",UCZ7lfwXed_eXb3H_rT1gzUA,1,UgzIAYKQdWmCEaTtint4AaABAg,2nIMQrpDgaQ,2020-07-28 15:59:50
9,UgzIAYKQdWmCEaTtint4AaABAg.9BhfU675epW9DxY3gIOnPy,,0,2020-09-23 15:58:06,Morrie C,"@Stephen Martin This is not an exact science. I can't make excuses for the timetable that has been published prior (perhaps the media hyped it up... bad people who break into computer systems are called crackers, not hackers, but clearly one sounded better to the media! ; perhaps the determination wasn't peer reviewed ; perhaps this was their best guess at the time). What can't be denied is the ice caps are melting (pictures from agencies with means to do so; asking the locals; ideally yourself travelling to the poles as close to 1900's as possible given your age and then again now to see for oneself if that is what is needed if no-one else can be trusted to provide accurate info) and the greenhouse effect is the only explanation I have heard/makes sense. If this is unbelievable, one can look at this subject from the perspective of emissions. One wouldn't sit in a well insulated garage with an ICE engine running, unless they wanted to end their life. Earth is a closed ecosystem. Anything that goes in the air is what can be breathed in by us humans. Trees filter out carbon dioxide (though there are less trees these days to suck up all of the emissions than when when we were smaller in population, and when they burn they release this stored carbon), but not a number of other emissions from our modern lifestyle, so them and CO2 have been building up in the atmosphere and affecting (to a greater degree as we continue to put them into the air) our health. From a environmental perspective I really cannot see any logic against reducing emissions.",UCZ7lfwXed_eXb3H_rT1gzUA,1,UgzIAYKQdWmCEaTtint4AaABAg,2nIMQrpDgaQ,2020-07-28 15:59:50
