,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,Ugi1ofMVnN0qC3gCoAEC,1.0,96,2017-06-03 04:37:02,Rizky Wahyu Ramadhan,Plot Twist: they elected donald trump which denies climate change deal,UCRE1d24guaCEqsZfwqu9PTA,0,Ugi1ofMVnN0qC3gCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
1,Ugi1ofMVnN0qC3gCoAEC.8TKorLhPYg-9J1i3m4iMNm,,3,2021-01-27 22:47:25,Eric Zapata,Plot twist x2: then Joe Biden came to be president and joined back and un denies climate change deal,UCEds1wWgdnP9mc9i--mUGJg,1,Ugi1ofMVnN0qC3gCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
2,Ugw-DNAyoibcyhr8OG14AaABAg,0.0,32,2018-01-14 17:05:40,Robert Li,Little did they know the US elected Trump lol,UC2aRoBecl6wCLAgLpWp8qIw,0,Ugw-DNAyoibcyhr8OG14AaABAg,3tnDjCA4peY,2015-12-14 20:36:32
3,Ugg1stDSGAaYnngCoAEC,2.0,21,2017-06-03 04:43:10,Lud3re,And now the US walked out on the Paris Climate Agreement.,UCgH25IJbyyk4wMOpOJnuP5w,0,Ugg1stDSGAaYnngCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
4,Ugg1stDSGAaYnngCoAEC.8TKpZIcnyvQ9K5cc5u0yCu,,0,2021-02-23 07:48:10,pie pile,@Levi Voth YAY😁,UC4ipnuEunms0ir39qPD-uvQ,1,Ugg1stDSGAaYnngCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
5,Ugg1stDSGAaYnngCoAEC.8TKpZIcnyvQ9JVhkJVlEdt,,0,2021-02-08 14:21:50,Levi Voth,and now they’re back lol,UC6hTVNsoAoW3Kaa6Sh5M-jg,1,Ugg1stDSGAaYnngCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
6,Ugh28xG9-FdtingCoAEC,0.0,10,2015-12-14 21:23:04,atef rod,gladd to see my country is one of the cleanest! (Morocco),UCrUYXBjaXhNixzESatL9wtA,0,Ugh28xG9-FdtingCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
7,UgjFN0YV8yzpuHgCoAEC,0.0,19,2015-12-14 22:37:11,Rick Sanchez,"Animal agriculture, not a word spoken about it probably.",UCuUYD3f1YNYQIemisL_WUMQ,0,UgjFN0YV8yzpuHgCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
8,UgyNBD70qpZzbYYfadJ4AaABAg,0.0,5,2020-02-17 10:29:17,Panzer,"Hahahahaaa, that last part didn&#39;t age well at all :&#39;)",UCVMHSspvTjEVur_iMqJvlUA,0,UgyNBD70qpZzbYYfadJ4AaABAg,3tnDjCA4peY,2015-12-14 20:36:32
9,UgjFZ9ipD_wl13gCoAEC,0.0,5,2015-12-15 00:38:54,Nickie Love,I would love to see a video about the impact of animal agriculture on the environment!,UCOxXq3t-XVGqlpU6ItvITNg,0,UgjFZ9ipD_wl13gCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
10,UghzN0EW2pv68HgCoAEC,19.0,52,2015-12-14 20:57:48,Maxtez,"<a href=""http://www.youtube.com/watch?v=3tnDjCA4peY&amp;t=1m20s"">1:20</a><br />Ummm... What about animal agriculture and livestock?",UCTEnbsF5hNqEh8wlJJJRU7A,0,UghzN0EW2pv68HgCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
11,UghzN0EW2pv68HgCoAEC.87kqDsWfXmt9IInHclLU9I,,0,2021-01-09 17:28:41,Geoff,"Oh they'll come after all that too. This deal has absolutely nothing to do with CC - only with money, special interests, power and control.",UCPXwH4YLuHEGb7uLyWUgdew,1,UghzN0EW2pv68HgCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
12,UghzN0EW2pv68HgCoAEC.87kqDsWfXmt8TTCNVYDKNU,,0,2017-06-06 10:45:12,Alem Pongen,Maxtez full of optimism in this video but look at now.,UCMwLJ3iJerLbiOew6dmOJ3g,1,UghzN0EW2pv68HgCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
13,UghzN0EW2pv68HgCoAEC.87kqDsWfXmt8FxFHGuR4hH,,0,2016-07-05 12:47:30,DH Snakes,I KNOW RIGHT?!,UCs1My1OiJuH52B7RjR7gl8g,1,UghzN0EW2pv68HgCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
14,UghzN0EW2pv68HgCoAEC.87kqDsWfXmt8BMS2Aa61HD,,0,2016-03-13 10:22:19,LRN_News,"@MetaKnight964 Meat takes entirely too much space and imagine hoe much a beef drinks water in a single day, on top of that, it pollutes.",UCIxVKIEpUKUtSZY2Yx4WK1w,1,UghzN0EW2pv68HgCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
15,UghzN0EW2pv68HgCoAEC.87kqDsWfXmt8BMEVSu1ODi,,0,2016-03-13 08:23:59,MetaKnight964,@Vincent Deschenes What about meat?,UCDvq5gzsOih1cvu-eWRpq_w,1,UghzN0EW2pv68HgCoAEC,3tnDjCA4peY,2015-12-14 20:36:32
