,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgwX3ltJ78rtXAoKJEt4AaABAg,2.0,17,2019-06-29 14:57:55,Philosophy Tube,&quot;Say it Mike. Say the words!&quot;<br />Mike Rugnetta: &lt;Sigh&gt; &quot;Here&#39;s an idea.&quot;<br />&lt;cheering&gt;,UC2PA-AKmVpU6NKCGtZq_rKQ,0,UgwX3ltJ78rtXAoKJEt4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
1,UgwX3ltJ78rtXAoKJEt4AaABAg.8wlZsLHBOy69BBb6hKI2vh,,1,2020-07-16 22:47:54,Mister Nym,"This video was recommended by my professor because of its relation to Annihilation, along with some others about Dark Ecology. Guess where I'm going to go next to get extra information?",UCxo4QEvUmopdn74sWscPbAw,1,UgwX3ltJ78rtXAoKJEt4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
2,UgwX3ltJ78rtXAoKJEt4AaABAg.8wlZsLHBOy69-ljHjXEMDj,,0,2019-10-07 02:34:29,J Stockman,"Hmm, I wonder if this had anything to do with your video. On a sidenote, while I know in an AMA before you've said you weren't familiar enough with their work, I wonder if you could do a video on the though of Gilles Deleuze and Felix Guattari? Perhaps presenting one aspect such as the Nomad War Machine, or perhaps the relation between indigenous ways of seeing the world and Nomadology, or perhaps on the resurgence of nonhuman subjectivity with people like Ian Bogost, Graham Harman, Donna Haraway, Jane Bennett, Karen Barad, and of course Timothy Morton, as many of the are inspired by Deleuze's concepts like singularities and multiplicities. Or, perhaps a video on the thought of Antonio Negri and Michael Hardt, heavily influenced by Deleuze and Guattari. Or perhaps some combination of all three. But probably something I'm not even thinking of. (Yes, this is very parasocial. So be it. It may be my best chance of seeing this video made.)",UC6CyDcTt30U9jvOFffOcoRQ,1,UgwX3ltJ78rtXAoKJEt4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
3,UgyIpLyF4sDGn6nxTTF4AaABAg,1.0,116,2019-05-23 18:51:43,Crow Armbrust,"I am a simple man: I see Mike Rugnetta, I click.",UCN_qS6fm3qIoB8cJ_PqYOCA,0,UgyIpLyF4sDGn6nxTTF4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
4,UgyIpLyF4sDGn6nxTTF4AaABAg.8vHiDLIh5gh8vKG9XprbOC,,4,2019-05-24 18:35:30,Jack Roy Meyer,I've been missing him too.,UCXJaTy1Op-gRlVzIRrr3HRQ,1,UgyIpLyF4sDGn6nxTTF4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
5,UgxyT12CWi2VUCvgKXF4AaABAg,1.0,74,2019-05-23 18:57:42,ayamkremes,Mike Rugnetta happy to see you again man!,UCIkC2dI_jA3-3lioWOrp4Ig,0,UgxyT12CWi2VUCvgKXF4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
6,UgxyT12CWi2VUCvgKXF4AaABAg.8vHiu82slSW8vHq_kqBIcD,,18,2019-05-23 20:04:49,Mike Rugnetta,Happy to be seen! :D,UCDAXXrX2uUwvy7NXpPJWAAg,1,UgxyT12CWi2VUCvgKXF4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
7,UgxgWfjLyL_y2wSGech4AaABAg,2.0,40,2019-05-24 03:07:18,ragamuffin,Honestly I found this video was way more confusing than climate change...,UC3mE3ppPez9Pijo8_D4VdHw,0,UgxgWfjLyL_y2wSGech4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
8,UgxgWfjLyL_y2wSGech4AaABAg.8vIaw8QMFYg9ALBOgMXmgE,,0,2020-06-25 19:35:26,bazoo513,"Watch it again, guys, and think beyond the immediate metaphors. Then again, perhaps you just think in different patterns.",UCHl4V_3zuJBz3iGpvftzNpw,1,UgxgWfjLyL_y2wSGech4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
9,UgxgWfjLyL_y2wSGech4AaABAg.8vIaw8QMFYg8vJMw2i9L-p,,0,2019-05-24 10:15:27,Christoph Ka,Redpandaflying I wanted to write same thing...,UCdwQVWXpNbCaDqqyRDgoVoA,1,UgxgWfjLyL_y2wSGech4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
10,UgzqC6iRs2aCBjgPOsJ4AaABAg,61.0,203,2019-05-23 19:02:35,Chad Tindale,Here&#39;s an idea. Climate change is something we should do something about.,UC_Q7CpsUPOrRTV-y_Scs-6Q,0,UgzqC6iRs2aCBjgPOsJ4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
11,UgzqC6iRs2aCBjgPOsJ4AaABAg.8vHjSv2X_Mm91XI2-DL4H_,,0,2019-11-19 19:41:50,George Hallam,Heres an idea....lolol.there is nothing u can do....lmao...climate change is cyclical...co2 is fuckin plant food...n the earth has been way warmer in the past...n guess what life thrived.....amazing ...i know.......,UCE_sYQ8IPQM33Gd5m_Fc8Mg,1,UgzqC6iRs2aCBjgPOsJ4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
12,UgzqC6iRs2aCBjgPOsJ4AaABAg.8vHjSv2X_Mm8w158NooF0y,,0,2019-06-11 04:25:03,counselthyself,@Brian Betts another muppet. http://blogs.discovermagazine.com/imageo/2018/03/12/what-science-says-about-role-of-co2-in-climate-change/#.XP8rkIhKjIU https://skepticalscience.com/solar-activity-sunspots-global-warming.htm,UCTyEyJlycmd1d-0V-WkbOxA,1,UgzqC6iRs2aCBjgPOsJ4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
13,UgzqC6iRs2aCBjgPOsJ4AaABAg.8vHjSv2X_Mm8w11LlNY3LK,,0,2019-06-11 03:51:56,counselthyself,"@vsaluki R "" although agriculture is doing great"" you better tell that to the farmers. it's hilarious that you're making this claim as the mid-west, all down the mississippi and beyond are flooded. what a muppet. https://www.youtube.com/results?search_query=us+flooding+2019+farming how about australia? https://www.youtube.com/results?search_query=australian+drought+farming+2018+ europe? https://www.youtube.com/results?search_query=europe+drought+farming+2018+ you're a flatland moron.",UCTyEyJlycmd1d-0V-WkbOxA,1,UgzqC6iRs2aCBjgPOsJ4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
14,UgzqC6iRs2aCBjgPOsJ4AaABAg.8vHjSv2X_Mm8v_Wc4F5w0C,,0,2019-05-31 02:07:12,Brian Betts,@tom thecasual Please cite the source for you're math. Until then watch this so you even have a clue what I am talking about. https://www.youtube.com/watch?v=HntrGv_d8XU&t,UCv9ZDDCqTc1ZP8FLBL5Vg1g,1,UgzqC6iRs2aCBjgPOsJ4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
15,UgzqC6iRs2aCBjgPOsJ4AaABAg.8vHjSv2X_Mm8vZln-zQYgr,,0,2019-05-30 19:09:15,tom thecasual,"@Brian Betts solar forcing curve correlated quite well with the temperature increase until 1960, but went in the opposite direction after that. if solar forcing was the only factor for climate change, our global temperature would be 1°C less than it is today. also we would observe stratospheric warming, not stratospheric cooling as we do.",UC1yhtLraXctZpL1pDpn0uKQ,1,UgzqC6iRs2aCBjgPOsJ4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
16,UgzqC6iRs2aCBjgPOsJ4AaABAg.8vHjSv2X_Mm8vZlf65iIKF,,1,2019-05-30 19:08:11,Brian Betts,"@vsaluki R These people don't read scientific journals, they don't have a clue what they are talking about, they don't have a clue what the true climate debate is over, and they don't have a clue what kind of a role the sun plays. Good luck, they need a college level coarse on science and debate.",UCv9ZDDCqTc1ZP8FLBL5Vg1g,1,UgzqC6iRs2aCBjgPOsJ4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
17,UgzqC6iRs2aCBjgPOsJ4AaABAg.8vHjSv2X_Mm8vZfssf2uUS,,0,2019-05-30 18:17:38,Brian Betts,"@tom thecasual Its reality. Sorry you don't understand reality, but please explain your point of view, if you have the ability.",UCv9ZDDCqTc1ZP8FLBL5Vg1g,1,UgzqC6iRs2aCBjgPOsJ4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
18,UgzqC6iRs2aCBjgPOsJ4AaABAg.8vHjSv2X_Mm8vZf4jF1hiP,,0,2019-05-30 18:10:39,tom thecasual,@Brian Betts thats a non sequitor,UC1yhtLraXctZpL1pDpn0uKQ,1,UgzqC6iRs2aCBjgPOsJ4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
19,UgzqC6iRs2aCBjgPOsJ4AaABAg.8vHjSv2X_Mm8vZbz1yNEb6,,0,2019-05-30 17:43:31,Brian Betts,"Here is an idea, climate change is something we can't do anything about. Unless you know a way to stop the sun from continuing its cycles.",UCv9ZDDCqTc1ZP8FLBL5Vg1g,1,UgzqC6iRs2aCBjgPOsJ4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
20,UgzqC6iRs2aCBjgPOsJ4AaABAg.8vHjSv2X_Mm8vXRRgnoDpa,,0,2019-05-29 21:24:14,tom thecasual,@vsaluki R there is no point in debating someone that dismisses half of the arguments given to him and misunderstands the other half.,UC1yhtLraXctZpL1pDpn0uKQ,1,UgzqC6iRs2aCBjgPOsJ4AaABAg,9Pqp_8XLC6c,2019-05-23 18:47:11
