,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgyeUVsK5DDxNGDeY5l4AaABAg,3.0,20,2020-10-05 00:33:18,Barbara H,WE NEED TO GET RID OF PLASTIC.!!!!,UCz5dt45caNPct5J7TbIGA2w,0,UgyeUVsK5DDxNGDeY5l4AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
1,UgyeUVsK5DDxNGDeY5l4AaABAg.9EPmlgGrBr39ETWqgc74lj,,0,2020-10-06 11:22:24,Gary Ha,Look up plastic rivers and go to images,UCRkQNJYyK073PsjVao-SWCA,1,UgyeUVsK5DDxNGDeY5l4AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
2,UgyeUVsK5DDxNGDeY5l4AaABAg.9EPmlgGrBr39ER7cQz7kL2,,1,2020-10-05 13:03:31,Oldinea Miller,"Plastic isn't a problem when you recycle it as you should. It's only a problem if you throw it anywhere in the nature. Btw. From all the plastic floating in the so called garbage patch only one percent came from EU, America or AU. But over 50% of that plastic waste consists out of old professional fishing equipment. Nets, ropes, plastic bottles and containers, etc.",UCmgvVcwneE9nfEf8vYfSPpg,1,UgyeUVsK5DDxNGDeY5l4AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
3,UgyeUVsK5DDxNGDeY5l4AaABAg.9EPmlgGrBr39EPs8hK8ixK,,0,2020-10-05 01:20:16,Graham Luell,"They found a microbe that eats plastic! (see the Youtube channel ""Just Have a Think"" --- excellent video on it there...)",UCwqFL4pC5RYIEvhCPSTTO2A,1,UgyeUVsK5DDxNGDeY5l4AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
4,UgxyjgDPQH0tFDqz-Y14AaABAg,10.0,15,2020-10-05 01:12:50,Graham Luell,I joined the Green Party.<br />I joined Population Connection.<br />I&#39;m reading &quot;Prosperity without Growth&quot;.<br />I&#39;m voting for government that does not deny climate change.,UCwqFL4pC5RYIEvhCPSTTO2A,0,UgxyjgDPQH0tFDqz-Y14AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
5,UgxyjgDPQH0tFDqz-Y14AaABAg.9EPrIG12Vil9EoP-i3QuqY,,0,2020-10-14 23:17:09,Graham Luell,"@danielmaster87 Yes, I agree with you, and that's why I registered Green. Voted for Biden, the lesser of two evils. Green Party is growing. As climate change catastrophes get worse, more people will register Green, I believe. When Green can win, then we vote for the Green candidate! 2024? Good plan!",UCwqFL4pC5RYIEvhCPSTTO2A,1,UgxyjgDPQH0tFDqz-Y14AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
6,UgxyjgDPQH0tFDqz-Y14AaABAg.9EPrIG12Vil9El06kPlqXI,,0,2020-10-13 15:41:56,danielmaster87,"@Graham Luell You're wasting your vote if you think the Democrats or Republicans care about climate change. Their donors are fossil fuel companies, so nothing's gonna happen. Green Party is the only one championing climate protection.",UChwN6UXgKM_JsDpS2aJHC5Q,1,UgxyjgDPQH0tFDqz-Y14AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
7,UgxyjgDPQH0tFDqz-Y14AaABAg.9EPrIG12Vil9EeBFNdCfrx,,0,2020-10-11 00:04:33,Graham Luell,"@Bob M Yes, I did the same political calculus while voting today, and voted for Biden, though I am a registered Green, for what that's worth. Have to win!",UCwqFL4pC5RYIEvhCPSTTO2A,1,UgxyjgDPQH0tFDqz-Y14AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
8,UgxyjgDPQH0tFDqz-Y14AaABAg.9EPrIG12Vil9Ee954uGO_m,,3,2020-10-10 23:45:40,Bob M,"Democrats do not deny climate change, and have a chance to win, unlike the green party who has <1% of the vote - not voting for democrats (ie voting green party) is mathematically the same as 1/2 of a vote for republicans!",UC7YIQ6sDuA4vpJdUSYhQtjg,1,UgxyjgDPQH0tFDqz-Y14AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
9,UgxyjgDPQH0tFDqz-Y14AaABAg.9EPrIG12Vil9ETW_8WdSC8,,0,2020-10-06 11:20:00,Gary Ha,"Look into ocean slowing over the last 200 years, warmer upper waters can't absorb as much CO2, so it's going up but lucky us, record crop yields",UCRkQNJYyK073PsjVao-SWCA,1,UgxyjgDPQH0tFDqz-Y14AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
10,UgxyjgDPQH0tFDqz-Y14AaABAg.9EPrIG12Vil9ESPNtPsY8q,,0,2020-10-06 00:57:55,Graham Luell,"@Oldinea Miller Yes, indeed, I remember you. You make assumptions about people, and you deny climate change: you posted this: ""Well we have a newspaper her, which does a poll now and then about different themes. On the question: Do you belive AGW is true. The replays were: 79% no, 18 yes and 3% don't know. I live in Europe."" You're welcome to your opinion, of course. Have a nice day, sir.",UCwqFL4pC5RYIEvhCPSTTO2A,1,UgxyjgDPQH0tFDqz-Y14AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
11,UgxyjgDPQH0tFDqz-Y14AaABAg.9EPrIG12Vil9ER_6hI_prn,,1,2020-10-05 17:12:27,ronkirk50,"Until we elect a government that doesn't have its head in the sand, the only thing we have left is state, county and individual action by responsible people.",UCbo-n9BNnxGsxryQ7xNm1cA,1,UgxyjgDPQH0tFDqz-Y14AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
12,UgxyjgDPQH0tFDqz-Y14AaABAg.9EPrIG12Vil9ER7sJFnOPQ,,1,2020-10-05 13:05:41,Oldinea Miller,"You forgot to add point five: ""I'm stupid""",UCmgvVcwneE9nfEf8vYfSPpg,1,UgxyjgDPQH0tFDqz-Y14AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
13,UgxyjgDPQH0tFDqz-Y14AaABAg.9EPrIG12Vil9EQltyO0tvk,,6,2020-10-05 09:44:56,Gaming Tonight,@Mudig What an insulting reply. Shame on you.,UCvzWdfNMZjMrxp1j4W3v3yg,1,UgxyjgDPQH0tFDqz-Y14AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
14,UgxyjgDPQH0tFDqz-Y14AaABAg.9EPrIG12Vil9EQJLpr35bB,,2,2020-10-05 05:26:44,Mudig,TRUMP 2020,UCdCGPSHMMLk8SODTswoj5VQ,1,UgxyjgDPQH0tFDqz-Y14AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
15,Ugz3W0gmT3DG5MswaFh4AaABAg,0.0,5,2020-10-04 23:37:36,Eclipse,"<a href=""https://www.youtube.com/watch?v=B_NClASd4fQ&amp;t=0m41s"">0:41</a> the mosquito landed !",UCDboxvUQiTnKZPf1_Ek_UXA,0,Ugz3W0gmT3DG5MswaFh4AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
16,Ugyydl6NTpKaLhZjj2Z4AaABAg,0.0,1,2020-10-07 04:31:48,Brooks .Anderson,Please upload the entire interview.,UCswb8Jz1p6zUCM4tOvpmgFQ,0,Ugyydl6NTpKaLhZjj2Z4AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
17,Ugy1WkPBLN5gacDtWGl4AaABAg,0.0,2,2020-10-05 04:21:32,Dopamine,The lady in the thumbnail looks like Angela from 90 day fiancé,UCSS2zpLy00DMFh7hSoDbXKg,0,Ugy1WkPBLN5gacDtWGl4AaABAg,B_NClASd4fQ,2020-10-04 23:20:01
