,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgwXkMPx3Dxgi-6GtCp4AaABAg,1.0,50,2019-09-02 17:55:06,greatboniwanker,I wonder why the good Christians out in the middle of Chesapeake Bay don&#39;t just grab those bootstraps we&#39;ve been told so much about and build themselves an anti-erosion wall? Are they waiting for government handouts - or just &#39;Rapture&#39;?,UCaCNYDFxVP5_7Yb704BW8lA,0,UgwXkMPx3Dxgi-6GtCp4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
1,UgwXkMPx3Dxgi-6GtCp4AaABAg.8zOFoxYMQ0O8zWlA9RkbIL,,2,2019-09-06 01:11:40,Mary Elizabeth,greatboniwanker At some point these guys are going to start building the Ark 2. Hope I’m around to see that. I would like to hear their justification for their stupidity.,UCBmCmm0WUFiTSRKfi8rv4Dg,1,UgwXkMPx3Dxgi-6GtCp4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
2,UgxUJSMag9kSHK_KbMl4AaABAg,0.0,125,2019-09-02 13:01:33,zizinnnn,"you know what, if there’s an island of climate change deniers we can let it go",UCS1Zxw0drK_SncpSa_hj3TQ,0,UgxUJSMag9kSHK_KbMl4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
3,UgyoHpw8sBXovSs8zEd4AaABAg,0.0,18,2019-09-02 16:00:20,110pergenuine,"This is why I walk away from conversations with old, and young hicks about political, environmental issues. They spend to much time talking to each other creating impenetrable ignorance bubbles from reality.",UCKOSqGvLo11HPZCGJLABJFg,0,UgyoHpw8sBXovSs8zEd4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
4,Ugz98rLyQDosLb59ohF4AaABAg,0.0,35,2019-09-02 14:44:13,Chris Mueller,The climate change deniers will understand at the moment when their own wallet is hit. Mar a Lago will make a beautiful underwater theme park. And putting Scott Pruit in charge of the EPA is like putting a fox in the henhouse so that they are &quot;safe&quot; :-),UC0QQ-rz3aTzgehKucz0j3nQ,0,Ugz98rLyQDosLb59ohF4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
5,UgwmNdtA8FjCIeb4D6l4AaABAg,1.0,40,2019-09-02 13:57:22,FallingDimes,I have very recently started to watch Samantha Bee&#39;s videos from her own show and from the Daily Report. It is a shame she is being watched at such a low level and that it took me so long to actually watch her. The comedy and wit has me rolling.,UCidJurUfsCNYK0UlTg1ytqA,0,UgwmNdtA8FjCIeb4D6l4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
6,UgwmNdtA8FjCIeb4D6l4AaABAg.8zNpblCK3BX8zR-FH1Wu22,,4,2019-09-03 19:28:00,Walkin Dude,She’s good for sure.,UC_0ksSfYaxZvHqoFm4O9psQ,1,UgwmNdtA8FjCIeb4D6l4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
7,Ugy6aEmWNZJit2u37-J4AaABAg,5.0,121,2019-09-02 12:23:55,TerminalCarrion,"Huh, and here I thought trump said he’d never heard of a category five. Imagine that, he contradicted himself",UC5yuX82bKkDDevV5OnX3xnQ,0,Ugy6aEmWNZJit2u37-J4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
8,Ugy6aEmWNZJit2u37-J4AaABAg.8zNevFH17UY8zQbVdXac2L,,1,2019-09-03 15:51:47,John Call,doobiewah357 it’s good you can lol your own jokes,UCY7BX6E1MGrwGvEAI64pX0w,1,Ugy6aEmWNZJit2u37-J4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
9,Ugy6aEmWNZJit2u37-J4AaABAg.8zNevFH17UY8zP-_sHuMJg,,3,2019-09-03 00:52:28,Loren Wolf,doobiewah357 most things aren’t “fake news” it’s either facts or cherrypicked stories and little scraps of information jumbled together to make a story. The second part describes Fox News.,UCoS1XlW9rcEmsSTs7_MiiBQ,1,Ugy6aEmWNZJit2u37-J4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
10,Ugy6aEmWNZJit2u37-J4AaABAg.8zNevFH17UY8zORCAN_gwr,,2,2019-09-02 19:34:31,Gary BEZNER,Nothing news worthy here .,UCde74Ix1-X5UvEfl6lNqObg,1,Ugy6aEmWNZJit2u37-J4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
11,Ugy6aEmWNZJit2u37-J4AaABAg.8zNevFH17UY8zOGdPBjmHY,,9,2019-09-02 18:02:16,Coyote Boy,@doobiewah357 Whataboutism? Really? That's ypur best shot?,UCoqaU7TLbut59nPonDt8e1w,1,Ugy6aEmWNZJit2u37-J4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
12,Ugy6aEmWNZJit2u37-J4AaABAg.8zNevFH17UY8zNioS5zMIM,,9,2019-09-02 12:57:56,John Call,"He thought they were talking about a stripper named Kat, he only knows 4 Kat’s and a Stormy.",UCY7BX6E1MGrwGvEAI64pX0w,1,Ugy6aEmWNZJit2u37-J4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
13,Ugz98h7_Vh95ZpTJ0ut4AaABAg,0.0,51,2019-09-02 12:14:52,Richard Pauli,"This is a great, great message.. thank you so much. More please.",UCjW4EAmDcoPrHBuo0E6dl5w,0,Ugz98h7_Vh95ZpTJ0ut4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
14,Ugyqr6WO2TdbzbghMBB4AaABAg,15.0,122,2019-09-02 16:07:53,declan loudon,"Same people believe Noah&#39;s ark story, where the people wouldn&#39;t believe in the coming flood. Oh the irony 😂",UCG0LffFkSR5QEBRrpofC7wA,0,Ugyqr6WO2TdbzbghMBB4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
15,Ugyqr6WO2TdbzbghMBB4AaABAg.8zO3YfhRx_w93tyI9ZpIru,,1,2020-01-17 17:25:06,Andreas karlsson,"@Anthony Nicely put. Never connected noah's ark to climate change before but that's a nice argument for the fundamentalists. (I live in Sweden, we rarely mention religion here xD)",UCYeTbWOAq_uHyKOXGRg92uw,1,Ugyqr6WO2TdbzbghMBB4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
16,Ugyqr6WO2TdbzbghMBB4AaABAg.8zO3YfhRx_w906OMdZDB-p,,0,2019-10-15 12:26:12,cak01vej,"​@Grits And Gravy What do you have against Hippocrates? The guy invented western medicine. Sure leaches are not generally an effective treatment, and some of his ideas for the courses of illnesses are a little wacky, but that doesn't seem like course for trying to convert a guy who's been dead for almost 2500 years. Also, you might want to look up the definition of ""religion"", you clearly have it wrong. Religion (/rɪˈlɪdʒ(ə)n/) _noun_ The belief in and worship of a superhuman controlling power, especially a personal God or gods. There's no ""superhuman controlling power"" in your ""Climate Alarmism"", so it is, by definition, not a religion. Q.E.D.",UCYHXNp97ZQNwPO8qqqwUPyA,1,Ugyqr6WO2TdbzbghMBB4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
17,Ugyqr6WO2TdbzbghMBB4AaABAg.8zO3YfhRx_w8zk3sO51Qd2,,1,2019-09-11 14:33:15,Grits And Gravy,"I am totally with you! Climate Alarmism is definitely a religion. - Fanatics? Check - Proselytizing Hippocrates? Check - Hyperbole instead of verifiable evidence? Check - ""Doomed masses"" begging for repentance? Check - Ultimate day of reckoning if the doctrine isn't universally implemented? Check Congratulations... You're the nut of the newest mass religion on the block",UCNlGn4ThPQ1UugtNdPh46zg,1,Ugyqr6WO2TdbzbghMBB4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
18,Ugyqr6WO2TdbzbghMBB4AaABAg.8zO3YfhRx_w8zaNnnyU3uH,,1,2019-09-07 20:14:58,Hayder Abdulridha,What if Noah's ark was a story about now.,UC7LnxdLC8LoxJG08dK3mqJQ,1,Ugyqr6WO2TdbzbghMBB4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
19,Ugyqr6WO2TdbzbghMBB4AaABAg.8zO3YfhRx_w8zZNj6Fpo1l,,0,2019-09-07 01:35:51,Ar D,Anthony yes it is.,UCxXiANkH5t9EAZb5PkQ0DGg,1,Ugyqr6WO2TdbzbghMBB4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
20,Ugyqr6WO2TdbzbghMBB4AaABAg.8zO3YfhRx_w8zZNdDb16o7,,0,2019-09-07 01:35:03,Ar D,"declan loudon I can’t force you to let god live through you, only you can do that. If you choose to hear god when he speaks to you, then good, and if not, then I can’t make you.",UCxXiANkH5t9EAZb5PkQ0DGg,1,Ugyqr6WO2TdbzbghMBB4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
21,Ugyqr6WO2TdbzbghMBB4AaABAg.8zO3YfhRx_w8zYsjyFBn3B,,1,2019-09-06 20:56:21,AmateurSpaceman,"@Anthony This interpretation isn't really correct either, since many of the morals are questionable at best. It's a collection of bronze-age laws and customs there were codified into a psuedo-religious text. For example, the proper way to treat your slaves, or the appropriate circumstances and methods to force a woman to get an abortion (yes, that's in the Bible; the only mention of abortion whatsoever is basically instructions on when and how to do it).",UCLbLoyvHgu_354_i5g1Uu-Q,1,Ugyqr6WO2TdbzbghMBB4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
22,Ugyqr6WO2TdbzbghMBB4AaABAg.8zO3YfhRx_w8zYsRHi7fvq,,1,2019-09-06 20:53:40,AmateurSpaceman,"@Ar D The burden of proof is on you to prove that it was written by a god; the overwhelming evidence shows that it was written by men, including sources within the Bible itself.",UCLbLoyvHgu_354_i5g1Uu-Q,1,Ugyqr6WO2TdbzbghMBB4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
23,Ugyqr6WO2TdbzbghMBB4AaABAg.8zO3YfhRx_w8zVTN0qHmxQ,,1,2019-09-05 13:08:10,declan loudon,"@Ar D You prove that it was written by God! Stalemate I understand that you believe!!! But beliefs are just that! Belief's a profound personal feeling not necessarily based in fact. I don't ""believe in God"" but I could be wrong, that's just my belief.",UCG0LffFkSR5QEBRrpofC7wA,1,Ugyqr6WO2TdbzbghMBB4AaABAg,EyMAmakw1dU,2019-09-02 12:00:00
