,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgyFSghw35bhRqNgp3l4AaABAg,0.0,0,2021-03-19 06:50:49,balls deep,"Thought the world was going be under water in 2012? If you believe the scientists he&#39;s referring to, it isn&#39;t a Liberal hoax it&#39;s an elite hoax who make money of fear, this guys full of shite, 60&#39;s/70&#39;s was deep freeze, 80&#39;s/90&#39;s global warming n 00&#39;s/to current so climate change the scientists have no clue what they are talking about n that&#39;s been proved time n time again so people are not deniers they are observant",UCZmbBd4qbaMEXdIjFexFnYQ,0,UgyFSghw35bhRqNgp3l4AaABAg,FJUA4cm0Rck,2011-01-24 16:11:25
1,UgzgeiYAsXl_1MsGuY94AaABAg,0.0,0,2021-03-08 02:55:03,Wally Schroeder,"So, I have been following Guy McPherson, a biology professor for the past few years and he has been saying that we are in deep sh*t and may have only a few years to live. Obsessed, I have been doing research for the last couple years. Many climate scientists are saying the situation is dire. Some scientists are downplaying things. Who&#39;s to say who is right? So, I ask you this - why would scientists lie about how bad the environment is - what do they have to gain by lying? Nothing. And.... Chomsky is backing up that the situation is bad, I put a lot of trust in this guy. He is brilliant. You gotta think a lot of scientists are corporate or getting paid off by big oil, etc. God, I sound like a conspiracy theorist now lol. Whatever the case, we are recording record hot temps, soil beetles are dying, bees are disappearing, the Arctic is melting - these are not good things and red flags. Life is beyond rare and every condition on this planet had to be just right for us to exist and once we start f*cking with those variables, how far fetched is it to think we may indeed be destroying habitat. God help us all.",UCfF7jOSTFvyf8kl91q1J5Rg,0,UgzgeiYAsXl_1MsGuY94AaABAg,FJUA4cm0Rck,2011-01-24 16:11:25
2,UgzH9GENXLW3_dck93h4AaABAg,2.0,2,2021-03-06 18:33:55,ZigZagHockey,"The &quot;97% consensus&quot; - which Chomsky presents as 98% - is well known to be an invention by Obama (backed by commentators like Gore, who predicted Florida would be under water by 2018). Meteorologists even if chosen for their looks rather than their scientific knowledge, know more science than such politicians. Predictions and &#39;studies&#39; based on computer modeling are a fine example of &quot;rubbish in, rubbish out&quot; because the collected data is &#39;modified&#39; before it is fed into the computers..",UCNPRQAH2hFDH6LXC7uzzF4A,0,UgzH9GENXLW3_dck93h4AaABAg,FJUA4cm0Rck,2011-01-24 16:11:25
3,UgzH9GENXLW3_dck93h4AaABAg.9KZ6GLqLrCB9KygupKQZNu,,0,2021-03-17 02:23:08,ZigZagHockey,"@Adrien Partier Well it's not too difficult to find video of Obama plucking this figure out of thin air (forgive the pun) or to see Al Gore parroting him in his 'Inconvenience Truth' claptrap - and no Florida was not under the sea by 2018. I am not a ""climate change denier"" the climate is always changing as it follows natural cycles and always has done and always will do so, but I will resist all assertions that these changes are due to the amount of carbon dioxide in the atmosphere - which seems to be the major claim of those I term climate alarmist or more accurately scaremongers. Chomsky is not by the way a climate scientist even if he is a persuasive speaker, his opinion on the matter is just that of a private individual without expertise.",UCNPRQAH2hFDH6LXC7uzzF4A,1,UgzH9GENXLW3_dck93h4AaABAg,FJUA4cm0Rck,2011-01-24 16:11:25
4,UgzH9GENXLW3_dck93h4AaABAg.9KZ6GLqLrCB9Kxm55zCLj1,,0,2021-03-16 17:49:08,Adrien Partier,"the 97% consensus [...] is well known to be an invention by Obama, according to whose demonstration ? You know, appealing to popular perceptions or received wisdom is not a very convincing way to make your case and support your conclusions. ""the collected data is 'modified' before it is fed into the computers."" did you bother asking yourself how climate modeling and simulations actually work, and why climate scientists would do these ""modifications"" you heard about ? Did it cross your mind that you might find some answers in the IPCC reports and the scientific literature, or did you just jump to the conclusion (or were you told) that this must be some kind of data fiddling and that therefore the whole science of climate change is rubbish ?",UCsqcMbSLiCoNfYcXyoEPbLw,1,UgzH9GENXLW3_dck93h4AaABAg,FJUA4cm0Rck,2011-01-24 16:11:25
5,Ugz_RpThNSP2DXjP5j14AaABAg,0.0,0,2021-02-21 02:56:53,Malcolm Burton,"Yeah I love how this guy trys to paint distrust in your government as being bad, when our whole country was founded on that principle! If this is the same guy that wrote Naked Communist, that was recommended to me as a must read for every American. Then I might have to return it, because I feel like this guy that basically believes everything the government says is right, and we should just blindly follow them.<br /><br /> Which is what I hear when he trying to discredit the scientist against Global Warming, which by the way the main driving force between Global Warming is no other then Bill Gates. The guy with no Medical Degree but because he got money thinks that he can dicate to the world what you can and can&#39;t do.",UC7HHWgpNX5L035X_N3CBDJg,0,Ugz_RpThNSP2DXjP5j14AaABAg,FJUA4cm0Rck,2011-01-24 16:11:25
6,UgxYZZo2MZEvwSJFDnF4AaABAg,0.0,0,2021-02-17 21:24:34,boris stevens,"To say meteorologists simply are pretty faces reading scripts, is like saying journalists are just a storytellers, I think there could be some truth in that statement.",UCEn7OPra-JC52TvOqRGZS_A,0,UgxYZZo2MZEvwSJFDnF4AaABAg,FJUA4cm0Rck,2011-01-24 16:11:25
7,UgyM85pO6aQ0Ho0o25x4AaABAg,0.0,0,2021-01-13 16:34:45,Aaron Oneal,If you are looking for a way to help the environment you can use ecosia they are a search engine that plants trees,UCY7F_1S11P0JkIoaTCxSHcg,0,UgyM85pO6aQ0Ho0o25x4AaABAg,FJUA4cm0Rck,2011-01-24 16:11:25
8,UgzwREcBmDMnjKldBCN4AaABAg,0.0,0,2020-11-29 11:59:32,Evan Hodge,"People on either wing of politics are alarmist. For climate science on all evidence, not selection, including climate computer models, CDN is the channel. On YouTube. Evidence not polemic.",UCXEdb8HyjTd98XWgSc7Ewxg,0,UgzwREcBmDMnjKldBCN4AaABAg,FJUA4cm0Rck,2011-01-24 16:11:25
9,UgwXy5hqunNrbHWkPV14AaABAg,2.0,1,2020-11-19 19:50:25,Andrew Zambetti,Prime example of an intellectual who talks well and uses facts to seem like he has a clue what he’s talking about but actually hasn’t been in the real world his whole life to see how these ideas play out,UCBQbw4fQzw08UraRxt0NaUg,0,UgwXy5hqunNrbHWkPV14AaABAg,FJUA4cm0Rck,2011-01-24 16:11:25
