,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgzXjtccHC57uXmSi9N4AaABAg,0.0,7,2020-12-04 10:38:04,Mark Rodrigues,Secretary General Guterres is one of the most well-informed and compassionate leaders alive. He has been telling it like it is(and was) for many years.,UCih_Ehg3SlPMfLeOlGJWUow,0,UgzXjtccHC57uXmSi9N4AaABAg,GGGTUSXeahk,2020-12-03 09:44:53
1,UgyoqbJ-dBlBpsviQA14AaABAg,0.0,5,2020-12-03 19:52:29,Daniel Clayton,What an absolute rubberish interview. This guy answered nothing. Can you re do this but interview someone else?,UC7gBjEW1jfDLI-cWI8_H7UQ,0,UgyoqbJ-dBlBpsviQA14AaABAg,GGGTUSXeahk,2020-12-03 09:44:53
2,UgybS-1snE6jlF1dCu14AaABAg,0.0,2,2020-12-04 23:39:15,KT M,This dude have to resign he is a wicked as his organization.,UC8GS3XICErzOFBuMG7O4Q3A,0,UgybS-1snE6jlF1dCu14AaABAg,GGGTUSXeahk,2020-12-03 09:44:53
3,UgwIkW0HN6CgcbC0GTp4AaABAg,1.0,4,2020-12-05 23:21:04,Aryan Yadav,"UN is totally a failure, no use of that 😬",UCSYPPIVlo_hLZe7n4lgBK0w,0,UgwIkW0HN6CgcbC0GTp4AaABAg,GGGTUSXeahk,2020-12-03 09:44:53
4,UgwIkW0HN6CgcbC0GTp4AaABAg.9GuImqJrl9S9H-LUBMF3O4,,2,2020-12-08 07:40:02,Sfs rocket lab,Yes,UCL4NfXlbQhwNtoczphAHfPw,1,UgwIkW0HN6CgcbC0GTp4AaABAg,GGGTUSXeahk,2020-12-03 09:44:53
5,Ugzh8qkwg3cWNl-0CO14AaABAg,0.0,1,2020-12-04 11:30:59,Charles Peterson,California is going to lead the way. Please lol🤣🤣🤣🤣🤣,UCNeLyvr6Q3mTDLOCCWO7tRQ,0,Ugzh8qkwg3cWNl-0CO14AaABAg,GGGTUSXeahk,2020-12-03 09:44:53
6,UgwdMHScdp88kPu1ayZ4AaABAg,0.0,1,2020-12-21 01:22:29,Shawn Li,2020 is hottest recorded,UCrhYviGQs1cw54PrPXU25gA,0,UgwdMHScdp88kPu1ayZ4AaABAg,GGGTUSXeahk,2020-12-03 09:44:53
7,Ugw04h7TVmr-KlDzqOp4AaABAg,0.0,0,2020-12-04 06:35:10,悬黎,I thought the suspended industry would decreae the green house gas emssion?,UCXFPD4XtQ-B6mJXnu0soTUQ,0,Ugw04h7TVmr-KlDzqOp4AaABAg,GGGTUSXeahk,2020-12-03 09:44:53
8,UgydJQqauOKoQyjvdJt4AaABAg,0.0,0,2020-12-11 02:37:11,relentless FPL mavericks,Dear we will talk someday .. its beautiful that ICSz understand the word nature as well specially at such eleviated level ..,UCvuJBvO09vIDSYIAjxQcMxQ,0,UgydJQqauOKoQyjvdJt4AaABAg,GGGTUSXeahk,2020-12-03 09:44:53
9,UgwGh155RonSZXSIJwh4AaABAg,0.0,0,2020-12-03 23:21:07,kira yamato,Anniversary of ultimate weapon.,UCPveOnlraM3i8q8Xg9inDdQ,0,UgwGh155RonSZXSIJwh4AaABAg,GGGTUSXeahk,2020-12-03 09:44:53
10,Ugwi5LUXbCD934UsMKt4AaABAg,23.0,43,2020-12-03 19:00:25,Nitin Bhatia,Investment is the greatest accomplishment ever,UC4J0Cp7qxdQzCJmomYNOiIQ,0,Ugwi5LUXbCD934UsMKt4AaABAg,GGGTUSXeahk,2020-12-03 09:44:53
11,Ugwi5LUXbCD934UsMKt4AaABAg.9GogN3kL4T49GxPZslLknk,,0,2020-12-07 04:18:02,NeonCat9,"@Tiffany Laserna Exactly! I have seen these posts before on more than one YouTube social media. It always runs the same ""oh I'm so short of money,"" oh brother you should get with my investment advisor"", ""oh what does she do or he do "" ""he got me into Bitcoin """""" oh tell me about Bitcoin """" oh it's wonderful, I've made enormous amounts of money with bitcoin"". , ""who should I contact , will you tell me who to contact?"". "" Yes, here's the information, call (this person) and this is how you contact them"". Yes, it's a pyramid scheme. The same conversation is posted in several places in youtube!",UCVUjzPGXqqbu4gKWxWhNj5w,1,Ugwi5LUXbCD934UsMKt4AaABAg,GGGTUSXeahk,2020-12-03 09:44:53
12,Ugwi5LUXbCD934UsMKt4AaABAg.9GogN3kL4T49GonSidzdjt,,1,2020-12-03 20:02:21,Tiffany Laserna,@Marshal James Bitcoin is a pyramid scheme.,UCpC6GyDU0StKJl5gmkISLXg,1,Ugwi5LUXbCD934UsMKt4AaABAg,GGGTUSXeahk,2020-12-03 09:44:53
