,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,Ugz8NL7ydYNeiVHEQqh4AaABAg,2.0,227,2021-01-22 12:10:06,Medlife Crisis,What a load of bunk. &#39;Scientists&#39; have been crying about memes for decades and yet - nothing has happened. How can memes be real if there are no memes outside my window right now? Absolute meme shill.,UCgRBRE1DUP2w7HTH9j_L4OQ,0,Ugz8NL7ydYNeiVHEQqh4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
1,Ugz8NL7ydYNeiVHEQqh4AaABAg.9Ioh9dIT5-W9Iy6GCagl3b,,0,2021-01-26 03:51:21,Jake Nicholaides,"Maybe it's the lack of accuracy in the predictions based on the hypothesis. Maybe if they weren't so wildly wrong when tested in the real world we wouldn't need to use every dirty manipulative truck in the book to push an agenda based on lies, zeolitry and foundations in eugenic belief.",UCi_RB4pnUrmXzuVG1Djp0bw,1,Ugz8NL7ydYNeiVHEQqh4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
2,Ugz8NL7ydYNeiVHEQqh4AaABAg.9Ioh9dIT5-W9IumPVGXd37,,2,2021-01-24 20:51:24,danny white,both of you should do more meme review,UCUkZ6B27znPCtx8SCmlvSbQ,1,Ugz8NL7ydYNeiVHEQqh4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
3,UgxTA3zdAkDK_Rkzf6x4AaABAg,2.0,214,2021-01-21 16:52:49,Andrew Dotson,Wow these meme thingies are pretty neat. I’ll have to check them out sometime.,UCnFmWQbVW_YbqPQZGNuq8sA,0,UgxTA3zdAkDK_Rkzf6x4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
4,UgxTA3zdAkDK_Rkzf6x4AaABAg.9ImciMlDs-G9JDG7oCIy-u,,0,2021-02-01 10:25:26,Atharv Gupta,Lol,UCunRFPBnRs53x5lVwFDmgcQ,1,UgxTA3zdAkDK_Rkzf6x4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
5,UgxTA3zdAkDK_Rkzf6x4AaABAg.9ImciMlDs-G9Imw8-XhGk_,,5,2021-01-21 19:42:28,Maarten DJ,Looking forward to the very first physics meme review EVER,UCO9pOchHKFJ8xljNCOERpSw,1,UgxTA3zdAkDK_Rkzf6x4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
6,UgxcQ1sdAVHA-JM4BkN4AaABAg,7.0,322,2021-01-21 10:58:52,Flammable Maths,"Bruh, Simon diving into new territories! :D",UCtAIs1VCQrymlAnw3mGonhw,0,UgxcQ1sdAVHA-JM4BkN4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
7,UgxcQ1sdAVHA-JM4BkN4AaABAg.9Im-CxrMWUZ9ItYytiYDse,,2,2021-01-24 09:26:04,Null Pointer,Meine Fresse ist das hier eine kreuz-über Folge oder was?,UC3kJKirs3eD1zbUf2aSbYfA,1,UgxcQ1sdAVHA-JM4BkN4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
8,UgxcQ1sdAVHA-JM4BkN4AaABAg.9Im-CxrMWUZ9ImWg1TdbnL,,1,2021-01-21 15:51:19,Younes Layachi,meme peer review im already laughing xD,UCSJ4EdL30Jir5EgByxAzITw,1,UgxcQ1sdAVHA-JM4BkN4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
9,UgxcQ1sdAVHA-JM4BkN4AaABAg.9Im-CxrMWUZ9ImVoW3f3Ob,,0,2021-01-21 15:43:45,Pulsar,i rate it no spicy manga in the background/10,UCI6I89StPXTiS_JdH2JYucg,1,UgxcQ1sdAVHA-JM4BkN4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
10,UgxcQ1sdAVHA-JM4BkN4AaABAg.9Im-CxrMWUZ9ImU5zxKvDy,,0,2021-01-21 15:28:47,ok itis,Bruh,UCbn4X2d-1zdrsdse84kpqIA,1,UgxcQ1sdAVHA-JM4BkN4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
11,UgxcQ1sdAVHA-JM4BkN4AaABAg.9Im-CxrMWUZ9ImCw9jJP4E,,3,2021-01-21 12:58:46,Nathaniel Ouzana,What kind of crossover is this? One senpai at a time pls.,UCjjFt6w9CQ9SW1tX8D4n4_w,1,UgxcQ1sdAVHA-JM4BkN4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
12,UgxcQ1sdAVHA-JM4BkN4AaABAg.9Im-CxrMWUZ9Im0Hxn7yEU,,0,2021-01-21 11:08:17,Suvi-Tuuli Allan KFP Gum Under the Table,flammable farts!,UCohGJoNlimsyh5V7W88jyOw,1,UgxcQ1sdAVHA-JM4BkN4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
13,UgxcQ1sdAVHA-JM4BkN4AaABAg.9Im-CxrMWUZ9Im-tu6BLXQ,,5,2021-01-21 11:04:51,Max Doornbos,like you and Andrew did! It's a good direction!,UCTmas8wa3XQPxTjdkLs7YMw,1,UgxcQ1sdAVHA-JM4BkN4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
14,UgwBD3K__UyTUCAcuHh4AaABAg,5.0,132,2021-01-21 11:20:55,Jago Strong-Wright,“God I hate that guys smug face” <b>briefly cuts to Ben Shapiro</b> what a mood,UCyyuql_ekAM6p1hzZ9eROkA,0,UgwBD3K__UyTUCAcuHh4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
15,UgwBD3K__UyTUCAcuHh4AaABAg.9Im1jRiC0GN9K-2DHeuLW-,,0,2021-02-20 18:25:53,MysticHero,"@AKR Oh got me there! Incredible arguments. ""AOC dumb"". Really destroyed those libtards there my dude.",UCcKPR6JT_311W92y3cfNsPA,1,UgwBD3K__UyTUCAcuHh4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
16,UgwBD3K__UyTUCAcuHh4AaABAg.9Im1jRiC0GN9K-1a-rYvj9,,0,2021-02-20 18:20:23,AKR,"@MysticHero better than AOC who thinks acting stupid is an achievement. Oh, wait I forgot she can't act.",UCpJRhjNTPaceOJuQf0w_9Ww,1,UgwBD3K__UyTUCAcuHh4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
17,UgwBD3K__UyTUCAcuHh4AaABAg.9Im1jRiC0GN9ImD5vlyJ8y,,2,2021-01-21 13:00:14,δτ,11:20,UCpZ2HmaJsNOrrhIXjd4uODQ,1,UgwBD3K__UyTUCAcuHh4AaABAg,KkmNUK-kwmM,2021-01-21 10:51:47
