,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgxezsSuWhwywIHVl614AaABAg,1.0,12,2020-03-12 04:32:21,Ûlûrag,"Humans (as a species), especially those in power, are shockingly bad at internalizing long term threats.",UC0tC9Yeilx9tBAi3DNLS7MA,0,UgxezsSuWhwywIHVl614AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
1,UgxezsSuWhwywIHVl614AaABAg.965C_OJf4nv965GxXJADMX,,0,2020-03-12 05:10:35,VsstDtbs,"Well actually they are very good. CCP is paranoid about long term threats to their existence. Kim Jong Un is paranaoid about long term threats to his existence. Politicians are paranoid about holding power in their seat (constituent), so don't dare talk about overpopulation.",UCQbLEP2HjXAjVwJiUYvcZXw,1,UgxezsSuWhwywIHVl614AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
2,UgylzHEoXWxeW3hATed4AaABAg,2.0,9,2020-03-11 02:37:29,K T,"Don&#39;t start vandalizing and doing violence of any sort it will really be judged and used against X-R. <br />People&#39;s buttons are already pushed by inconvenience and disruption. <br />You can&#39;t compromise on that, imagine if Ghandi did anything of the sort, less powerful.",UC8UrELzUP7BPzv4FZtZvz2A,0,UgylzHEoXWxeW3hATed4AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
3,UgylzHEoXWxeW3hATed4AaABAg.962QdHOvt9k964DnvvTyDk,,1,2020-03-11 19:23:49,ChicagoTurtle1,Although ghandi was anti-violence protests.,UCpROWYNb9os6yg3fzwhHuyg,1,UgylzHEoXWxeW3hATed4AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
4,UgylzHEoXWxeW3hATed4AaABAg.962QdHOvt9k963KSg1R0Gr,,0,2020-03-11 11:02:43,Bullminator,He would use a Nuke right???? RIGHT?????,UCoW5_oG8RDv995HfQ4Ory4g,1,UgylzHEoXWxeW3hATed4AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
5,Ugzs1cyw4foZcie4xbh4AaABAg,9.0,60,2020-03-10 19:09:31,MITHURAJ DAS,"&quot;Don&#39;t worry ,be happy &quot;<br /><br /> - coronavirus",UC1jdB5W9DjquDD7dj4uclHg,0,Ugzs1cyw4foZcie4xbh4AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
6,Ugzs1cyw4foZcie4xbh4AaABAg.961cNFxlZAI9HF-BVi1OYT,,0,2020-12-14 09:33:05,ThatAwesomeDude,George McGovern racist - I hope you get COVID as karma.,UCnI8lFDl3sBCLmKPrsWlSzw,1,Ugzs1cyw4foZcie4xbh4AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
7,Ugzs1cyw4foZcie4xbh4AaABAg.961cNFxlZAI97nDLaCMtwT,,0,2020-04-23 12:36:17,Dottie Land,It might get rid of some of these loonies,UCKAJkiAoH6TWQKiUi96WBog,1,Ugzs1cyw4foZcie4xbh4AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
8,Ugzs1cyw4foZcie4xbh4AaABAg.961cNFxlZAI969fD-yTLy6,,0,2020-03-13 22:08:15,George McGovern,Chinese Coronavirus Pandemic,UCkzERiM3HqSyQLrgG4eFqJw,1,Ugzs1cyw4foZcie4xbh4AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
9,Ugzs1cyw4foZcie4xbh4AaABAg.961cNFxlZAI9631w8uVT7M,,1,2020-03-11 08:20:51,lucas Santos,They will bring dinosours to kill us,UCysB5iXHOgDWAlNyXSijhzA,1,Ugzs1cyw4foZcie4xbh4AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
10,Ugzs1cyw4foZcie4xbh4AaABAg.961cNFxlZAI9631qbfDIEA,,2,2020-03-11 08:20:06,lucas Santos,Greta is george soros' puppet.,UCysB5iXHOgDWAlNyXSijhzA,1,Ugzs1cyw4foZcie4xbh4AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
11,Ugzs1cyw4foZcie4xbh4AaABAg.961cNFxlZAI962zoobu7IX,,1,2020-03-11 07:53:38,MITHURAJ DAS,@lucas Santos i think greta thunberg did 🤨,UC1jdB5W9DjquDD7dj4uclHg,1,Ugzs1cyw4foZcie4xbh4AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
12,Ugzs1cyw4foZcie4xbh4AaABAg.961cNFxlZAI962uIPxRbno,,0,2020-03-11 07:05:23,Nagy Erno,@lucas Santos oh silly,UCXVSS9-9ETHNfxyhBUabRoQ,1,Ugzs1cyw4foZcie4xbh4AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
13,Ugzs1cyw4foZcie4xbh4AaABAg.961cNFxlZAI962M96xOqc5,,1,2020-03-11 01:58:17,lucas Santos,Kim jon un made it.coroa virus,UCysB5iXHOgDWAlNyXSijhzA,1,Ugzs1cyw4foZcie4xbh4AaABAg,L1TgWG1RaJI,2020-03-10 19:00:03
