,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgyE1_hLHKJzh_B8xWl4AaABAg,8.0,23,2018-04-02 21:45:44,Eric T,Polar bears are migrating south of Canada to California to escape the coldest April in western Canadian recorded history.,UC3IBsJOIckRoWzB8HV-YTIg,0,UgyE1_hLHKJzh_B8xWl4AaABAg,LtibE0tm5t8,2016-02-26 15:00:22
1,UgyE1_hLHKJzh_B8xWl4AaABAg.8eYrRsQblLW9EstmEs6HuH,,0,2020-10-16 17:11:45,Rick TD,@Big Chief Trucker Yea CAGW is a huge scam being used to push commie Agenda 21 on us.,UC-NmIvin1ZbX4TfZLS9ZHMg,1,UgyE1_hLHKJzh_B8xWl4AaABAg,LtibE0tm5t8,2016-02-26 15:00:22
2,UgyE1_hLHKJzh_B8xWl4AaABAg.8eYrRsQblLW9EstgqdlbG_,,0,2020-10-16 17:11:01,Rick TD,@Talksense Morons like you shouldn't go around insulting people who are all obviously smarter than you if they can figure out CAGW is a scam and you can't. Go do some research before I waste any time debating your dumb ass.,UC-NmIvin1ZbX4TfZLS9ZHMg,1,UgyE1_hLHKJzh_B8xWl4AaABAg,LtibE0tm5t8,2016-02-26 15:00:22
3,UgyE1_hLHKJzh_B8xWl4AaABAg.8eYrRsQblLW9EstRP3JinQ,,0,2020-10-16 17:08:46,Rick TD,@Tony Signorelli I have note books and files full of evidence that it's a huge scam. Polar bears aren't an issue at all once you know CO2 doesn't control the temperature of Earth. They're just the latest poster child of a centuries old scam.,UC-NmIvin1ZbX4TfZLS9ZHMg,1,UgyE1_hLHKJzh_B8xWl4AaABAg,LtibE0tm5t8,2016-02-26 15:00:22
4,UgyE1_hLHKJzh_B8xWl4AaABAg.8eYrRsQblLW9Est8c4TAyI,,0,2020-10-16 17:06:13,Rick TD,"@Thomas McKeon I'll give you a source : ""Global temperature and atmospheric CO2 over geologic time/graph/images"" which proves the Earth is not only historically cold at this point in time, but we also have historically low atmospheric CO2. Just the opposite of what they told us. It's a scam being used to push commie Agenda 21 on us.",UC-NmIvin1ZbX4TfZLS9ZHMg,1,UgyE1_hLHKJzh_B8xWl4AaABAg,LtibE0tm5t8,2016-02-26 15:00:22
5,UgyE1_hLHKJzh_B8xWl4AaABAg.8eYrRsQblLW9Esst7yDCCm,,0,2020-10-16 17:03:57,Rick TD,And man-made catastrophic global warming is a huge scam being used to push commie Agenda 21 on us.,UC-NmIvin1ZbX4TfZLS9ZHMg,1,UgyE1_hLHKJzh_B8xWl4AaABAg,LtibE0tm5t8,2016-02-26 15:00:22
6,UgyE1_hLHKJzh_B8xWl4AaABAg.8eYrRsQblLW9B_ISf_xkKS,,0,2020-07-26 12:57:09,Big Chief Trucker,Dr. Fauci must have a covid bear virus in the works.... the polar pandemic. Cause polar bear populations have double since the last time they made this idiotic prediction.,UCLfGotjOIxMLxhwtLjJPM5w,1,UgyE1_hLHKJzh_B8xWl4AaABAg,LtibE0tm5t8,2016-02-26 15:00:22
7,UgyE1_hLHKJzh_B8xWl4AaABAg.8eYrRsQblLW92pRGpt59j4,,0,2019-12-22 02:39:28,Tony Signorelli,@Thomas McKeon if you'd like a source... look for one. You are the one who wants proof like every person commenting online has a filing cabinet of evidence with them. Tell ya what prove it wrong without using a leftist shill propaganda rag...,UCK0ttbqj5VGZvn-MJFoF3MQ,1,UgyE1_hLHKJzh_B8xWl4AaABAg,LtibE0tm5t8,2016-02-26 15:00:22
8,UgyE1_hLHKJzh_B8xWl4AaABAg.8eYrRsQblLW8xyzLJJKXvP,,0,2019-07-29 16:30:43,Thomas McKeon,Lumber dog give me a source ?,UC9shu1muN9XpfCXQqLriV7w,1,UgyE1_hLHKJzh_B8xWl4AaABAg,LtibE0tm5t8,2016-02-26 15:00:22
9,Ugxq_9ljVJ4d92r0skZ4AaABAg,15.0,26,2017-12-05 01:20:34,연꽃,What a pity. We must save Polar Bears. What should we do? Let&#39;s think aout it.,UCQKwrrG3QzC3UFwiXcWG1tQ,0,Ugxq_9ljVJ4d92r0skZ4AaABAg,LtibE0tm5t8,2016-02-26 15:00:22
