,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgyP4jdxFsGbTGpqyB54AaABAg,1.0,19,2019-04-20 15:59:23,OualidBro. C,2025: wolves are in the Netherlands.,UCYCK-n3LrLfwyhXRvvElE5g,0,UgyP4jdxFsGbTGpqyB54AaABAg,S7jpMG5DS4Q,2014-06-13 00:22:40
1,UgyP4jdxFsGbTGpqyB54AaABAg.8txRGE5u30y9D9Sb0CNkfZ,,2,2020-09-03 19:49:06,Hugo Gijzen,They already are,UCMb2HJP7HhcXrnyPtFZaGjg,1,UgyP4jdxFsGbTGpqyB54AaABAg,S7jpMG5DS4Q,2014-06-13 00:22:40
2,UgyuceC8gXkh2ZsEU394AaABAg,2.0,18,2019-04-01 13:00:12,Jakob,"&quot;Pretty scary stuff, huh?&quot;, she said in a happy bubbly voice before telling us to comment and subscribe .. Man I wish people would finally react appropriately to this crisis",UCrg3dm2Kp5aJRqYrFw3smng,0,UgyuceC8gXkh2ZsEU394AaABAg,S7jpMG5DS4Q,2014-06-13 00:22:40
3,UgyuceC8gXkh2ZsEU394AaABAg.8tBBeL-rIN59KT0CrHGVTp,,0,2021-03-04 09:45:34,millie smith,"if you think about it, the more people who interact with the video the more views and recognition it gets!",UCXAdl81UQM9k1_g3bpy8QsA,1,UgyuceC8gXkh2ZsEU394AaABAg,S7jpMG5DS4Q,2014-06-13 00:22:40
4,UgyuceC8gXkh2ZsEU394AaABAg.8tBBeL-rIN59KLEWZN8sjT,,0,2021-03-01 09:16:40,Eweslayer,True,UCyX4363MNT4IPEE7i-_ioug,1,UgyuceC8gXkh2ZsEU394AaABAg,S7jpMG5DS4Q,2014-06-13 00:22:40
5,UgijyfdOOp76EHgCoAEC,6.0,29,2016-12-14 11:18:27,Noura A,"well, in my country Qatar, the weather is too hot that in the summer it got 50c degrees! I&#39;m really scared of wuts coming, and the end of the world is near ; so beware ppl !",UCfGI030uqYkRHBK7blSMF3g,0,UgijyfdOOp76EHgCoAEC,S7jpMG5DS4Q,2014-06-13 00:22:40
6,UgijyfdOOp76EHgCoAEC.8MTDrq4XZJg931Bi5mPJGh,,0,2019-12-27 01:33:39,Bri Heus,@Zack Walker what?,UCQtTZFcnvfL6HI6c9kCgqaA,1,UgijyfdOOp76EHgCoAEC,S7jpMG5DS4Q,2014-06-13 00:22:40
7,UgijyfdOOp76EHgCoAEC.8MTDrq4XZJg931BbAYfq4r,,1,2019-12-27 01:32:42,Bri Heus,@Noura A you also have a point,UCQtTZFcnvfL6HI6c9kCgqaA,1,UgijyfdOOp76EHgCoAEC,S7jpMG5DS4Q,2014-06-13 00:22:40
8,UgijyfdOOp76EHgCoAEC.8MTDrq4XZJg931BaJ54GO9,,1,2019-12-27 01:32:35,Bri Heus,@Noura A im on your side for this and if no one did this to the earth then we would be fine but where not!,UCQtTZFcnvfL6HI6c9kCgqaA,1,UgijyfdOOp76EHgCoAEC,S7jpMG5DS4Q,2014-06-13 00:22:40
9,UgijyfdOOp76EHgCoAEC.8MTDrq4XZJg8w0uRENyFPT,,4,2019-06-11 02:42:46,Venomous Unicorn,Noura A EXACTLY WE NEED TO CARE OR ELSE WE WILL ALL FUDGING DIEE!,UCVAxrkt6YkGe9XUX3p0tODg,1,UgijyfdOOp76EHgCoAEC,S7jpMG5DS4Q,2014-06-13 00:22:40
