,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgyOOxipGEjnNWvTAOF4AaABAg,13.0,115,2019-08-28 19:10:46,C M,Why am I reading the captions I understand Spanish lol,UCe8eELldm4O6GFUZ_k6CDMQ,0,UgyOOxipGEjnNWvTAOF4AaABAg,UDlHcxWtbvw,2019-08-28 17:52:04
1,UgyOOxipGEjnNWvTAOF4AaABAg.8zBWVki5Inm8zHgQBDgPG6,,1,2019-08-31 04:41:34,Rene Miranda,I know Spanish too lol. But the same goes with English whenever i watch movies i always put the captions in english even though i understand English its better to read the words lol,UCY30uVkLNQUAT_uM84iFCIw,1,UgyOOxipGEjnNWvTAOF4AaABAg,UDlHcxWtbvw,2019-08-28 17:52:04
2,UgyOOxipGEjnNWvTAOF4AaABAg.8zBWVki5Inm8zFpQys87i_,,0,2019-08-30 11:21:50,Miha Ucakar,@asdLArs Have You ever consider possibility he is not from Spain... (I m from tiny tiny nation state in the middle of the Europe and I can drop some bombs on this topic if u r interested),UCjazDdeZU6_0d_CwJVM7CAA,1,UgyOOxipGEjnNWvTAOF4AaABAg,UDlHcxWtbvw,2019-08-28 17:52:04
3,UgyOOxipGEjnNWvTAOF4AaABAg.8zBWVki5Inm8zFoYKnWdLJ,,0,2019-08-30 11:14:06,Miha Ucakar,I m so used to reading subtitles even I read this subtitles and I do not speak Spanish:) My native language is so local probably 90% of TV content is foreign so bealive it or not... I read subtitles even in my native language.,UCjazDdeZU6_0d_CwJVM7CAA,1,UgyOOxipGEjnNWvTAOF4AaABAg,UDlHcxWtbvw,2019-08-28 17:52:04
4,UgyOOxipGEjnNWvTAOF4AaABAg.8zBWVki5Inm8zFdFWFy0Wa,,1,2019-08-30 09:35:25,asdLArs,"Their Spanish is both terribly spoken and weird, for example he said ""I'm growing my children"" instead of ""I'm raising..."" and the bit when he said ""los años de atras"" instead of ""...de antes"" o ""anteriores"" it might be just lack of proper education tho.",UCGdA_qROHJxSHirkgQpWMzw,1,UgyOOxipGEjnNWvTAOF4AaABAg,UDlHcxWtbvw,2019-08-28 17:52:04
5,UgyOOxipGEjnNWvTAOF4AaABAg.8zBWVki5Inm8zF2pdT3xLs,,0,2019-08-30 04:08:26,amaury,same,UCLuNnZSPie0LxkhaluU9cFA,1,UgyOOxipGEjnNWvTAOF4AaABAg,UDlHcxWtbvw,2019-08-28 17:52:04
6,UgyOOxipGEjnNWvTAOF4AaABAg.8zBWVki5Inm8zCfq9vzfq1,,0,2019-08-29 06:00:18,C M,"@COUNTLUKKY18thST it does, get paid more in jobs too lol",UCe8eELldm4O6GFUZ_k6CDMQ,1,UgyOOxipGEjnNWvTAOF4AaABAg,UDlHcxWtbvw,2019-08-28 17:52:04
7,UgyOOxipGEjnNWvTAOF4AaABAg.8zBWVki5Inm8zCKnKnrnyo,,1,2019-08-29 02:47:41,COUNTLUKKY18thST,Pays 2 b bilingual boys and girls,UCdIiNSCPBCTfz_D4ItQ5sOA,1,UgyOOxipGEjnNWvTAOF4AaABAg,UDlHcxWtbvw,2019-08-28 17:52:04
8,UgyOOxipGEjnNWvTAOF4AaABAg.8zBWVki5Inm8zC-1PJq2yy,,1,2019-08-28 23:37:30,Comrade20,"@Robert Rodriguez sinaloa is southern, it's basicallt the south only it's in mexico",UCalAED8FNzqra8i_AT3eNUw,1,UgyOOxipGEjnNWvTAOF4AaABAg,UDlHcxWtbvw,2019-08-28 17:52:04
9,UgyOOxipGEjnNWvTAOF4AaABAg.8zBWVki5Inm8zBiYvB-Uee,,1,2019-08-28 21:04:47,Robert Rodriguez,@Xio Moreira-Ruiz I literally cannot understand Spanish accents from Sinaloa thier basically a version of southern accents,UCngMNpi9uCPRqwwGlDUbBTw,1,UgyOOxipGEjnNWvTAOF4AaABAg,UDlHcxWtbvw,2019-08-28 17:52:04
