,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgxyCsNkprA8c2HNCIp4AaABAg,11.0,72,2019-07-08 17:04:59,Jo Mama,how can you possibly not be for planting more trees.,UC4LQabDskgX6X3s7Hs-8YCg,0,UgxyCsNkprA8c2HNCIp4AaABAg,YeX14s2H3Qo,2019-07-08 16:32:52
1,UgxyCsNkprA8c2HNCIp4AaABAg.8x7yZrfwVDT8xCzBya9ANo,,0,2019-07-10 15:46:39,GEORGELET4,"@RMJ The Amazon rainforest might be decreasing but it is due to human activities directly expanding into it. And it wouldn't even make sense to say that higher CO2, heat and humidity would bring about a decrease in the rainforest.",UCWTsXCpWs43jFLsiQv1N5EQ,1,UgxyCsNkprA8c2HNCIp4AaABAg,YeX14s2H3Qo,2019-07-08 16:32:52
2,UgxyCsNkprA8c2HNCIp4AaABAg.8x7yZrfwVDT8xCtTXcJKEa,,0,2019-07-10 14:56:38,RMJ,@GEORGELET4 Don't forget the Amazon rainforest! It is still decreasing in size and keep in mind other than old growth forest certain plants or more proficient in absorbing carbon dioxide than others. I know there are a couple studies comparing tropical rainforest sequestration to mangrove sequestration. Mangroves may have a higher efficiency of storing carbon than tropical rainforests.,UCsGnT7NI-AgbO8i0gR7CHfw,1,UgxyCsNkprA8c2HNCIp4AaABAg,YeX14s2H3Qo,2019-07-08 16:32:52
3,UgxyCsNkprA8c2HNCIp4AaABAg.8x7yZrfwVDT8xAsQYFcaCw,,0,2019-07-09 20:09:00,Eric Cole,Google Permaculture and become an agent of change!,UCp_WOaHE3pwKc4ezYgv0Whw,1,UgxyCsNkprA8c2HNCIp4AaABAg,YeX14s2H3Qo,2019-07-08 16:32:52
4,UgxyCsNkprA8c2HNCIp4AaABAg.8x7yZrfwVDT8xA_FINFw0w,,0,2019-07-09 17:21:26,GEORGELET4,"So much wacko stuff is claimed and done with this ""climate change"" (caused by fossil fuel CO2) of course.",UCWTsXCpWs43jFLsiQv1N5EQ,1,UgxyCsNkprA8c2HNCIp4AaABAg,YeX14s2H3Qo,2019-07-08 16:32:52
5,UgxyCsNkprA8c2HNCIp4AaABAg.8x7yZrfwVDT8xAZQhVbVKu,,0,2019-07-09 17:14:15,but span,i think in Finland they decided to plant trees in peat bog fields because as you said trees are green. but to pant the trees they had to destroy the peat bog. later they destroyed the trees because it turns out peat bog is a hundred times better at storing co2. all i said is that in life nothing is clear cut.,UCBHI_RMWkvHeTToEBrQPa0Q,1,UgxyCsNkprA8c2HNCIp4AaABAg,YeX14s2H3Qo,2019-07-08 16:32:52
6,UgxyCsNkprA8c2HNCIp4AaABAg.8x7yZrfwVDT8xA9K4ekJjq,,1,2019-07-09 13:26:10,GEORGELET4,Fact is this claim that there is too much CO2 in the air is baseless and fraudulent - pushed by politicians who promote the scare to give them greater influence and bring about their goal of one-world government.,UCWTsXCpWs43jFLsiQv1N5EQ,1,UgxyCsNkprA8c2HNCIp4AaABAg,YeX14s2H3Qo,2019-07-08 16:32:52
7,UgxyCsNkprA8c2HNCIp4AaABAg.8x7yZrfwVDT8x8hfCfkV27,,0,2019-07-08 23:56:32,GEORGELET4,"@Wandering Questions And I suppose ""climate science"" tells you bark-beetle damage is due to fossil fuel CO2. Enough of you - the planet is getting greener including Africa especially around the edge of the Sahara.",UCWTsXCpWs43jFLsiQv1N5EQ,1,UgxyCsNkprA8c2HNCIp4AaABAg,YeX14s2H3Qo,2019-07-08 16:32:52
8,UgxyCsNkprA8c2HNCIp4AaABAg.8x7yZrfwVDT8x8gk6fnKTN,,2,2019-07-08 23:48:28,Wandering Questions,GEORGELET4 - You have not been up in the bark-beetle damaged area across the Rockies and just cuz the States appear greener it doesn’t mean the whole planet is greener. Africa is getting hammered to dust.,UCgiF4SUFDlPwRyJpLw26K1g,1,UgxyCsNkprA8c2HNCIp4AaABAg,YeX14s2H3Qo,2019-07-08 16:32:52
9,UgxyCsNkprA8c2HNCIp4AaABAg.8x7yZrfwVDT8x8gKSJRxPu,,1,2019-07-08 23:44:50,GEORGELET4,The earth has been becoming greener. The U.S. has more trees now than in preindustrial times.,UCWTsXCpWs43jFLsiQv1N5EQ,1,UgxyCsNkprA8c2HNCIp4AaABAg,YeX14s2H3Qo,2019-07-08 16:32:52
