,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgwXNsAIS9AltTFJHT94AaABAg,3.0,36,2019-05-01 20:54:37,VEE3RDEYE,Keep fighting for the voiceless!!,UCjFV7ITzUY33k7ECtPomRKA,0,UgwXNsAIS9AltTFJHT94AaABAg,ZjCrbHrNdJ8,2019-05-01 15:42:30
1,UgwXNsAIS9AltTFJHT94AaABAg.8uPHnJ9xBye9HzKNfr8MLm,,8,2021-01-01 18:42:33,Father Freddie,"@Uncle Chinsyou A jaw dropping sad tragedy of mega genocide of indigenous Native Americans, and their population in Continents of America 500 yrs ago was around 15 millions, while European population in Europe was around 25 millions. Today, Native Americans population is 15 million, while European population, in Continents of America + Europe, is a staggering 'ONE BILLION'! A sad truth.",UCC2EJQwe6MQdxcR1DiuRP8w,1,UgwXNsAIS9AltTFJHT94AaABAg,ZjCrbHrNdJ8,2019-05-01 15:42:30
2,UgwXNsAIS9AltTFJHT94AaABAg.8uPHnJ9xBye9Hx_eJnRr6u,,8,2021-01-01 02:26:18,NewYorker Joe,"@Uncle Chinsyou Slavery, Colonialism and Colonization are evil things done, and benefited by evildoers. All they Native people need is their beloved motherlands back, the lands that their ancestors forebears had lived through thick and thin, endured through hardships and all for generations. Remember, notorious centuries-long global cardinal crimes that Portuguese clans had committed, and benefited a great deals, such as Slavery and Colonialism had long been over, why on earth is notorious Colonization still lingering on?",UCAgMsNuc92G_2FqqtrekX-w,1,UgwXNsAIS9AltTFJHT94AaABAg,ZjCrbHrNdJ8,2019-05-01 15:42:30
3,UgwXNsAIS9AltTFJHT94AaABAg.8uPHnJ9xBye9HxZCaLhjlP,,8,2021-01-01 02:13:38,Uncle Chinsyou,"May I ask, why don't they Portuguese Colonizers have a family reunion on their very own land of jolly old Portugal in Southern Europe, and return the looted Colonized vast bountiful land of South America to original rightful owner, indigenous Native people there. Besides, Brazil is 90 times larger than Portugal. Just saying.",UC6_VIKB60jZRZ4rrkzGxxzA,1,UgwXNsAIS9AltTFJHT94AaABAg,ZjCrbHrNdJ8,2019-05-01 15:42:30
4,UgwVbJ50ap5A2dGWqVJ4AaABAg,0.0,18,2019-08-25 16:21:49,manikandan mani,Amazon looks so beautiful 😢😢😢we should save it😔,UCGJYVqlEyyAb2wAGG6ys4vg,0,UgwVbJ50ap5A2dGWqVJ4AaABAg,ZjCrbHrNdJ8,2019-05-01 15:42:30
5,UgzLfTeRHR6qkZuse2N4AaABAg,2.0,26,2019-08-23 19:54:33,Andrade tv,"This president is a shame for Brazil, we had better.😡😡😡😡🌳🇧🇷",UC9hlJudcgpsKRnGJAfoGBnQ,0,UgzLfTeRHR6qkZuse2N4AaABAg,ZjCrbHrNdJ8,2019-05-01 15:42:30
6,UgzLfTeRHR6qkZuse2N4AaABAg.8yziY3uLyh2943Tc5Si8xS,,3,2020-01-21 19:19:59,Rosana Montalvão,"Vergonha é o governo corrupto do Lula que mandou dinheiro para Ditaduras comunistas e da Dilma Rousseff que foi uma terrorista na epoca do Regime Militar, uma membro do Movimento de extrema esquerda VAR PALMARES, que praticava torturas, explodia carros, sequestrava, assaltava e matava civis...Os dois presidentes tem um passado negro e podre, e ainda tem coragem e cinismo de dizer que lutavam pela democracia! !!",UCH9ElY1gFjtdIwi-Y9TD3Pw,1,UgzLfTeRHR6qkZuse2N4AaABAg,ZjCrbHrNdJ8,2019-05-01 15:42:30
7,UgzLfTeRHR6qkZuse2N4AaABAg.8yziY3uLyh28z23NjITpUF,,1,2019-08-25 03:03:06,Enoque Santos,The real hame is a brazilian like you.,UCEdSqujr_RD5syqon_ZEADw,1,UgzLfTeRHR6qkZuse2N4AaABAg,ZjCrbHrNdJ8,2019-05-01 15:42:30
8,UgxMHe8wuAXiS2BWeq54AaABAg,1.0,60,2019-05-01 16:03:13,Sheikh Farhan,Loving this video format. Keep it up Beme!,UCdGCllHv2XRVSYMYcU32C2g,0,UgxMHe8wuAXiS2BWeq54AaABAg,ZjCrbHrNdJ8,2019-05-01 15:42:30
9,UgxMHe8wuAXiS2BWeq54AaABAg.8uOlS12OHAr8uPTvUUs9n_,,0,2019-05-01 22:40:36,Kurtzman,I wonder how they make these,UCsfEgm2nsj-Hqcx2qJdlE4w,1,UgxMHe8wuAXiS2BWeq54AaABAg,ZjCrbHrNdJ8,2019-05-01 15:42:30
