,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgybPeSqrhUbTpNEFpd4AaABAg,3.0,48,2019-10-24 20:16:14,Cee Kay,"omg, the idiotic responses on this post are terrifying.",UCYfr_TcX9LHwCjA7DaLGlow,0,UgybPeSqrhUbTpNEFpd4AaABAg,_zK6Grhp5Zk,2016-11-03 19:00:18
1,UgybPeSqrhUbTpNEFpd4AaABAg.90UPJ5131P_9IIsa3XlOwu,,0,2021-01-09 18:15:02,politicallyincorrectROB,I highly recommend you do a little bit of research and make an informed decision. Oceans are rising and falling even as you breath in and out. This is a living planet. I swear to god do the research and stop watching The View.,UCQMJCA_1jUu3x3rWumqdBmw,1,UgybPeSqrhUbTpNEFpd4AaABAg,_zK6Grhp5Zk,2016-11-03 19:00:18
2,UgybPeSqrhUbTpNEFpd4AaABAg.90UPJ5131P_9Hk4-9SE7zy,,0,2020-12-26 20:30:47,Asmita Gayak,They'll Know Better When The Flooding House Will Be Theirs.,UCH_wbJ3F7BqTU8TG_QULwBQ,1,UgybPeSqrhUbTpNEFpd4AaABAg,_zK6Grhp5Zk,2016-11-03 19:00:18
3,UgybPeSqrhUbTpNEFpd4AaABAg.90UPJ5131P_9DsbcwwfP4i,,1,2020-09-21 18:01:48,Official Burrito,"I know, it really makes me lose faith in humanity 😔",UCYNzZekNryRxqtJ9A99KCaw,1,UgybPeSqrhUbTpNEFpd4AaABAg,_zK6Grhp5Zk,2016-11-03 19:00:18
4,Ugh-0OilT1djD3gCoAEC,14.0,124,2017-06-14 01:58:01,Dena Albg,You guys this is legit. The Simpsons even predicted it,UCquvEGdkh65on02lNNYppBQ,0,Ugh-0OilT1djD3gCoAEC,_zK6Grhp5Zk,2016-11-03 19:00:18
5,Ugh-0OilT1djD3gCoAEC.8TlrPHt-OQF9Jubq5jFGwj,,0,2021-02-18 15:50:27,Kenny Alejandro Falcon,this is a stupid comment i hope ur joking,UCl-09LyHh5wyKnqo6ukwFJQ,1,Ugh-0OilT1djD3gCoAEC,_zK6Grhp5Zk,2016-11-03 19:00:18
6,Ugh-0OilT1djD3gCoAEC.8TlrPHt-OQF9EkjApb-Q1L,,0,2020-10-13 13:05:12,Kashoutkikiii,Simpson’s don’t predict “they already know”,UCfUxJoZEbQ6TJ6HjqRIcSpg,1,Ugh-0OilT1djD3gCoAEC,_zK6Grhp5Zk,2016-11-03 19:00:18
7,Ugh-0OilT1djD3gCoAEC.8TlrPHt-OQF8zvK0G4KcBN,,0,2019-09-15 23:25:55,kefkapalazzo1,Daniel Smith I mean maybe not factually but their insight can be powerful,UCzarhyhfKvAx838IdpF12bw,1,Ugh-0OilT1djD3gCoAEC,_zK6Grhp5Zk,2016-11-03 19:00:18
8,Ugh-0OilT1djD3gCoAEC.8TlrPHt-OQF8z0PN7jgF5_,,0,2019-08-24 11:36:46,natural born shiller,"@Steezy Mac Maybe if you could comprehend any news articles you are reading properly then you would know us ""Europeans"" use words like acceleration and contribution not responsible. No one has ever claimed climate change is fault of mankind. Hopefully this helps you understand why the rest of the world calls you stupid mate!!",UCRU1gtp5aTrwbkV7EMJdkwg,1,Ugh-0OilT1djD3gCoAEC,_zK6Grhp5Zk,2016-11-03 19:00:18
9,Ugh-0OilT1djD3gCoAEC.8TlrPHt-OQF8xfQ44f8WPk,,1,2019-07-22 02:08:13,Bapesy,Ummm the Simpson’s is a show that predicted some things but some episodes that they were predicting stuff that never happened this is fake,UCtlWnbwL3skIbhWzoZbqYtQ,1,Ugh-0OilT1djD3gCoAEC,_zK6Grhp5Zk,2016-11-03 19:00:18
