,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgwtZMKVQWz13UbxgZB4AaABAg,189.0,3769,2020-10-27 08:36:18,Kurzgesagt – In a Nutshell,"To support Kurzgesagt and learn more about Brilliant, go to <a href=""https://www.brilliant.org/nutshell"">https://www.brilliant.org/nutshell</a> and sign up for free. The first 200 people that go to that link will get 20% off the annual Premium subscription.<br />Thanks to our friends from Brilliant for supporting this channel.",UCsXVk37bltHxD1rDPwtNM8Q,0,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
1,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9Kfz5Fa8hO_,,0,2021-03-09 19:56:25,Jordan Philip Perris,"Spraying stuff in the atmosphere to try and keep more of the sunlight out. I actually had a dream about this years ago. I was placed a little over a 100 years after that happened, and things were much more swamp-like, but not overly hot, and food and other resources were much harder to grow and raise, therefore much harder to come by. Then I went a round a few hundred years after the initial spraying event and the world was an icebox, with only small pockets of humanity and other life remaining, and we had to get basically all of our food from underwater, in areas where we could still reach the water.",UCT8vnA41Dg-CRJ5TYVDUBAw,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
2,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9KUKmBoU4qA,,0,2021-03-04 22:04:31,Kane Raul,@Augustine Nixon Wow! It took like 10 minutes but it actually worked!!,UCahYppgcOTJ1WMJZac52Htg,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
3,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9KUJVDMrvcr,,0,2021-03-04 21:53:20,Augustine Nixon,dunno if anyone gives a shit but yesterday I hacked my girl friends Instagram password using InstaPortal. Cant link here so search for it on google :),UC9Q_LDIcBGzFW9QWV1jWc0Q,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
4,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9JpFIBIUwjS,,0,2021-02-16 13:48:30,BORDO BERELI,What if we produced everything in space? Like factorys in space,UCaYLiqpLt2KCviQ0jXWGz6A,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
5,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9JcQaNsI3iQ,,0,2021-02-11 14:17:07,Dr STAME,Where is translators?,UCJpjFcyt6hHErYnR6vgtuSg,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
6,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9JNuUeX_V1b,,0,2021-02-05 13:39:14,Mohir Turaboyev,I am sure at 0:01 the house design was stolen from Interstellar (2014),UCntP6SR8n1sOXIJ7gTWPALw,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
7,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9JJ90VGm1Rn,,0,2021-02-03 17:18:43,Dr STAME,Where is translators??,UCJpjFcyt6hHErYnR6vgtuSg,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
8,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9JGbCqmhTpt,,0,2021-02-02 17:36:05,Patrick Dempsey,"I'm surprised you did not talk about the Mount Tambora eruption and how it affected the climate of the world. ""The year without a summer"" as it's called. It dropped the temperature of the world down a few degrees in 1816 and caused famines around the world.",UC-0K1ByIEgy6lm2NLFcJ6Lw,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
9,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9JG7Xtb8L7A,,0,2021-02-02 13:08:05,King_Mussy,I really want to show my geography teacher this,UCN0HntIPL4DWuSoT6iX_ruA,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
10,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9J3-UpSLAAy,,0,2021-01-28 10:47:38,Condemnedgamer66,"i just want to thank you for linking your music, thank you so much",UCc_i9sLEP1OJJ8K0AF0xAgw,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
11,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9ItURE2RJJD,,0,2021-01-24 08:46:22,YMCMB Stunna,@Maddyp Butler you swear what?,UCZmMAICA1P8YTJh1wMfZ0wg,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
12,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9IsYNxkCZ1d,,0,2021-01-24 00:01:38,Maddyp Butler,If they ever stop making these videos I swear,UCgEvR6jYknBviGyzLd3HECg,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
13,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9Iau3kIyRmG,,0,2021-01-17 03:33:32,YMCMB Stunna,@Universpro you talk like your not one of us,UCZmMAICA1P8YTJh1wMfZ0wg,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
14,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9IatiRV5bPS,,0,2021-01-17 03:30:29,YMCMB Stunna,"Sikee, jk then been doing this sence the early 2000s & idk if they noticed or not but, it's not working🤷‍♀️",UCZmMAICA1P8YTJh1wMfZ0wg,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
15,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9IKn-izOL2G,,0,2021-01-10 12:04:43,Valentino Lawrence,I have important,UCiu7TOs4qPYllbMwxeenjiQ,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
16,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9IG123UY5at,,0,2021-01-08 15:39:55,duvan beltran,Faltan los subtitulos en español,UCjQpxAhG7MHlVETHxqnBXGA,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
17,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9I8y14YcUcm,,0,2021-01-05 21:50:08,Subhan Naeem,You need to sign a deal with netflix! Please do so!,UCggeBKVFUdUDGVc5VlEU4qQ,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
18,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9HmSl_XEWmJ,,0,2020-12-27 18:45:44,Rafael Augusto Mattos Ferreira,What happened with the portuguese subtitles?,UC4BBraqkgwDJd-ftCLufXQQ,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
19,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9HWlxofRP4m,,0,2020-12-21 07:15:05,DynamicAlteration,"It will give us time to prepare and adapt it is not a permanent solution is exactly what they said about covid lockdowns, but there's nothing more permanent than a temporary solution. This is more bullshit to keep the citizenry in check.",UCaZb9EMiA9obJEUr1O-uB0Q,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
20,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9HOb4k-1-fE,,0,2020-12-18 03:06:07,CatnipAddiction,"Chemtrails were always a thing, yes I know what condensation looks like 30,000 feet in the air from an airplanes engines, but just like wearing masks, people must first be conditioned to this “science” in a particular time so that people do not object or care. This was a conspiracy for decades..",UCO1QJfF-Mu9XYlYmVFmfRLQ,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
21,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9HN96F0YBxW,,0,2020-12-17 13:33:41,Chaitanya Rathod,Watch hyundai nexo 's claims,UCRpFt1tgjC7H5uVWNoomaqQ,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
22,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9HLM0h8eDg_,,0,2020-12-16 20:48:02,Monke Productions,@Babikir Babikir u,UC1KDNcXtKO8xVjJsUDpqHAw,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
23,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9HKVfx8DbGL,,0,2020-12-16 12:53:12,Ny Cawfee,"I love how you’re worrying about climate change right now, I thought you were supposed to be smart",UCmNmQ_bcbAN004f5b8kSJzw,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
24,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9HIuTor83OU,,0,2020-12-15 22:00:07,THEssSFM,How would our generation be supposed to do a successful geoengineering? The kids are currently getting turned dumb by youtubers without a brain and the teens only got shit in their heads. The next dominant generation 2021-2060 is full of idiots. We promise... We are incompetent enough to fuck up! And iam from that generation. Nice shit. But hey... We get oil wars because of idiots with only money on their mind and stupid Gouverments... We thank you old people in Gouverments and boomers.,UC5Kdk63yThZJyBdbjqgdjkA,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
25,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9H7UYYVs38h,,0,2020-12-11 11:33:12,New Normal World Order,"My favorite part about this 4.2 million views shill video is that they OF COURSE leave out major details... such as the fact that geo engineering being around for a very long time and the admitted government plans of “controlling the world’s weather by 2025,” going all the way back to the 90s.",UCBk3D-I0Y_7rGqMZzYjAWtA,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
26,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9H7TS9PHwHa,,0,2020-12-11 11:23:35,New Normal World Order,"Remember KEMTRAILS??? (Spelt that way to avoid censors) No longer a “theory,” huh, boys? I wonder what else isn’t just a “theory”....",UCBk3D-I0Y_7rGqMZzYjAWtA,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
27,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9H4bQ4sIZ4q,,0,2020-12-10 08:44:13,HINDSIGHT 20\20,A mini ice age on the way and you want sulphur in the atmosphere .. Are you insane ?,UCby7NFiD6PSXfhq0cCdAd0Q,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
28,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9Gt-SwgLAvT,,0,2020-12-05 11:12:56,Luxo Lizón,Spanish subs please!!!!,UCF_fHjEruetpZEVe6vengjA,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
29,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9GqemM7_ezG,,0,2020-12-04 13:25:00,xisotopex,why not discuss planting a billion trees to eliminate excess CO2?,UCDeK85SanTMU__PIvsS9XXg,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
30,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9GmZP71ivj7,,0,2020-12-02 23:12:18,BlownAwayGamer,this experiment is about to go really exciting I have never seen You this passive agreesive :(,UCNLarf4eRdBSo92C333SJuw,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
31,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9Glsy9nQy6z,,0,2020-12-02 16:52:45,Fergus Moffat,The 400 year grand solar minimum cycle has begun. The next 3 decades will see the earth cool down as the suns magnetic feild turns down. GLOBAL COOLING IS THE CLIMATE CRISES now. There is Cold induced famine every time this cycle hits. Artificial attempts to cool earth will be catastrophic,UCGoxOFZ13sw-nNA9f_WiB2g,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
32,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9GkIOZ3GSB4,,0,2020-12-02 02:05:12,Horizon,Chemtrails happen multiple times per week. You can visual see the planes spraying patterns and turning a blue sky completely white and covered by a chemical blanket slowing falling down into our lakes and trees and houses and we are breathing it in and eating and drinking it .. how is this okay???,UCB4yK9aHabam0LWsVxfUyAA,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
33,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9GfUvs6f26b,,0,2020-11-30 05:18:32,LivingIn PatheticEra,"@INSECT BITE *-* Which one? Amazon, Inc.ompetent or Amazon, Brazil?",UCp1h3T4ofWNj97lRXsrZN3Q,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
34,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9GdVzQtqsZ8,,0,2020-11-29 10:49:17,pratyush Tiwari,Why no add??,UCTw7clCcYlBQayaWs8TnlcA,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
35,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9Gcnos7xOZ_,,0,2020-11-29 04:14:37,INSECT BITE *-*,@LivingIn PatheticEra Amazon is great and needed for our lives.,UCFTzFv7eSQlYH8Gi8yga57w,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
36,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9Gcnl7bk5Ze,,0,2020-11-29 04:14:07,INSECT BITE *-*,@Abdullah Salehin m,UCFTzFv7eSQlYH8Gi8yga57w,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
37,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9GaGiLQ889F,,0,2020-11-28 04:38:09,Futertimer,Please do a video about m-theory,UC8ODjAOkBeMPkvUvAQcveBQ,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
38,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9GQyM6wD1wo,,0,2020-11-24 04:36:33,Jin Yang,Butterkix ii,UCCTu__29jrKpciSUE90EcWQ,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
39,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9GQyM62YkIk,,0,2020-11-24 04:36:33,Jin Yang,Butterkix i,UCCTu__29jrKpciSUE90EcWQ,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
40,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9GQyLupbOG5,,0,2020-11-24 04:36:32,Jin Yang,Butterkix i,UCCTu__29jrKpciSUE90EcWQ,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
41,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9GQyKdpphBW,,0,2020-11-24 04:36:21,Jin Yang,Iuu,UCCTu__29jrKpciSUE90EcWQ,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
42,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9GNYAxrPy5G,,0,2020-11-22 20:41:23,manicmachinist69,Omg!! 😂😂😂,UCOIutqQ0_TcSMb8rAv8cJZw,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
43,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9GKRGZ3XaA7,,0,2020-11-21 15:43:15,Anubis PnX,Sub Indonesia please :(,UCBZJbSB3BsRzDAC2flgucrg,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
44,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9GC6icXj6yP,,0,2020-11-18 10:09:48,Luca Farcas,Pls subtritate in romanian,UCr23KL11FeB6lNZX4Q-cEFA,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
45,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9G24jMC-1Op,,0,2020-11-14 12:40:01,Brett Moore,"Soon, people will understand that we dont have any contribution to climate change. Its all sun cycles and the weather will get much worse by 2030. 2050 is suppoaed to be the bottom of the cooling curve and rebound in 2070. Stop being used as useful idiots and realize humanity does have predators they are other humans.",UCdcVugB5r6PDcl5gxrApB3g,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
46,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9G0oRvXUxJC,,0,2020-11-14 00:49:43,TheGieloo,"Right so, block sunlight, by doing so aren't we giving up on one of our most important energy suppliers today? Mainly sunnlight itself. This video states that because of putting out the same amount(or more, or a little less) of Carbon dioxide into the atmosphere it would later result in the temperature shock. So for this plan to work, the emissions need to cease and replaced with viable (relatively short term) alternatives. The most valuable one, just put out of action.",UCJvathLiw7JA3sUOJXkC9Gg,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
47,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9Fwro3_tYWn,,0,2020-11-12 02:42:53,Gfyduh Fygjhv,Хххххххххххх,UC2hDnTVD9hsgYHPrg4_1Y3A,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
48,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9Fw15A8Y-sj,,1,2020-11-11 18:53:30,WakeUp WakeUp,Unsubscribed. Shame on you.,UCXE_aQOj5zWU4RzGq-Mu9vw,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
49,UgwtZMKVQWz13UbxgZB4AaABAg.9FJIXWCyaYv9FttzA1-LGS,,0,2020-11-10 23:04:09,raul maximo,"Geoengineering is actually a good idea to develop, cause we are gonna need it in the future for terraforming other planets",UChqblVemVgvSZGZd57KVqgQ,1,UgwtZMKVQWz13UbxgZB4AaABAg,dSu5sXmsur4,2020-10-27 15:00:02
