,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgwkfengPwP3UaiOb414AaABAg,0.0,5,2019-05-18 19:03:23,Nugget of Truth - Eric King,We think we are experiencing &quot;climate change&quot; just think of the poor insects. Yikes,UCpNuzjRPunnXS4ky3VEWAew,0,UgwkfengPwP3UaiOb414AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
1,Ugwib1Kgkhh6EpFdEFF4AaABAg,1.0,5,2019-05-26 21:40:01,Inti Meijs,STOP EATING MEAT,UCeU6pJiIvW7m_oqNKojBGjw,0,Ugwib1Kgkhh6EpFdEFF4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
2,Ugwib1Kgkhh6EpFdEFF4AaABAg.8vPjrb75gq68xBfdx8hhL7,,0,2019-07-10 03:36:37,K.29,Thank. You.,UCVf_1p-QgC6dXIvXGQm-kJQ,1,Ugwib1Kgkhh6EpFdEFF4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
3,UgwLEdhHK83lcsjSF7F4AaABAg,2.0,3,2019-08-21 09:32:14,Poppet 2,Question what is the temperature the planet is supposed to be?,UCPU1Mn029w_2LtMw10e4-zQ,0,UgwLEdhHK83lcsjSF7F4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
4,UgwLEdhHK83lcsjSF7F4AaABAg.8ytSjJL608993hiD6QfNRd,,0,2020-01-12 23:13:43,António Medeiros,I would imagine that it should be at levels where life can thrive.,UCmdGSIDaxiHFu0CTaYj3KgQ,1,UgwLEdhHK83lcsjSF7F4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
5,UgwLEdhHK83lcsjSF7F4AaABAg.8ytSjJL60898ytnYMQ9Aao,,4,2019-08-21 12:42:50,SuperThunderGoodGuy,"Poppet 2 if you mean what the air temperature was before human activity, Earth had a temperature of 57F or 14C but humans so far have warmed the earth to 59F or 15C and by 2100 humans could warm the planet to 67F or 20C! By then the ice caps would be completely melted! The coolest earth has ever been was during an ice age 500 Million years ago where temps where 8C colder then today and the hottest Earth has ever been was 230 Million years ago when it was 13C hotter then today! When Earth is cool and cover in ice is called an ice age and and when Earth is warm, it’s called a hot house! The last ice age was 11,000 years ago where Earth averaged 4-5C cooler today and the last hot house was 3 Million years ago where Earth was 2-3C hotter then today or the real big one where there was no ice on Earth was the Thermal Maximum 50 Million years ago where Earth was 5-8C hotter then today! Also I was only counting since animal life has been on Earth 600 million years ago because Earth is 4.5 Billion years old but life did not appear until 2 Billion years ago, because Earth was still hot from its formation I did the last 600 million years! climate.nasa.gov ncdc.noaa.gov climatecentral.org",UCNrXngTy7SQf0tDWQ88qefQ,1,UgwLEdhHK83lcsjSF7F4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
6,UgzjazSSU2Rvu6sXniJ4AaABAg,1.0,2,2019-03-25 06:12:27,Joseph Stalin,Ah feel so good in southeast Asia,UC8kSRTZMqw5qsJGZc7wullA,0,UgzjazSSU2Rvu6sXniJ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
7,UgzjazSSU2Rvu6sXniJ4AaABAg.8stRQh3co6i9GN00Y1SYSp,,0,2020-11-22 15:42:52,Joy King,😂,UCamIyB1jMsP26WbeX81LM4A,1,UgzjazSSU2Rvu6sXniJ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
8,Ugx6iJ0nX_a58IOdcvl4AaABAg,0.0,2,2019-03-20 15:20:18,jitendra khasiya,Thank you,UCVyz9d5CaS3bdnL0tfoeOeQ,0,Ugx6iJ0nX_a58IOdcvl4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
9,UgxwacFW0Q600tVqXId4AaABAg,0.0,2,2019-05-03 20:37:12,Fawza Rejwan,This is True...💖,UCYwPl9o0Jz74cGGwNFBSKKA,0,UgxwacFW0Q600tVqXId4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
10,Ugz9-FXnB2a7zEsDv0t4AaABAg,0.0,4,2019-04-26 11:36:30,emma lol,"”if you don’t know how to fix it, please stop breaking it”",UC7MLqk9176q8S-Wn-nUZlsA,0,Ugz9-FXnB2a7zEsDv0t4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
11,UgxDy-roklH1G7JfRCt4AaABAg,0.0,1,2019-12-30 15:41:13,Illy Boulder,show us the data.,UCxlcdJTLvSqLiT6AtO4Puyg,0,UgxDy-roklH1G7JfRCt4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
12,UgxpsljONtn926VXBhZ4AaABAg,25.0,18,2019-03-23 15:50:02,S/V Della Jean,"Somebody help me understand.<br /><br />In this video they say increased sea level has caused erosion and flooded areas that were once dry. However the Sea Level Rise chart in the video says the increase in sea level is 2.5 mm since 2011. How does an approximately 1/10 inch rise do that? How do they measure such a small increment on a liquid body in motion so accurately? They say 400ppm CO2 is the highest in 800,000 years, but 50 million years ago it was 1,000ppm according to a Dartmouth study. Don’t know about you but confusing to me. Thanks for the help.",UCZFK6HuBBPrdF8eFuOg9HvA,0,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
13,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA193jKSpAcryR,,0,2020-01-13 14:15:53,james holkky,"@S/V Della Jean basically what happens if that there is CO2 trapped in the ice sheets and ground(from millions of years ago when CO2 was more prevalent) , these contain huge concertrations of C02, much more than we would emmit. So as we release CO2, the climate gets warmer and the ice begins to melt, this cause all the CO2 trapped in the ice to be released and cause a postivite feedback loop amplifying the warming this is one of the reasons scientists warn about a time of no return because the feed back would be so great",UCS82xpHERx7Bbhqs0od_Skg,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
14,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18yLioH8yC1u,,0,2019-08-07 21:48:02,S/V Della Jean,"C J C I understand that 50m years ago was before 800k years ago. The phrasing in the video is highest recorded co2 in last 800k years. That could lead someone to believe it hasn’t been higher, but it apparently has. Why the reference to only the data of the last 800k years? Other interesting points- Russian scientist has been studying co2 trapped in Siberian glacial ice for 40+ years. His analysis shows that it melting will release magnitudes more co2 than any fossil fuel concern. He has a proven method to reverse the melting. Where is that funding, discussion? Likewise a scientist in Africa has reversed drought and famine conditions by installing large herding animals such as cows. A documented spinoff benefit is reduction of co2 as a result. Polar opposite of current shouting in the “news”.",UCZFK6HuBBPrdF8eFuOg9HvA,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
15,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18yKr3n_HVpe,,1,2019-08-07 13:40:57,SuperThunderGoodGuy,"S/V Della Jean that’s because it’s the highest in 800,000 years, 50 million years ago was before 800,000 years ago! And CO2 levels in the next couple of years most likely will pass the 1 Million year mark!",UCNrXngTy7SQf0tDWQ88qefQ,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
16,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18wsGaEwdh0q,,0,2019-07-02 05:24:06,S/V Della Jean,"kim weaver the numbers I referenced were provided in this video and a National Geographic study. I don’t have any numbers, I’m simply asking a question to help me better understand the data variations between studies.",UCZFK6HuBBPrdF8eFuOg9HvA,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
17,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18wTGX3QNhnt,,0,2019-06-22 03:03:16,Kein_ indianer,"You have always to distinguish between relative, absolute and average rises. Exactly said, we have a rise of 15 to 35 mm sice 2010. However, this average rise means also an average heighten of waves of 35 to 75 cm! You have to abandon an area that is flooded several month every year. Not forgetting that flooding with salt water means death areas!",UCk_A_pbq72NmkYLBTNzfF_Q,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
18,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18vOtGIkrW0u,,0,2019-05-26 13:42:55,GEORGELET4,"Verifiable Evidence That fossil fuel CO2, a minor part of a minor greenhouse gas, has caused any temperature rise, ice melt or sea level rise - there is none.",UCWTsXCpWs43jFLsiQv1N5EQ,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
19,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18tZLImxMTa9,,0,2019-04-10 22:06:17,aleksander suur,"@Joshua an interesting possibility, which raises some interesting questions. For example, in 1960 atmospheric CO2 concentration was 320ppm, today it's 410ppm. If that was none of our doing then where did it come from? And perhaps more importantly, if that's none of ours, then where the heck did ~1000Gt of CO2 we have emitted since then disappeared off to?",UCPcnHIGnv8R5VpMoeeXiRPg,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
20,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18tZHSsr33oV,,0,2019-04-10 21:32:42,Joshua,@aleksander suur I think his point is more that the extremely high concentrations weren't caused by humans and therefore it is a possibility that we have no control over how much co2 is in the atmosphere,UCf3NEKs9Csp_DbzeHXO_f-w,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
21,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18tZ1fE2Kv4p,,0,2019-04-10 19:14:43,aleksander suur,"@Ambesh Pratik Correct, it's fine to speculate on youtube that 2024 or thereabouts looks like a likely candidate, but when you actually have to be accurate then you can't really honestly claim to know that to be true based on just that. In the end, trend lines are nothing more than trend lines, data without physical context fed through a formula produces a trend line without physical context. It's clear enough to see where things are heading, but you need to know more than that to actually be sure.",UCPcnHIGnv8R5VpMoeeXiRPg,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
22,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18tWLpJiuzkk,,2,2019-04-09 18:13:08,aleksander suur,"@David Beaulieu I know where the 2024 date comes from, exponential trend line on PIOMAS arctic ice volume data. It wouldn't surprise me if that's what happened, but I also wouldn't put too much confidence on a simple trend line.",UCPcnHIGnv8R5VpMoeeXiRPg,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
23,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18tVlmcuupLs,,0,2019-04-09 12:49:27,David Beaulieu,@aleksander suur I'd say blue ocean event no later then 2024 if the trend continues. For at least part of the year and that part of the year will get longer way faster with loss of reflective surface. I really hope we start doing cloud brightening soon as well as all other mitigation factors. 11 trillion tons of co2 yo get to 300ppm and stabalize things considering the feedback loops. You know I always wanted to see the future as a kid but I never thought I'd be around for the actual apocalypse. Sigh humans suck.,UCEniFq_edu-TXntQyINUXxQ,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
24,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18tVlCj7L35s,,1,2019-04-09 12:44:25,David Beaulieu,@AstroTommy what's really going to kill your brain is that the first major extinction event was caused by oxygen. Yup the first cells that figured out how to use sunlight let out oxygen as a byproduct. Oxygen is a very active little bigger that damages cells hence why antioxidants are good for you. It wiped out almost all other life but eventually gave rise to more complicated forms like us. There have been 5 mass extinction events to date and your currently sitting snack in the middle of the sixth of we dont act asap.,UCEniFq_edu-TXntQyINUXxQ,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
25,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18tMhllSTL2f,,0,2019-04-06 00:21:13,kim weaver,"@Chris Czyzewski ..... S/V Della Jean In some places hydrostatic rebound is offsetting some or all of the sea level rise, whereas in other places, seacoasts are sinking due to tectonics and erosion along with human activity as we pump oil, nat. gas, and water out of the ground. Your numbers are completely bogus. NASA GISS has current rate of sea level rise at 3.3 mm PER YEAR. https://climate.nasa.gov/vital-signs/sea-level/",UCE68XGYvjmnxRnBsMOT87hA,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
26,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18tEP3ZQsQdW,,0,2019-04-02 18:55:06,executor5588,https://www.skepticalscience.com/co2-higher-in-past-intermediate.htm,UCYj_8umxrPS4TK8XNxkfdGA,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
27,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18tDzHkNU8wv,,5,2019-04-02 15:01:06,aleksander suur,"@John Bray orly, do link your source. Sea level is currently rising at a rate of 3mm/year, a far cry from 20mm/century. And it certainly has not done so for past 300 years like clockwork as you claim. Now, of course, 3mm/year is nothing to get your panties in a bunch about all by itself. Especially as only half of it is loss of land ice, that's not going to flood too much anytime soon. Problem for next century at worst. But if only half comes from land ice mass loss, where is the rest of it coming from? And that's the kicker, it's thermal expansion of the oceans. Does that mean oceans are getting warmer? Why yes, yes it does. And where is it going to have the biggest impact soonest? In the Arctic ocean of course, the one that's permanently covered with sea ice. In a decade or two, it won't be. Not too long from now, there will be open water at north pole. Did you by any chance know that snow and ice is very reflective and bright, while open water is anything but? Switching albedo from one extreme to another on an entire ocean is going to change things in northern climate and you are going to see that in your lifetime. What comes next, is anyone's guess, but open water at North pole will be the most immediate and dramatic effect of global warming. It's not going to get better from there.",UCPcnHIGnv8R5VpMoeeXiRPg,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
28,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18tDrzmooEiv,,0,2019-04-02 13:57:21,John Bray,Look back over 300 years were we have actual data about the change in sea levels... we have averaged 20 mm for every 100 years for 300 years like clock work... you can not look at a 10 year window and make a recommendation,UCQd2HwmwqcozU5fWcy4WMpw,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
29,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18tBMfTuMshk,,4,2019-04-01 14:36:29,aleksander suur,"@AstroTommy over 1000ppm CO2 concentration made it warm of course. CO2 weathering out to the low levels of past million years made it cold again. With Milankovitch cycles driving it between slightly warmer periods like last few thousand years and colder periods like last ice age. Really, you shouldn't try to learn science off of youtube comments, you are better off reading proper educational materials. Heck, read wikipedia, it has pretty decent explanations for all geologic eras, planetary thermodynamics, orbital dynamics, stellar evolution, carbon cycle and so on. And if it doesn't have a good explanation, it has a reference to one. Get to reading, it's a lot of material to work through, but in the end you'll actually understand the world around you better.",UCPcnHIGnv8R5VpMoeeXiRPg,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
30,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18tBIKAIQpqA,,1,2019-04-01 13:58:29,AstroTommy,"@aleksander suur if 50 million years ago the climate was ""much much warmer"", what caused it to get this warm back then? And what caused it to cool back down later to a point where New York was under a one-mile thick ice sheet? 🤔",UC3OgR3_lU880iScn1L5bXlg,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
31,UgxpsljONtn926VXBhZ4AaABAg.8spJwIw9sA18t95DyABvhj,,0,2019-03-31 17:25:33,S/V Della Jean,"My confusion is from when it is said 400 ppm is the highest concentration recorded, but another study shows it has been much higher.",UCZFK6HuBBPrdF8eFuOg9HvA,1,UgxpsljONtn926VXBhZ4AaABAg,ezAZ5WVAOyI,2019-03-20 10:28:55
