,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgxMyLT3uxy2Mk150wJ4AaABAg,0.0,0,2021-03-17 15:57:17,:Death.NoneExistentChannel,Science you r a joke,UCNc3GP1b0dCYz0LdVKBUYCA,0,UgxMyLT3uxy2Mk150wJ4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
1,Ugzz6gXeDxwjuSFyrCx4AaABAg,0.0,0,2021-03-17 15:57:01,:Death.NoneExistentChannel,Overheating of a computer that runs this simulation,UCNc3GP1b0dCYz0LdVKBUYCA,0,Ugzz6gXeDxwjuSFyrCx4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
2,Ugy6rCltRHkDfkk3DbZ4AaABAg,1.0,0,2021-03-15 18:16:38,fillinman1,What is warming the earth? Nothing. Global warming is a fraud. Climate scientists are paid to produce climate hysteria. No basis in fact. CO2 is good for the earth. Warm is good. Oil and gas use is not damaging the atmosphere. That is all scare head lies to impoverish humanity so we will be easier to control. Who doubts that there are terrible people in power all around the world?,UC5r0mLZIC7nXmGhOr1BGkww,0,Ugy6rCltRHkDfkk3DbZ4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
3,Ugy6rCltRHkDfkk3DbZ4AaABAg.9KvFRhB36eq9KxCfNtzFhy,,0,2021-03-16 12:30:54,Arjun Gaiki,icecaps are melting and then most of our land will be under the sea.,UCOA-nSrn1f2Zcokck5F6vJw,1,Ugy6rCltRHkDfkk3DbZ4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
4,UgxphjWlxSKTlwWyHQt4AaABAg,0.0,0,2021-03-15 16:50:36,Faysal Osman,What’s really warming up earth is cows farts.,UCdFCxFM0JTfmbwdYhzKkySg,0,UgxphjWlxSKTlwWyHQt4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
5,UgyrKD4vRQ79D8RmrL14AaABAg,0.0,0,2021-03-11 19:01:24,Greg Byrne,Tsunami&#39;s<br /><br />Electromagnetic,UCpWFxhb8t1YB-qrGziCQAaA,0,UgyrKD4vRQ79D8RmrL14AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
6,UgzMt-6sWyc0eAYKCbp4AaABAg,0.0,0,2021-03-11 09:30:10,A Z,"In the Middle Ages from 900 to 1300 it was much warmer than it is now, and even when Hannibal invaded Italy during the Roman Empire it was much warmer in fact he crossed the Alps with elephants which is not possible today. Who produced the heating then? Certainly not men ...",UCF60NNmrGhqElGxJf8tpbiw,0,UgzMt-6sWyc0eAYKCbp4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
7,Ugx6_V_lGMPJvc5rgg94AaABAg,0.0,0,2021-03-11 09:26:18,A Z,🤮🤮🤮🤮,UCF60NNmrGhqElGxJf8tpbiw,0,Ugx6_V_lGMPJvc5rgg94AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
8,UgwS-YOap0YZwW4hnYd4AaABAg,0.0,0,2021-03-09 14:24:34,Israel Leonardo,Is this why we are now living on Mars GOD our Father moved us all from Earth our former world things have been moved look and observe.,UCbEt1ZETSIk-QIHSP8vOe7Q,0,UgwS-YOap0YZwW4hnYd4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
9,Ugz6ZaMScuA7hlAcKyV4AaABAg,0.0,0,2021-03-07 23:07:31,mustLoveDogs,"You have to reduce the recorded temps of 100 - 120 years ago by 1.5 - 2 degrees <b>BECAUSE back then, people weren&#39;t as smart as now and could not read thermometers as well as now PLUS, mercury expanded at a higher rate back then compared with now...</b> QED - <b>Climate change PROVEN...</b>",UCZKE_MW467hH5tICUs8X6lA,0,Ugz6ZaMScuA7hlAcKyV4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
10,UgxzSRH77SaC5Z0v6hF4AaABAg,1.0,0,2021-03-07 15:40:44,John Smith,"I’m glad the Earth is warm. Imagine how much an ice age must suck. A giant ice sheet covering as far south as New York City. Cold dusty atmosphere, everything freezing to death. Be warm and happy people!",UCO5R8fnPLqSJvB1taXN9Z-g,0,UgxzSRH77SaC5Z0v6hF4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
11,UgxzSRH77SaC5Z0v6hF4AaABAg.9KaNEmO69SY9KxCq_BmpQ6,,0,2021-03-16 12:32:26,Arjun Gaiki,Well if we don't do something we will drown in the boiling water of the melted north pole.,UCOA-nSrn1f2Zcokck5F6vJw,1,UgxzSRH77SaC5Z0v6hF4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
12,Ugx6Yv4-13d_JEe7PbZ4AaABAg,0.0,1,2021-03-07 14:07:10,Work Phone4,"FYI. GLOBAL WARMING IS BEING IMPLIMENTED BY MAN. HOW? BY USEING THE H.A.A.R.P WEATHER MANIPULATING DEVICE. TO WARM THE ATMOSPHERE. THIS PROGRAM EVAN ABMITTS IT. STOP THE H.A.A.R.P DEVICE. ITS WHERE THE BIG TEXAS SNOW STORM CAME FROM. THEY CAN DO WHATEVER THEY WANT WITH IT. RAIN, HURRICANES, SNOW, ECT.",UC4tOUIa2T1N2QWXmiRtI_IQ,0,Ugx6Yv4-13d_JEe7PbZ4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
13,UgzoLRC3wXLORJ21B3p4AaABAg,0.0,0,2021-03-06 13:46:57,Thomas Hellberg,It&#39;s all you dumbasses making these fake news stories that&#39;s doing the trick.,UCMyUGu9u1_YBVUdYAXP3U9g,0,UgzoLRC3wXLORJ21B3p4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
14,UgzOdl172FK15aNHpOt4AaABAg,0.0,0,2021-03-05 08:54:28,aneesh89,So we need to adjust to this climate change cant stop it the earth wilo warm no matter how much effort you put in to protest,UC20aOSxi7RVjCHLefhpxXrQ,0,UgzOdl172FK15aNHpOt4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
15,UgxUQEQmxUpVY3PUgnZ4AaABAg,0.0,0,2021-03-05 02:30:52,Mr. Myers,"Global Warming has not taken place since 1998.....FYI.....CO2 makes up just .08 percent, that is eight hundreths of one percent of our atmosphere. Humans could not release enough CO2, even if we tried, to have an impact on global temperature. The Pacific Ocean on the other hand, plays a role, along with variations in the Earth&#39;s elliptical orbit around the Sun, and Sun surface activity, among many other factors that real climatologists study, unlike the alarmist scientist, many of whom were not necessarily climatologists when they began to receive grants to study the completely fabricated crisis of human-induced &quot;global warming&quot; or &quot;climate change&quot;. When a scientists entire budget, career, and livelihood is provided by the very foundations and unimaginable wealthy families (Which attained that wealth by largely unethical, and many times criminal activity, exploiting, extracting, and selling the oil from the Earth. Oil that belongs to EVERY human being alive on the planet, as it took millions of years to form. ), what is the most likely conclusion that they will arrive at? One that is truthful, logical, objective and unbiased? Or the one that continues their funding, keeps them in the spotlight, and satisfies the very wealthy, powerful entities I just mentioned. This manufactured, (by the hand of man), fabrication (something invented), began as an offensive tactic by big oil to take down big coal, but they soon realized the other inherent possibilities of the agenda, including carbon taxes, controlling the capital influx (remember, they have all the real wealth already) to renewables and emerging technology in power generation (watch the documentary &quot;Newman&quot;), therefore gaining monopolistic, complete control over the rest of us. These criminals only want to use this false narrative to further control you and steal your wealth.",UC0fQ5_2a7iNaKfGV-Az39KA,0,UgxUQEQmxUpVY3PUgnZ4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
16,UgwG6M7fsLOjAt1vmIx4AaABAg,0.0,0,2021-03-04 16:43:31,Jared Backus,"R u and Bill gates brothers,<br />How bout David Keith?<br />Tools of the enemy<br />Nasa fun boy",UCqgLFQkz-FSkilUoPGJ-EbQ,0,UgwG6M7fsLOjAt1vmIx4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
17,Ugy5WKXROkhiAhZLxvF4AaABAg,0.0,1,2021-03-04 00:25:34,Gacha_wolves,&quot;Its getting hot in here&quot;😂😂😂,UCVCd5K356ADgZYfa9YQe2OQ,0,Ugy5WKXROkhiAhZLxvF4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
18,UgxiaB3YwK9RqDHWV1x4AaABAg,0.0,0,2021-03-03 23:03:21,J Matson,The sun is as big as a small star believe me,UCYYuzJeKQTrfGGFgHPBytLA,0,UgxiaB3YwK9RqDHWV1x4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
19,UgykncUISpfe7uMHwul4AaABAg,0.0,0,2021-03-03 04:58:03,rob spence,Oh believe it’s happening but I also know major climate events happen every 6000 years and time’s almost up,UCOmq1pc2AOdv4D8ks17dgdw,0,UgykncUISpfe7uMHwul4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
20,Ugx1o_2rQvMxGUOtMmd4AaABAg,0.0,0,2021-03-02 19:41:30,Jose Luis,Climate alarmists were never right before (I can tell because maldivians are not swimming) but NOW they are right.,UCIB9KpKwUTZOkRW1PDuWx8Q,0,Ugx1o_2rQvMxGUOtMmd4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
21,Ugzoc0I5XAxfes7P8CZ4AaABAg,0.0,0,2021-03-01 16:43:53,Denny D Speed,Watch the Milankovitch cycle. Everything else is just to make profit $$$,UCVQbjt4bPWqHq9rpBag14Cw,0,Ugzoc0I5XAxfes7P8CZ4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
22,UgzJmpH1gyEy82ON0EZ4AaABAg,0.0,0,2021-03-01 05:20:19,Joe Smith,Magma.,UCxdQt9LOUrzntkMlrs8huzA,0,UgzJmpH1gyEy82ON0EZ4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
23,UgyucQ5DHgubDGUIVA14AaABAg,0.0,0,2021-03-01 01:44:58,urbanothepopeofdeath,it was actually hotter in the 1930s,UCCZG74s0MPR5mXtcaUGGBTQ,0,UgyucQ5DHgubDGUIVA14AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
24,UgzHnaCLmvzE6mF0QId4AaABAg,0.0,0,2021-02-28 18:44:56,Rational Being,What about changes in land use and other anthropic effects that correlate with the increase in human population over the last 200 years? Why the fixation on CO2? It is anti-scientific not to eliminate all the other factors before pointing the finger definitively at CO2.,UC-7U16UWrh8xwUym3QsjAlw,0,UgzHnaCLmvzE6mF0QId4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
25,Ugxayz6R524DYrbvrsR4AaABAg,0.0,0,2021-02-28 06:24:18,Michael C.,"Okay, I did a search and found 1,000,000 articles by Okay To Be Smart people, mostly journalists who cheated through math classes in college (many bragged to me about it when I was an engineering student- I offered to tutor them), that all the freezing weather is due to the conservative oil users and climate change. The chilling part of this is the attacks you will face if you want to discuss this topic in a pragmatic manner.",UCC41VYfmmQ0xrM1B3GgbZmA,0,Ugxayz6R524DYrbvrsR4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
26,UgzxPBoCn-cR0nbfrJB4AaABAg,0.0,0,2021-02-28 02:29:31,Tim & Kathy Shelton,"According to the winter we just had, it’s nit warming. I’m really not worried about it.",UCxXDcAG6-rR3BlekimcBq4g,0,UgzxPBoCn-cR0nbfrJB4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
27,UgwGBDEfucNdfgIqa_d4AaABAg,0.0,0,2021-02-27 09:55:40,John Poop,Maybe it’s my health. Maybe a nice tropic coastal region is needed and not electric impulses. Maybe you’re already fucked. Maybe I’m amazed with the way you’re with me all the tiem. Maybe I’m afraid of the way I really,UCPBH_oVzhEDV4GRYuePjO3g,0,UgwGBDEfucNdfgIqa_d4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
28,UgyjQQ3Qqq2FjqK5aB14AaABAg,0.0,0,2021-02-27 02:52:23,Bethy Mears,The heat is also coming from all the nuclear waste.,UCyyYA2NJ9EDxYXdgqt-Z6fg,0,UgyjQQ3Qqq2FjqK5aB14AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
29,Ugz9GqeR5299dGmmuYh4AaABAg,0.0,0,2021-02-26 07:34:18,Victorio Vitalinsky,NOTHING IS WARMING IT,UCjNZlOU9Yr45KCH_1VAm0RA,0,Ugz9GqeR5299dGmmuYh4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
30,UgyhjtU9MHrTSkDRBh54AaABAg,1.0,0,2021-02-25 19:25:22,jeff snider,"I remember as a young man in the 1960s there were only 6000 polar bears on earth. Now after decade after decade of CO2 and carbon pollution there are only 30,000 polar bears on earth.",UCEQ9PZ16nWgGGuo3hA-itEA,0,UgyhjtU9MHrTSkDRBh54AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
31,UgyhjtU9MHrTSkDRBh54AaABAg.9KC1-IrGelr9L0_YS1yHII,,0,2021-03-18 05:16:30,Darrell Manansang,Number didn't say that they has place to live in one example is Dhaka in bangladesh which normally only can be home for 10 Million (included the greater metropolitan) but it's crammed 21 million people in it And that doesn't mean they get to live in their home back they probably live in another place,UCCf2Nu8D_fmoi4E9Yo8v8nw,1,UgyhjtU9MHrTSkDRBh54AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
32,UgxXLdxdiIcf4Qa1dmR4AaABAg,0.0,0,2021-02-25 09:29:24,Mr. Ken,"So, where was global warming last week when it was 8 degrees F in Houston, TX? We could have used some.",UCAHoZaPM0-QMKVPyAGZMG7A,0,UgxXLdxdiIcf4Qa1dmR4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
33,UgxtY_rc84nNlzT-6Tl4AaABAg,1.0,1,2021-02-25 05:00:58,Exploring Northern Ontario,150 years of Earth&#39;s history is meaningless. The earth has had 6 ice ages over millions of years!,UCTMWsNIBJ2zVAB_vaxn6Cmg,0,UgxtY_rc84nNlzT-6Tl4AaABAg,hphdsLcSTYQ,2016-08-29 17:25:39
