,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,Ugw_mquNvTqQezqoYXB4AaABAg,4.0,199,2018-09-07 11:32:50,Maril3,I&#39;m saddened to see how little attention this video has mustered.,UCGQdOz1ql_Tl-qeTtHmBmoQ,0,Ugw_mquNvTqQezqoYXB4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
1,Ugw_mquNvTqQezqoYXB4AaABAg.8ktau7gS0zF9607U2dLUnj,,0,2020-03-10 05:11:35,Lui et lui même,Share it with as much people as possible and maybe it willl change,UCLsgZnUw2GO4gvcGYdXfZNg,1,Ugw_mquNvTqQezqoYXB4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
2,Ugw_mquNvTqQezqoYXB4AaABAg.8ktau7gS0zF8zrhNfTEIdl,,1,2019-09-14 13:41:51,RipsRops,Spanish version has 1.500.000 views,UCQzzSSvcaZZF1BSUov33_BA,1,Ugw_mquNvTqQezqoYXB4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
3,Ugw_mquNvTqQezqoYXB4AaABAg.8ktau7gS0zF8wg1joTcfL6,,2,2019-06-27 11:23:27,Rogue Wave,@Charles Nelson err... being aware that our planet is dying could count as a mental illness...?,UCfgWObC2uAny-2_VSksOXgQ,1,Ugw_mquNvTqQezqoYXB4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
4,Ugw_mquNvTqQezqoYXB4AaABAg.8ktau7gS0zF8qhzrwqUTsg,,9,2019-01-30 02:28:28,Joaquin Raigo,The spanish version has more attention.,UCmyEKO5aWYd5o3rJZN8gV8g,1,Ugw_mquNvTqQezqoYXB4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
5,Ugw5p61LKKtJK6YK9Dt4AaABAg,2.0,200,2018-06-12 01:41:52,Richy,Aguante el español :v,UCzxMxLGLc0ys-llCMNmYdNQ,0,Ugw5p61LKKtJK6YK9Dt4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
6,Ugw5p61LKKtJK6YK9Dt4AaABAg.8hNX6ha8aAr8wtvh55XDcJ,,1,2019-07-02 20:51:17,An639Dré,Si alv,UCWiiub1Y9JZVy0cmfpfGW2w,1,Ugw5p61LKKtJK6YK9Dt4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
7,Ugw5p61LKKtJK6YK9Dt4AaABAg.8hNX6ha8aAr8hOxfVb_Ry-,,1,2018-06-12 15:01:56,Nalroy,"The Richicool aguante, aguante.",UCDR1bpK3Ucwh7JpjBAc-djw,1,Ugw5p61LKKtJK6YK9Dt4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
8,UgxhLoVwpdNSIubi64V4AaABAg,0.0,33,2018-11-30 23:20:29,Liliya E,This is a subject that needs more attention.,UCF9KWmove60gfA18LymxpTg,0,UgxhLoVwpdNSIubi64V4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
9,Ugz82kGsDpJ2KFnYQV94AaABAg,0.0,45,2018-06-06 02:18:54,Jan Becker,What an amazing video! It will be shared...,UC9VLuhB7j4Im3lh9vuvO3Sw,0,Ugz82kGsDpJ2KFnYQV94AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
10,UgzpxUgn_BWfRnEfgJ14AaABAg,0.0,19,2019-05-14 18:41:07,Ana Lilia happy,THIS IS SIMPLE AWESOME!!! MAGNIFICIENT!! THANKS FROM THE BOTTOM OF MY HEART!,UCQRZal_J_nqf7JqTPGVH6Og,0,UgzpxUgn_BWfRnEfgJ14AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
11,UgwY_cr3suDMHZrlvDJ4AaABAg,0.0,8,2019-06-05 07:57:43,Frederick Saxton,"It was a 20 minute ad on my video, I watched every second. One of the most amazing video&#39;s and explinations on climate change I have ever seen. I will spread this video as much as I can.",UC24PkkSdGst2-PtBnDwR75A,0,UgwY_cr3suDMHZrlvDJ4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
12,UgxW573L1644jmjoq994AaABAg,1.0,33,2018-06-24 12:02:30,John Callaghan,"People know smoking is bad, feel smoking is bad, but are still continuing, and that is a simple problem to be solved completely autonomously by the one who is smoking. Imagine a system, in which everybody has been taught to believe, requiring a transformation which is inherently changing the essence of that system. Very difficult.",UCo8VfEXW7_gMm8J9AK92tBA,0,UgxW573L1644jmjoq994AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
13,UgxW573L1644jmjoq994AaABAg.8hsXfq4RKFr95bF_oAc9Ww,,2,2020-02-29 04:02:09,David Konevky,"Imagine someone making smoking illegal, and all the companies go bankrupt",UC4jOtGLIC9sRyc_WItYFGMg,1,UgxW573L1644jmjoq994AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
14,UgyYl3Nfn3-CWvdiyPV4AaABAg,1.0,19,2018-06-05 12:47:45,Alan Picazo,"Nice! I watched on spanish, now english, can you do it in chinese? I mean they could know about this<br />as well, follow in that way acciona ✅ and whymaps! 😍",UClj61NZWjc-8mVFFhiQ5Uvw,0,UgyYl3Nfn3-CWvdiyPV4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
15,UgyYl3Nfn3-CWvdiyPV4AaABAg.8h6gkZcSu_y8qX4Q7LlOar,,4,2019-01-25 11:26:04,Sebastian Larrosa,Why bother make it in Chinese if Google (and YouTube) are forbidden in China?,UCcSGYz1HgL8rJHNjgLghFOA,1,UgyYl3Nfn3-CWvdiyPV4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
16,UgzKM-bal499YN5nw7l4AaABAg,0.0,26,2018-06-06 01:17:38,Saud Amed,"<a href=""http://www.youtube.com/results?search_query=%23WHYMAPS"">#WHYMAPS</a>",UC7XUQlCJH7l_RLfNMwamEUg,0,UgzKM-bal499YN5nw7l4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
17,Ugyt_RQdN5Yqw1nmmn54AaABAg,0.0,6,2019-05-29 22:19:06,Daniela,"This same video has about 1 million visits in Spanish, but in English has fewer visits, I would like EVERYONE to worry about this issue because we are all affected.",UC_KNzUJZsh8ujvjXM5lEcLA,0,Ugyt_RQdN5Yqw1nmmn54AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
18,UgyxJMOWZytL9OT5gQN4AaABAg,0.0,8,2018-06-05 13:36:22,Steve Galache,Awesome work from whymaps!,UCLqY7JKBTBvOetDT6lIj6sA,0,UgyxJMOWZytL9OT5gQN4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
19,UgxMpUE_wUzcLqd88XB4AaABAg,0.0,8,2019-03-17 15:05:14,aywan Tlbes,"Just watched that after the movements of caring people on streets around the world last Friday 15/3/2019. I&#39;m absolutely gutted that I haven&#39;t paid attention to this problem way before since I thought that people are just overreacting to silly matter. However, now I came into the realisation that I&#39;m the one who&#39;s silly and I&#39;ll start to raise awareness from now.<br /><br />Thanks a lot for the amazing video",UCtqg7urXrWkjsl1Zjd_Euew,0,UgxMpUE_wUzcLqd88XB4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
20,UgwmwyQ2PuO1MqOpN4B4AaABAg,0.0,6,2018-08-11 19:06:40,Gil el variado,"Esta muy bien este video, además de muy interesante es bastante realista",UCHam7dkc_uqEYbcv3PA8Y8g,0,UgwmwyQ2PuO1MqOpN4B4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
21,UgwxsQF1AcuXtW87hUB4AaABAg,0.0,2,2019-10-22 10:47:58,Johanna Schrett,This is such a creative video. I&#39;m glad to see it. You&#39;re brilliant.,UCPY-xW0ErvTWvaVvxMDqgdQ,0,UgwxsQF1AcuXtW87hUB4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
22,UgxX35azqPca0tc9hEh4AaABAg,0.0,1,2019-12-21 03:53:48,ya boi,"I kept freaking out and thinking about this this so much, watching this made me feel A LOT calmer",UCb-Ztrp7eWchkfSNpg6ggiw,0,UgxX35azqPca0tc9hEh4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
23,Ugy5wP9mP46WFTjPdyd4AaABAg,0.0,2,2019-07-31 08:44:54,Fidel Coller,"Use your energy wisely, recycle, reuse things, fix broken stuff instead of throwing away, and of course be happy and enjoy your life",UC9WD0jhWUZc7FPCagFbSp9Q,0,Ugy5wP9mP46WFTjPdyd4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
24,Ugz1MkfpVTPwiRmSg3B4AaABAg,3.0,9,2018-12-14 05:44:24,Paulina Dackiw,"I am soooooooo subscribing!!!! This video is GENIUS!!!! It should be shown to the WORLD!!!! NOT kidding. Thank you soooooooooooooo much!!!!!!!!!!!!😄 <a href=""http://www.youtube.com/results?search_query=%23ICareAboutClimateChange"">#ICareAboutClimateChange</a>",UCzzTcySmqrJMh5Gbl3H83wg,0,Ugz1MkfpVTPwiRmSg3B4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
25,Ugz1MkfpVTPwiRmSg3B4AaABAg.8opJvrWjwrm8q_dD278X2B,,0,2019-01-26 20:36:35,Pedro Mengual Sánchez,"If you want to see more like this, the channel that does it is #WHYMAPS, but it's in Spanish.",UCp90Q_v6oHxQaAjujM9r5xw,1,Ugz1MkfpVTPwiRmSg3B4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
26,Ugz1MkfpVTPwiRmSg3B4AaABAg.8opJvrWjwrm8oyL1J2-XDr,,0,2018-12-17 17:47:11,Paulina Dackiw,No problem. I love the environment and will do anything to help it. And this video is one step closer to achieving my dream!!!!!!❤️,UCzzTcySmqrJMh5Gbl3H83wg,1,Ugz1MkfpVTPwiRmSg3B4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
27,Ugz1MkfpVTPwiRmSg3B4AaABAg.8opJvrWjwrm8oyF87PXoTf,,0,2018-12-17 16:55:41,ACCIONA,Thanks so much Paulina :),UCVLajedX43G0E1BRVx7Q7dQ,1,Ugz1MkfpVTPwiRmSg3B4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
28,UgxgA73Xzy7Eq_n-9Fd4AaABAg,0.0,2,2019-09-17 02:04:00,Zoe Bocek,This is incredibly enlightening.,UCE4ma9FdHrUSRqByySOOb5g,0,UgxgA73Xzy7Eq_n-9Fd4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
29,UgwyEyZl4FWKAK9blJ14AaABAg,0.0,5,2018-06-05 10:25:35,MARCOS MORRINSON,"<a href=""http://www.youtube.com/results?search_query=%23WHYMAPS"">#WHYMAPS</a>",UCg0V4CFj17Fker5oAYPXYFg,0,UgwyEyZl4FWKAK9blJ14AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
30,UgzxCY4iMSwf90kGaD94AaABAg,0.0,1,2019-01-10 06:18:37,Juliet Marie Aspin,this is really great! definitely sharing this!!! you are soooo freakin gooddd and smarrttt!! u got urself another sub :)),UCUP1ZnU8U51t6I83rt0po7g,0,UgzxCY4iMSwf90kGaD94AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
31,Ugy12-VGoHnvZJ5Lb1l4AaABAg,0.0,0,2019-08-10 09:25:01,umut yıldız,Great video ! Thanks for preparing this video and make us to realize some reality.,UCu-645_ipK4US1hTmNauiGw,0,Ugy12-VGoHnvZJ5Lb1l4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
32,Ugx5Mv9cgRxHlmhxzJR4AaABAg,0.0,1,2019-11-09 05:02:45,Lady Jazmin,"Excellent video, funny, easy to understand and is making me feel so many emotions.",UC5GtJQzl0mfJHgiYTmRV0xg,0,Ugx5Mv9cgRxHlmhxzJR4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
33,Ugz-xlhIO6hj7rVpkjR4AaABAg,0.0,1,2019-05-21 23:06:08,Dayna Ruddock,Wooooowwwwww! This is an amazing video!,UCxDOQAxcmfxh6dY0wGHDVuw,0,Ugz-xlhIO6hj7rVpkjR4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
34,Ugwed6Jp6oXIb6KB3ch4AaABAg,0.0,0,2019-11-07 09:43:41,Sanshriti Mehta,This video was amazing! I am doing my final thesis project as an interior designer student about climate change! This was so helpful!,UC3JQHdxoxCqdXUQrwAsorvA,0,Ugwed6Jp6oXIb6KB3ch4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
35,UgwUUn7SDWBzzaraBvx4AaABAg,0.0,0,2020-04-12 04:22:33,illumental,i saw an ad for this and I watched the entire goddamn thing im amazed by how you did that,UCRYw9ZepmCiDi5jS12lPbAA,0,UgwUUn7SDWBzzaraBvx4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
36,Ugzi2_965rATus9pNUJ4AaABAg,0.0,0,2019-07-10 16:24:45,Barry Aslanian,This is one of the greatest videos I’ve ever seen,UCe19MoAejINAfy-e1ZJdEyg,0,Ugzi2_965rATus9pNUJ4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
37,UgzsEzeHe7A29P6-Hs54AaABAg,0.0,2,2019-06-09 01:26:49,Bleach ur brain,This explains it very well,UCZx6qqJcqmAHJPTDl6lnxQg,0,UgzsEzeHe7A29P6-Hs54AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
38,Ugwwgj0sEeLVwiUMv3J4AaABAg,0.0,1,2020-01-03 03:41:31,master xicon2,yup this video proved my beliefs that my life is soon going to be hell in about a decade and I&#39;m not even 13yrs old yet,UC99JwbIrf0oUSnDpa-A-D0w,0,Ugwwgj0sEeLVwiUMv3J4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
39,UgyTFFgtJodTxU4Z1ul4AaABAg,1.0,10,2018-09-19 06:44:11,Nocturno,K weno que este en ingles para que llegue a mas gente :v,UC7iWyjNz1GKDD3qx5YegzBQ,0,UgyTFFgtJodTxU4Z1ul4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
40,UgyTFFgtJodTxU4Z1ul4AaABAg.8lMzPW4xm2D8lr3WGrkdmE,,1,2018-10-01 08:25:15,ACCIONA,"Hola Giancarlos, aquí puedes encontrarlo en inglés: https://www.youtube.com/watch?v=iw2AHyMmGT8&t=1s ¡Muchas gracias por tu interés!",UCVLajedX43G0E1BRVx7Q7dQ,1,UgyTFFgtJodTxU4Z1ul4AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
41,Ugy6q1CvA0qqJ-jmaA94AaABAg,0.0,3,2018-06-05 10:45:46,Daniel d c,Magnífico,UCFWQmbYlNanQ5xnB44tXJsQ,0,Ugy6q1CvA0qqJ-jmaA94AaABAg,iw2AHyMmGT8,2018-06-05 09:06:32
