,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgzjrWUbGledQVzjF8F4AaABAg,7.0,37,2020-04-03 09:37:23,ju,Who else be here for geography homework during quarantine??,UCNCfrkubevxddU_SEaLfC_w,0,UgzjrWUbGledQVzjF8F4AaABAg,kw6DCp9xvWw,2018-03-12 19:03:56
1,UgzjrWUbGledQVzjF8F4AaABAg.96zOyml3LWX9Kxc7fF0ylR,,0,2021-03-16 16:22:06,Rahul B,me,UCFQwFXgJ9C3kngtPKTp2hnw,1,UgzjrWUbGledQVzjF8F4AaABAg,kw6DCp9xvWw,2018-03-12 19:03:56
2,UgzjrWUbGledQVzjF8F4AaABAg.96zOyml3LWX9KuuBUAqwDx,,0,2021-03-15 15:02:11,Wewty plays!,I am!,UCyCku3vMzjVwN5Trxge7BNA,1,UgzjrWUbGledQVzjF8F4AaABAg,kw6DCp9xvWw,2018-03-12 19:03:56
3,UgzjrWUbGledQVzjF8F4AaABAg.96zOyml3LWX9INT7_gc-WW,,0,2021-01-11 13:00:01,chrisnkazz f,yep,UCCWItsden80nEoBiDVpXYhA,1,UgzjrWUbGledQVzjF8F4AaABAg,kw6DCp9xvWw,2018-03-12 19:03:56
4,UgzjrWUbGledQVzjF8F4AaABAg.96zOyml3LWX9INT5qgGFgP,,0,2021-01-11 12:59:47,chrisnkazz f,yep,UCCWItsden80nEoBiDVpXYhA,1,UgzjrWUbGledQVzjF8F4AaABAg,kw6DCp9xvWw,2018-03-12 19:03:56
5,UgzjrWUbGledQVzjF8F4AaABAg.96zOyml3LWX9HPOaW5CeXW,,0,2020-12-18 10:27:30,Surya Nayaka,Hii,UC4aOqMbjDcEZPIjdCBr2JZg,1,UgzjrWUbGledQVzjF8F4AaABAg,kw6DCp9xvWw,2018-03-12 19:03:56
6,UgzjrWUbGledQVzjF8F4AaABAg.96zOyml3LWX97BF1W-EiTp,,0,2020-04-08 09:20:38,ju,@GeoDiode thank you you too :),UCNCfrkubevxddU_SEaLfC_w,1,UgzjrWUbGledQVzjF8F4AaABAg,kw6DCp9xvWw,2018-03-12 19:03:56
7,UgzjrWUbGledQVzjF8F4AaABAg.96zOyml3LWX97A2Mqwvbse,,1,2020-04-07 22:10:43,GeoDiode,"Quite a few, judging by comments on various vids of mine. Stay safe! :)",UC1raaXFgsFBSFR8qNgchF2g,1,UgzjrWUbGledQVzjF8F4AaABAg,kw6DCp9xvWw,2018-03-12 19:03:56
8,UgxbDKZazzwUL0A2t654AaABAg,2.0,24,2019-02-14 03:58:39,ONeMansvoice 01,Nearly 40% of the O2 is produced in the tropical rainforests,UCZ8bGPcKyoJgSkBqHGM8K6Q,0,UgxbDKZazzwUL0A2t654AaABAg,kw6DCp9xvWw,2018-03-12 19:03:56
9,UgxbDKZazzwUL0A2t654AaABAg.8rJm6_QyCC_97Pijut3nVO,,4,2020-04-14 00:18:20,Alcindo Gomes Neto,GeoDiode you are right but all the O2 that is produced in the rainforest is used there the O2 that we need is produced 90% in the oceans,UCoyU6ue7TbFtnmDclzLDG0g,1,UgxbDKZazzwUL0A2t654AaABAg,kw6DCp9xvWw,2018-03-12 19:03:56
