,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgxLXfY5udWdZw-FLUd4AaABAg,2.0,171,2019-03-03 10:55:55,José Arturo Garza,<b>Came here after watching SNL Cecily Strong&#39;s version. DO OVER! D.O.!</b> <i>Cut for Time??</i> 😏😕,UCePAsVe7pqtHZ6H2eEmqqhg,0,UgxLXfY5udWdZw-FLUd4AaABAg,lu-VzZ45MwI,2019-02-25 15:17:31
1,UgxLXfY5udWdZw-FLUd4AaABAg.8s0INd7X-tz8sGV7ZPUOOg,,1,2019-03-09 17:55:10,Mahlon On The Moon,Same,UC6s6OAxfQHbDzdUWbUWUGFA,1,UgxLXfY5udWdZw-FLUd4AaABAg,lu-VzZ45MwI,2019-02-25 15:17:31
2,UgxLXfY5udWdZw-FLUd4AaABAg.8s0INd7X-tz8s0Of_yUQs7,,1,2019-03-03 11:50:55,David Bryant,"They really did run out of time. In my market, they even cut the show's CREDITS for time. They usually do two skits after the second musical performance. They cut both along with the credits. It's the perils of live TV. Luckily they record the rehearsals and their off-site sketches so we get to see some of what didn't make it to air.",UCOqexMTfOyMMOgkafU2iY0w,1,UgxLXfY5udWdZw-FLUd4AaABAg,lu-VzZ45MwI,2019-02-25 15:17:31
3,UgxfJFMu0b45f3TIFDl4AaABAg,1.0,68,2019-02-26 11:08:36,Eidolon Specus,"Her argument is basically &quot;I am popular, therefore I am competent&quot;.",UC_nj2OwEVyM7eQJpXGuJGDw,0,UgxfJFMu0b45f3TIFDl4AaABAg,lu-VzZ45MwI,2019-02-25 15:17:31
4,UgxfJFMu0b45f3TIFDl4AaABAg.8roRrClHbae90_X8LAPiCJ,,2,2019-10-27 05:20:06,8128heart,"LOL! You should hear our 'gasbag-in-chief' say he is the 'Greatest Man in History' ..... because he says so :) Feinstein's approach to increasing fuel standards is 'Bi-partisan'......which is probably a word the kids don't understand, yet. To most adults, it means 'It will never happen'. Because the GOP senators love having their pockets stuffed with fuel company's money......more than they care about the future of a bunch of kids. Those grouchy old GOP senators will all die off soon....so, they will never have to worry about what happens to those kids!!",UCTXbSXZGqB-XllReo935Jjw,1,UgxfJFMu0b45f3TIFDl4AaABAg,lu-VzZ45MwI,2019-02-25 15:17:31
5,UgzRJ3J7BC-YwG1oKb94AaABAg,2.0,93,2019-03-03 11:56:18,CecilRyuTaekwondo,SNL brought me here.,UCWxW5K67daYVn6T7Tp0B4ww,0,UgzRJ3J7BC-YwG1oKb94AaABAg,lu-VzZ45MwI,2019-02-25 15:17:31
6,UgzRJ3J7BC-YwG1oKb94AaABAg.8s0PHsDHxb59GxSuaZLlHy,,0,2020-12-07 04:47:13,DEVIN THE DUDE,Sameee,UC21rXT2jLC_kfJhe_mIDrcw,1,UgzRJ3J7BC-YwG1oKb94AaABAg,lu-VzZ45MwI,2019-02-25 15:17:31
7,UgzRJ3J7BC-YwG1oKb94AaABAg.8s0PHsDHxb58s3FYNzKOYU,,2,2019-03-04 14:28:53,winesap2,Such a good sketch and they nailed her patronizing of little children soooo good.,UC2wBCs7eCyubqIA1_NFCq3w,1,UgzRJ3J7BC-YwG1oKb94AaABAg,lu-VzZ45MwI,2019-02-25 15:17:31
8,UgxK87PAgkhaCZq8xyV4AaABAg,15.0,120,2019-02-26 01:24:21,Mind your own business,"Negotiating with child Activists, the future of the democratic leadership, good luck with that lol.",UC49PC8x_6V-LNJ98A3vrNBg,0,UgxK87PAgkhaCZq8xyV4AaABAg,lu-VzZ45MwI,2019-02-25 15:17:31
9,UgxK87PAgkhaCZq8xyV4AaABAg.8rnOzv5LYGW9HNNMLzJmtc,,0,2020-12-17 15:38:13,Jack Meoff,@Konosaurus Rex you just compared today's science with flat earthers... you lost me with that one. Please stop responding after that ridiculous rebuttal,UCdXI_0_GOlNuOjAcfPR1a5g,1,UgxK87PAgkhaCZq8xyV4AaABAg,lu-VzZ45MwI,2019-02-25 15:17:31
