,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,Ugy_I7AIpGpi0QYsQCR4AaABAg,2.0,9,2020-10-19 22:20:52,Adam Taub,"Please get out and vote! We need action on the environment, climate change, health and social justice. Please do it now and get your friends and family to go as well.",UC7gP3MMyrLomuEhlezY1cPw,0,Ugy_I7AIpGpi0QYsQCR4AaABAg,nAs4ai-ZAC0,2020-10-18 13:05:00
1,Ugy_I7AIpGpi0QYsQCR4AaABAg.9F0AXuqmI999FDC0EVUo2V,,0,2020-10-24 23:43:53,Brian Diehl,"@David ANewman the classic ""state something objectively false and then project """,UC7MdyMTn39j84xBDJMswGdg,1,Ugy_I7AIpGpi0QYsQCR4AaABAg,nAs4ai-ZAC0,2020-10-18 13:05:00
2,Ugy_I7AIpGpi0QYsQCR4AaABAg.9F0AXuqmI999FD73asJJiU,,0,2020-10-24 23:00:39,Brian Diehl,@David ANewman we have known about climate change since before he was born,UC7MdyMTn39j84xBDJMswGdg,1,Ugy_I7AIpGpi0QYsQCR4AaABAg,nAs4ai-ZAC0,2020-10-18 13:05:00
3,UgxFci-DK9lgyWFluaN4AaABAg,1.0,2,2020-11-01 11:32:15,FutureGhost Onfire,"Climate change lol, sounds so gentle. It is CLIMATE CHAOS.",UCZ9yImXXaDjRpbTG7V_0NBA,0,UgxFci-DK9lgyWFluaN4AaABAg,nAs4ai-ZAC0,2020-10-18 13:05:00
4,UgxFci-DK9lgyWFluaN4AaABAg.9FWUdeQd7jW9GGEHXnaDX3,,0,2020-11-20 00:32:50,TripleThreat CGA,We have more CHAOS coming from ANTIFA and BLM than there ever was coming from the Climate.,UCEutBTaN7RlVChZ1PRUA9gQ,1,UgxFci-DK9lgyWFluaN4AaABAg,nAs4ai-ZAC0,2020-10-18 13:05:00
5,UgxBh_oyj_adjIIW_2N4AaABAg,0.0,2,2020-10-18 13:28:13,Richie Tattersall,"A sea wall regarding NYC v reality. The &quot;rivers&quot; around Manhattan are tidal estuaries, they literally have tides. The Hudson River is &quot;brackish&quot; from the mouth of the Hudson, North for app. 153 miles till it reaches the Federal Damn in Troy NY. <br />NYC&#39;s water supply extends North into the Adirondack Mountains, and it is pretty much just gravity that feeds it.",UC0P7ZJSN8jgQFvUXVAlTnfw,0,UgxBh_oyj_adjIIW_2N4AaABAg,nAs4ai-ZAC0,2020-10-18 13:05:00
6,UgyEnp0ONSIsV7wfK8d4AaABAg,0.0,1,2020-11-07 00:15:33,YOUSRA ADLY,Hahaha my only concern that this world still didnt get the facts the mother nature is God servant it dont keep feed/ help well being survival of any creatures that goes against God desire .,UCxvLl01FFzRIGDPyew7TFzQ,0,UgyEnp0ONSIsV7wfK8d4AaABAg,nAs4ai-ZAC0,2020-10-18 13:05:00
7,UgxrtPRP-sGsHqkx6YR4AaABAg,0.0,0,2020-10-18 16:42:43,stuff4Sale FromKraigzList,yet we forget the amount of nuclear bombs to destroy ALL LIFE on the planet? Priorities appear to be lost on poptarts 🐒💩,UCsr5H5fmovXK3nehlAdcihw,0,UgxrtPRP-sGsHqkx6YR4AaABAg,nAs4ai-ZAC0,2020-10-18 13:05:00
8,Ugzyphghcc9B7CC2LGB4AaABAg,6.0,15,2020-10-18 13:15:54,Richie Tattersall,"Humanity existed in harmony with nature for millennia, we started destroying it when the Industrial Revolution started.",UC0P7ZJSN8jgQFvUXVAlTnfw,0,Ugzyphghcc9B7CC2LGB4AaABAg,nAs4ai-ZAC0,2020-10-18 13:05:00
9,Ugzyphghcc9B7CC2LGB4AaABAg.9ExcNT85mHU9FPcwz0Y4Y4,,0,2020-10-29 19:38:51,Josef Parson,@GEORGELET4 Mountain Men,UCkd5YDZxIlGhtNyJ0jov5yw,1,Ugzyphghcc9B7CC2LGB4AaABAg,nAs4ai-ZAC0,2020-10-18 13:05:00
