,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgzrUWf9lhtgUXEB4054AaABAg,10.0,155,2019-08-09 11:46:02,M,Maybe the world war III is the earth versus us,UCuMQ7lV0qvWGv9cKK_p5izA,0,UgzrUWf9lhtgUXEB4054AaABAg,rWqgrFDIX6c,2019-08-07 15:09:14
1,UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB9DM965o9DJK,,0,2020-09-08 18:08:50,Lily_ ShadowMoon,I side with the earth,UCn_tgdXT8CTTtxawsh6roDA,1,UgzrUWf9lhtgUXEB4054AaABAg,rWqgrFDIX6c,2019-08-07 15:09:14
2,UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB97gw5qQfwIf,,1,2020-04-21 02:01:24,Joyce Naranjo,r/im14andthisisdeep,UCUEfatk3Ib-yVjTQNtA7sEQ,1,UgzrUWf9lhtgUXEB4054AaABAg,rWqgrFDIX6c,2019-08-07 15:09:14
3,UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB9141HPHlOMF,,0,2019-11-08 10:57:25,ryan joned,Jesus is in control,UCDb3hpepcphZi8bqEk9U3xQ,1,UgzrUWf9lhtgUXEB4054AaABAg,rWqgrFDIX6c,2019-08-07 15:09:14
4,UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB9-9ppQdTGf-,,0,2019-09-22 00:01:16,MrSuperrajab,5head comment right here,UCqLNZ395HCMeBBm3LxfRMvg,1,UgzrUWf9lhtgUXEB4054AaABAg,rWqgrFDIX6c,2019-08-07 15:09:14
5,UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB8zszaTvUe3T,,1,2019-09-15 01:40:16,Russell lance lim,"@Alsx Aguilar no, we people kill the earth :<",UC6XNVm7B7ineWVXCF-RVhYw,1,UgzrUWf9lhtgUXEB4054AaABAg,rWqgrFDIX6c,2019-08-07 15:09:14
6,UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB8zjsuGLxr90,,0,2019-09-11 12:48:38,Walter Brendle,It is rich against poor,UCXxlHK410pQWbB1Aby-IsDA,1,UgzrUWf9lhtgUXEB4054AaABAg,rWqgrFDIX6c,2019-08-07 15:09:14
7,UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB8zWAEIweEDE,,1,2019-09-05 19:40:11,MagicKing,Sea level will rise by over 60 meters and many big cities will be gone,UCd_9TDsVWDYD5LZRjp37ERw,1,UgzrUWf9lhtgUXEB4054AaABAg,rWqgrFDIX6c,2019-08-07 15:09:14
8,UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB8yvUoZPQw1w,,5,2019-08-22 04:28:54,Oli Bee,Maybe the end of the world is coming. Amazon is on fire,UCa9Ka0dGuB82W4F8NCrpqOw,1,UgzrUWf9lhtgUXEB4054AaABAg,rWqgrFDIX6c,2019-08-07 15:09:14
9,UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB8yv-55MhQI4,,12,2019-08-21 23:51:40,Alsx Aguilar,I really felt that. We are killing the earth 🤦‍♂️😥,UCS3NMzOzs34hTkXvn-Lccgw,1,UgzrUWf9lhtgUXEB4054AaABAg,rWqgrFDIX6c,2019-08-07 15:09:14
10,UgzrUWf9lhtgUXEB4054AaABAg.8yPnVppUWZB8yuCaYCaMVo,,16,2019-08-21 16:30:28,tassap93,I'm with the earth all day!!! #saveearth,UCj5sXsFJSNLVHuQNpQ3jpNQ,1,UgzrUWf9lhtgUXEB4054AaABAg,rWqgrFDIX6c,2019-08-07 15:09:14
11,Ugz0_NqlIJ4uBNReWMV4AaABAg,0.0,10,2019-08-30 21:35:02,Yongly Cheng,"if human destroy the nature, and nature will destroy us back",UCisFieX97nFxn6uGxkcDX4Q,0,Ugz0_NqlIJ4uBNReWMV4AaABAg,rWqgrFDIX6c,2019-08-07 15:09:14
12,Ugy0te--Bq5LdPv-_CF4AaABAg,2.0,20,2019-08-22 15:50:33,Kenzie Noel,I feel like it’s The Lorax all over again. Soon we’ll have to buy air. 🥺😭,UC-T0V_1mgxfuvvViZ3moSZA,0,Ugy0te--Bq5LdPv-_CF4AaABAg,rWqgrFDIX6c,2019-08-07 15:09:14
