,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,Ugyy5t59KVrFX38h_KN4AaABAg,0.0,16,2019-04-14 20:27:28,Alberto Scatto,"Love the content, I’m going tp take action tomorrow with Extinction Rebellion in Barcelona and it’s gonna be huge! <br />Let’s save our lives by disrupting the system internationally!",UCL8urf9WlRrbVR5NnPqftvA,0,Ugyy5t59KVrFX38h_KN4AaABAg,sBFdLcNYjb0,2019-04-14 13:00:06
1,Ugx8qtZMz_hb-lxcXl54AaABAg,1.0,18,2019-04-14 13:36:21,Tom Hall,Governments of all stripes will regress to a clever constructed theater of concern and commitment to assuage a restless public. Such is the COP process. The theatrical props and well rehearsed rhetoric are always less expensive than the real brick and mortar of systemic change. History has instructed that progress has been won in the streets then ratified by political institutions concerned with their own self interest as it aligns with practical reality. It is time to turn up the heat so that all may see the light. Thanks Dave.,UCg8S72qkYaGhEOgsDD_O7YA,0,Ugx8qtZMz_hb-lxcXl54AaABAg,sBFdLcNYjb0,2019-04-14 13:00:06
2,Ugx8qtZMz_hb-lxcXl54AaABAg.8thj7O223Yi8x5m8MgFeWX,,0,2019-07-07 20:37:53,Lin Mal,Great comment!,UCCgLpmAi0pAzxiFyzJIbYog,1,Ugx8qtZMz_hb-lxcXl54AaABAg,sBFdLcNYjb0,2019-04-14 13:00:06
3,Ugyo9NP7N4c8DQCtLu94AaABAg,0.0,10,2019-04-14 21:48:19,Mettaphysicist,"I love your new &quot;man cave&quot; setup. :) <br /><br /><br />But on a more serious note, thanks for your fantastically high quality, well researched, and balanced perspective on this existential threat.",UCj4ZBKOg2Fvo_LpgbM4m_EQ,0,Ugyo9NP7N4c8DQCtLu94AaABAg,sBFdLcNYjb0,2019-04-14 13:00:06
4,Ugx5Me3bbuQKZxABrpF4AaABAg,7.0,37,2019-04-14 14:14:13,Egalitarian Vegan,Capitalism in conflict with life.,UC4rcxyGTOoX5aH0FIwLMcGg,0,Ugx5Me3bbuQKZxABrpF4AaABAg,sBFdLcNYjb0,2019-04-14 13:00:06
5,Ugx5Me3bbuQKZxABrpF4AaABAg.8thnSiBoeP_8tjP59LF9S-,,0,2019-04-15 05:11:01,Forest Dweller,"@A Easthouse Thanks for youry reply. And i do agree. CO2 is far from the only problem. The rise in Co2 is a result of industrial activity just as is the methane, the plastic and other pollution, the population numbers and so on. And yes those climate youths aren't very realistic so far but one can hardly blame them. Or for that matter the Extinction Rebellion guys setting goals for CO2 reduction by 2025. To morrow is their international action day hey? Should be interesting....",UCZZwEpWCC-98J3OelUVui1Q,1,Ugx5Me3bbuQKZxABrpF4AaABAg,sBFdLcNYjb0,2019-04-14 13:00:06
6,Ugx5Me3bbuQKZxABrpF4AaABAg.8thnSiBoeP_8tj3ZSpiSsf,,0,2019-04-15 02:02:55,A Easthouse,"Dennis & Forest Dweller, I think both of you are on the mark. Capitalism = Greed = need for growth (including therefore population growth) = unlimited consumption of finite resources. Modern society (which ever system you want to choose) is just unsustainable. In my opinion, this problem is bigger than CO2 emission & climate change. Don’t get me wrong, we cant keep emitting CO2 as we are. But we will. Energy consumption is fundamental to capitalism and greed. No amount of renewable resources will make up for our insatiable energy & resource needs (food, minerals, oils, plastics, etc.). Although I applaud the kids for standing up, I doubt they understand the real implication for turning our lifestyles around. Will they for example give up: their phones - made out of heavy and rear metals, consume energy, large parts not recycled, made in foreign countries then shipped to where they needed, social media - needs energy and chemical metals (computers) to function, abundance of food & produce - mostly imported or transported over large distances, wrapped in plastic, responsible for large part of pollutants & deforestation, their reliance on cars (sure they don’t drive, but they also don’t like to walk, they ) holidays - driving, flying, encouraging more need for holiday accomodation in exotic places of natural beauty resulting in more destruction and need for resources. Easy & cheap entertainment - music bands, movie makers & stars traveling across the globe with enormous amount of equipment Changing fashion - to keep up with new trends and what their “influencers” & stars are “selling” to them Have children - yes this of controversial, but can we really sustain our current life styles and energy consumption if our population grows to 11 billion (Hans Grosling prediction based on each couple having 2 children)? Simple answer: No, they won’t give up any of the above, neither will their parents, nor their politicians. They need to understand the entire problem (it’s not just climate change). Climate change is link to a global economy. They need to take real action first - and no, protesting is not taking action, they themselves have to stop or massively reduce consumption, they need to question every action you take and look at what impact it has. Failing to do so and you are guilty of the same offences that the grownups, politicians and business capitalists make: that’s then just hypocrisy. It’s very easy to preach, make accusations that adults don’t take action - even though they are right. When they themselves do not take real action. Traveling by plane and staying in fancy hotels to make a speech to politicians about climate issues (whether you a kid or adult or Greta Thunberg) is just implicating yourself, showing how ignorant you are. You just become like them. What happened to video recorded messages or a life link. But no, we have to go to spread our “message” and take a stance. What they don’t realise, they are now part of the problem because no one can pass up the opportunity to be important or famous. You see, Greta Thunberg is a perfect example of this. She is massively inspirational in what she achieved and her ability to so eloquently speak in public. However (not to criticise her), in standing up for what she believes, she became a spoke person for children across the world, she receives recognition and one thing leads to another and before she knew it, she was traveling across the world, stays in fancy hotels, all paid for by the very people she criticises. It pains to say it, but fortunately she is also not mature enough to understand the implication of taking real action. Hopefully she will grow in her understanding of these issues, but the risk is she will get sucked in by fame and fortune in the name of standing up for climate change, she too will be consumed by capitalism and consumerism. Talk is cheap, protests are fun. They give a false sense of achievement. Giving up on our comforts and all consuming lifestyles is really really hard, even impossible.",UCk_Ffuu-FHqVeOpXmP5uroA,1,Ugx5Me3bbuQKZxABrpF4AaABAg,sBFdLcNYjb0,2019-04-14 13:00:06
7,Ugx5Me3bbuQKZxABrpF4AaABAg.8thnSiBoeP_8tiZuMO0Fk-,,0,2019-04-14 21:26:17,David Beaulieu,@Forest Dweller and be fine with whatever system of there just weren't so damn many of us breeding like gerbils. If we kept a low stable population it wouldnt be an issue.,UCEniFq_edu-TXntQyINUXxQ,1,Ugx5Me3bbuQKZxABrpF4AaABAg,sBFdLcNYjb0,2019-04-14 13:00:06
8,Ugx5Me3bbuQKZxABrpF4AaABAg.8thnSiBoeP_8tiX3A_c0tO,,1,2019-04-14 21:01:25,Forest Dweller,@Egalitarian Vegan All true. There are 3 different societies on Earth and only one that is sustainable. And i am not saying we should all live in caves. It is simple fact how hunter-gatherers are sustainable. It is simple fact how industrial society destroys them too.,UCZZwEpWCC-98J3OelUVui1Q,1,Ugx5Me3bbuQKZxABrpF4AaABAg,sBFdLcNYjb0,2019-04-14 13:00:06
9,Ugx5Me3bbuQKZxABrpF4AaABAg.8thnSiBoeP_8tiSN3jgpRp,,1,2019-04-14 20:20:26,Egalitarian Vegan,"@Forest Dweller Capitalism grinds up natural resources to convert it in to economic growth. Perpetual exponential growth on a finite planet. Any system like democracy, socialism, or communism that attaches its' self to capitalism will have the same destructive out come, and they do.",UC4rcxyGTOoX5aH0FIwLMcGg,1,Ugx5Me3bbuQKZxABrpF4AaABAg,sBFdLcNYjb0,2019-04-14 13:00:06
