,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgxZrSAZ14fJubXF5-d4AaABAg,0.0,0,2021-01-28 10:18:33,Guardian News,"∙Inauguration after insurrection: Can Biden lead a new era? | Anywhere but Washington ► <a href=""https://youtu.be/ZHVsBROCiDw"">https://youtu.be/ZHVsBROCiDw</a><br /><br />∙Biden signals radical shift from Trump era with executive orders on climate change ► <a href=""https://www.theguardian.com/us-news/2021/jan/27/joe-biden-climate-change-executive-orders"">https://www.theguardian.com/us-news/2021/jan/27/joe-biden-climate-change-executive-orders</a>",UCIRYBXDze5krPDzAEOxFGVA,0,UgxZrSAZ14fJubXF5-d4AaABAg,tCun786fqDM,2021-01-28 04:21:38
1,Ugw1K0gdZzP9i7fzpL54AaABAg,3.0,14,2021-01-28 14:37:42,Chaz Ventura,"So forget Code, learn how to install solar panels and fix windmills .",UCn3b1H53gV20jF_Y22AMKnQ,0,Ugw1K0gdZzP9i7fzpL54AaABAg,tCun786fqDM,2021-01-28 04:21:38
2,Ugw1K0gdZzP9i7fzpL54AaABAg.9J3PowNzNCf9J95jlYH1sn,,1,2021-01-30 19:37:41,Christine Henry,"Jobs available under this are in CHINA. Willing to relocate? If not, your new American Dream is: unemployment, Obamacare, shut up and sit down.",UCai8IFYnx2dvGKTtbOYYLRQ,1,Ugw1K0gdZzP9i7fzpL54AaABAg,tCun786fqDM,2021-01-28 04:21:38
3,Ugw1K0gdZzP9i7fzpL54AaABAg.9J3PowNzNCf9J4MmFmsmL_,,0,2021-01-28 23:30:22,Zirene x_x,Learn to solar panel.,UCwwshkPKeCnTRp9gxYySTag,1,Ugw1K0gdZzP9i7fzpL54AaABAg,tCun786fqDM,2021-01-28 04:21:38
4,Ugw1K0gdZzP9i7fzpL54AaABAg.9J3PowNzNCf9J4GH2tfnX8,,0,2021-01-28 22:33:32,Younes Bedda,seems easier,UCehyq70YcdOvLYKlnQ3qyhg,1,Ugw1K0gdZzP9i7fzpL54AaABAg,tCun786fqDM,2021-01-28 04:21:38
5,UgyX1W0tuzr1gCV6c954AaABAg,0.0,1,2021-02-19 19:19:47,Michael44,Very much looking forward to John Kerry &quot;fighting climate change&quot; while he jets to and from Europe From his oceanfront house in the vineyard. &quot;Focused on climate change&quot;&quot; That&#39;s code for he&#39;ll keep the mindless sheep in &quot;fear&quot; while they reach in our other pockets and load each other up with a few million more.,UC13nuembOCuRW7rbDCt1v8A,0,UgyX1W0tuzr1gCV6c954AaABAg,tCun786fqDM,2021-01-28 04:21:38
6,UgzDfPQi07z6CON7DSZ4AaABAg,1.0,5,2021-02-01 21:40:02,Mark Butcher,So did anyone check to see where there power comes from to charger there electric cars,UCSm3BvxABNrk6bnqKZeQ0SQ,0,UgzDfPQi07z6CON7DSZ4AaABAg,tCun786fqDM,2021-01-28 04:21:38
7,UgzDfPQi07z6CON7DSZ4AaABAg.9JETKdMXbY79JPaj1RdSS5,,0,2021-02-06 05:25:03,ProDeo04,Pretty sure it’s not nuclear.,UC_wSWQK7EA8oiXo6Z5Ptiog,1,UgzDfPQi07z6CON7DSZ4AaABAg,tCun786fqDM,2021-01-28 04:21:38
8,UgxeIB3bz7-l4SYSbPd4AaABAg,0.0,4,2021-02-03 00:24:18,Abbey's Grandma,La La Land is a stunningly beautiful place. No work is required.,UCYkf0-zEtf6Ut11tLmAXrRA,0,UgxeIB3bz7-l4SYSbPd4AaABAg,tCun786fqDM,2021-01-28 04:21:38
9,UgySchCJvrzwsLt8V_B4AaABAg,1.0,2,2021-02-14 21:58:54,Kelley Shaw,"John Kerry, Secretary of the Council of Vocations: &quot;I know where you are needed better than you can know it in your unworthy little minds.&quot;",UC1PYeEOy4m0HEaW0oEO_Rpg,0,UgySchCJvrzwsLt8V_B4AaABAg,tCun786fqDM,2021-01-28 04:21:38
