,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgwuZPQiuhF8cFo3cQB4AaABAg,6.0,68,2021-01-10 16:22:58,nineaqua,Why can’t the speakers speak more slowly and use simple English so His Holiness can easily understand?,UC_NLqaNegXu7iN3Xx_izpsA,0,UgwuZPQiuhF8cFo3cQB4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
1,UgwuZPQiuhF8cFo3cQB4AaABAg.9ILFZB3PPIx9JMLJ9d7gJK,,2,2021-02-04 23:03:51,neal krishna,"Am commenting as this is this the 1st comment I could reply. Dalai Lama is ""Dalai Lama"", don't make it wrong with people like Greta, Greta is here just for more audience, not for real climate change action... I don't think so....or may be some people are responding on her behalf...truth be told..... Don't deviate from what you want .....Believe in the truth ....if its climate action, and save the animals...fight for that cause... we trust in GOD.",UCGfAK27DU5wBNjM0li2oMow,1,UgwuZPQiuhF8cFo3cQB4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
2,UgwuZPQiuhF8cFo3cQB4AaABAg.9ILFZB3PPIx9JGJzY9lPxc,,1,2021-02-02 14:56:51,balashibu yeeter,@ChinaReport.com i think it just rolled of their tongue while speaking. Try and imagine how hard you would feel to speak in the most basic forms in your native language for 1 hour straight. It's hard.,UChN0qBgx6IcbDuHS9mg-XNw,1,UgwuZPQiuhF8cFo3cQB4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
3,UgwuZPQiuhF8cFo3cQB4AaABAg.9ILFZB3PPIx9IZwk4pIxm-,,5,2021-01-16 09:18:26,ChinaReport.com,"because they are elitist snobs who feel a need to prop up their ego's with difficult terms. Tiring, boring people.",UCGLnp6ddVOPtegJHZpL1RXA,1,UgwuZPQiuhF8cFo3cQB4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
4,UgwuZPQiuhF8cFo3cQB4AaABAg.9ILFZB3PPIx9IR-hFsefaB,,1,2021-01-12 21:59:50,Anderson Alves,Do you want to know why climate change is happening? Google it NewMessage org,UCrFw_Eklg7LI49GLWHAPSQw,1,UgwuZPQiuhF8cFo3cQB4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
5,UgwuZPQiuhF8cFo3cQB4AaABAg.9ILFZB3PPIx9IMk3SRALhe,,3,2021-01-11 06:17:30,Yoon Gi,Agreed...,UCZ2MfboOXRnh5-hJbGmN_bQ,1,UgwuZPQiuhF8cFo3cQB4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
6,UgwuZPQiuhF8cFo3cQB4AaABAg.9ILFZB3PPIx9ILw1oIG8Zp,,1,2021-01-10 22:42:53,Good Man,:)),UCgVXgR3L6n_2BCD6GVUDqAQ,1,UgwuZPQiuhF8cFo3cQB4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
7,UgxFth9Lj59elnSGGhl4AaABAg,5.0,112,2021-01-10 11:39:55,Gowthaman Gurusamy,Free Tibet from China.,UCQfAmowJLcemWvNdaVgawEw,0,UgxFth9Lj59elnSGGhl4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
8,UgxFth9Lj59elnSGGhl4AaABAg.9IKkA21IKez9KYMZ4Nxv5Z,,1,2021-03-06 11:37:02,BLK GT3RS,Free the world from China.,UCDvvGcmDkzx69lYKznhHt3A,1,UgxFth9Lj59elnSGGhl4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
9,UgxFth9Lj59elnSGGhl4AaABAg.9IKkA21IKez9IZwc7fbmYF,,1,2021-01-16 09:17:21,ChinaReport.com,@Alex Dietz Wealth for a few. Most of the population will remain in dire straits.,UCGLnp6ddVOPtegJHZpL1RXA,1,UgxFth9Lj59elnSGGhl4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
10,UgxFth9Lj59elnSGGhl4AaABAg.9IKkA21IKez9IYwpJxA892,,5,2021-01-15 23:59:55,S D,Free up Hong Kong,UCykt4gQB2jtUmxTPyveAuLA,1,UgxFth9Lj59elnSGGhl4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
11,UgxFth9Lj59elnSGGhl4AaABAg.9IKkA21IKez9IO5d-nZBLR,,4,2021-01-11 18:53:58,Alex Dietz,"@Jah Sun why? So winnie the poo can execute him? Freedom from china's tyranny has grown beyond the scope of tibet. We can pray that one day the world will see the threat for what it is, but I fear that they would rather stand with authority over freedom, because authority will offer security, popularity, and wealth. Tibet will not see freedom for 100 years, no doubt now i pray that the rest of the world will not follow them.",UCJxRXwiT-L28nBTh0kHsDrw,1,UgxFth9Lj59elnSGGhl4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
12,UgxFth9Lj59elnSGGhl4AaABAg.9IKkA21IKez9ILSLDdrliF,,4,2021-01-10 18:14:40,Jah Sun,We should demand his return to Lasaw today,UCk5hcBfsTt9BKv3atNtNXNA,1,UgxFth9Lj59elnSGGhl4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
13,UgxR-HDz97nGlkbf2-x4AaABAg,1.0,64,2021-01-10 10:29:54,Lobsang Jinpa,Long live your his Holiness 🙏🙏🙏,UCRScwlTXn87tQNB_YAA--Lg,0,UgxR-HDz97nGlkbf2-x4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
14,UgxR-HDz97nGlkbf2-x4AaABAg.9IKc9Ax8ZFq9IR-DI6s8jC,,0,2021-01-12 21:55:37,Anderson Alves,Do you want to know why climate change is happening? Google it NewMessage org,UCrFw_Eklg7LI49GLWHAPSQw,1,UgxR-HDz97nGlkbf2-x4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
15,UgwhfTKqDAmp-BpP8Vl4AaABAg,1.0,67,2021-01-10 10:01:57,Sherab Tharzin,Long live the Dalai Lama and Free Tibet,UCgcZIkrPAi-OwlOVvnDCteA,0,UgwhfTKqDAmp-BpP8Vl4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
16,UgwhfTKqDAmp-BpP8Vl4AaABAg.9IKZxSpAciU9IR-BlycL7c,,0,2021-01-12 21:55:24,Anderson Alves,Do you want to know why climate change is happening? Google it NewMessage org,UCrFw_Eklg7LI49GLWHAPSQw,1,UgwhfTKqDAmp-BpP8Vl4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
17,Ugx0fHD4pattsCEAoU14AaABAg,0.0,29,2021-01-10 15:07:28,Christelle Minoue,"Not the same age, not the same nationality, but the same humanity, that&#39;s all we must understand",UCAc3joykX75O7DVTpWYDG8g,0,Ugx0fHD4pattsCEAoU14AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
18,UgxvtsLZfQlB5TtTyL54AaABAg,8.0,83,2021-01-11 06:12:40,still_here,The Dalai lama is holy but hes also very cute and funny.,UCxMdCUq97PMRZy8UjC2dQIg,0,UgxvtsLZfQlB5TtTyL54AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
19,UgxvtsLZfQlB5TtTyL54AaABAg.9IMjW49IdoJ9JQYNcfl0yK,,0,2021-02-06 14:15:01,BEX,@Anderson Alves  all the planets in our system are warming up because it’s traveling trough a very dense area in our galaxy. Believe you can get the info at NASA or at Space weather 🙂,UCFp2NWEDgVFDh18NY0v02Vw,1,UgxvtsLZfQlB5TtTyL54AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
20,UgxvtsLZfQlB5TtTyL54AaABAg.9IMjW49IdoJ9JGQGLqYTUG,,0,2021-02-02 15:51:43,Shivwin Oengcha Sampang,Yes,UC26_5yl086owKC5loQ62KCw,1,UgxvtsLZfQlB5TtTyL54AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
21,UgxvtsLZfQlB5TtTyL54AaABAg.9IMjW49IdoJ9IsPk9YKZH4,,0,2021-01-23 22:46:10,Isaiah Smith,@mister Knister yeah that's a big no,UCRs0hZyyKjR_Q76pur0v6WA,1,UgxvtsLZfQlB5TtTyL54AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
22,UgxvtsLZfQlB5TtTyL54AaABAg.9IMjW49IdoJ9IsPQLAlSRP,,1,2021-01-23 22:43:19,mister Knister,@Isaiah Smith everyone is holy. because everyone inherit and contains the holy Buddha nature,UCKtboQAq_H1Sevwxln5n8wg,1,UgxvtsLZfQlB5TtTyL54AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
23,UgxvtsLZfQlB5TtTyL54AaABAg.9IMjW49IdoJ9IsChrQObcU,,0,2021-01-23 20:52:15,Isaiah Smith,He's not Holy. What makes him Holy?,UCRs0hZyyKjR_Q76pur0v6WA,1,UgxvtsLZfQlB5TtTyL54AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
24,UgxvtsLZfQlB5TtTyL54AaABAg.9IMjW49IdoJ9I_m-s86tj3,,0,2021-01-16 17:03:51,mister Knister,Like Yoda,UCKtboQAq_H1Sevwxln5n8wg,1,UgxvtsLZfQlB5TtTyL54AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
25,UgxvtsLZfQlB5TtTyL54AaABAg.9IMjW49IdoJ9IZok06uxkP,,0,2021-01-16 08:08:31,Jojo Apocalypse,@Anderson Alves Its because of commercial farming & mining,UCcaQLWS3RKq4X12JWzeRuUQ,1,UgxvtsLZfQlB5TtTyL54AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
26,UgxvtsLZfQlB5TtTyL54AaABAg.9IMjW49IdoJ9IR-8wfSH0F,,1,2021-01-12 21:55:01,Anderson Alves,Do you want to know why climate change is happening? Google it NewMessage org,UCrFw_Eklg7LI49GLWHAPSQw,1,UgxvtsLZfQlB5TtTyL54AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
27,Ugwkloetqm8SrbU6kBV4AaABAg,1.0,28,2021-01-10 17:33:56,Lhatso Tsomo,I am a person who has also responsibility for saving environment,UCkVo85yw1T3ZSpGGNT-A2lQ,0,Ugwkloetqm8SrbU6kBV4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
28,Ugwkloetqm8SrbU6kBV4AaABAg.9ILNftGo1j89I_ysInGa5C,,1,2021-01-16 18:56:17,Sanskrit Mukherjee,🤣 me to bro Hindi Tibeti Bhai bahi 🥰,UC_4KzGpmZiwNoRiZYYhAJDg,1,Ugwkloetqm8SrbU6kBV4AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
29,UgzQlurdHD-PJhq52y54AaABAg,3.0,37,2021-01-10 10:21:51,Chungpo Tsering,What a wonderful year to start that you every one specially His Hollines and Greta Thunberg..Wow,UCYo18S3M64tVxEXpGFOB6jg,0,UgzQlurdHD-PJhq52y54AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
30,UgzQlurdHD-PJhq52y54AaABAg.9IKbEG41fyU9IP9JmIxpwx,,0,2021-01-12 04:45:24,Stacy Smith,"@anon. aki your words do nothing but tear down so I can’t find any value in it to convince me of your point. You need to ask yourself why you call for an alternate reality story, it sounds like a personal problem and you don’t know how else to free yourself .",UCRtBqwTNwPxPSAErnhKMHXQ,1,UgzQlurdHD-PJhq52y54AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
31,UgzQlurdHD-PJhq52y54AaABAg.9IKbEG41fyU9ILrr2Tp_VM,,0,2021-01-10 22:06:20,Dr. Otto,@anon. aki ... HE ... is smart ! 😉😆 🙏🌹,UCbd5LHCz3kSCTSU-OBb1oOA,1,UgzQlurdHD-PJhq52y54AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
32,UgzQlurdHD-PJhq52y54AaABAg.9IKbEG41fyU9ILJFHfqbTM,,2,2021-01-10 16:55:12,anon. aki,"Greta and the Globalist climate movement is a PsyOp, and watching His Holiness falling for it is genuinely disheartening.",UC5FLxdVeB6muWlxA__FSuFQ,1,UgzQlurdHD-PJhq52y54AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
33,UgyE5JM68AOK6BXXsU94AaABAg,12.0,45,2021-01-10 10:07:47,kim roebuck,Love listening to the Dalai Lama i have so much respect for him 💜💜✌,UC47boao6BH6FlJQ0yF0oyoA,0,UgyE5JM68AOK6BXXsU94AaABAg,u9GXgOMMeTg,2021-01-10 08:54:08
