,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgzZznsOBZHLjez3BJx4AaABAg,2.0,36,2019-10-10 18:24:54,Mnd0vrMnky,I thought it was farming methods that reduced the nutritional value of our food.,UCRdKF1jbHOGm-kZ7Ht1A3hA,0,UgzZznsOBZHLjez3BJx4AaABAg,wzjVT07bcYA,2019-10-10 17:31:48
1,UgzZznsOBZHLjez3BJx4AaABAg.9-v9RRD7YC09KlSSC4oaPO,,0,2021-03-11 22:57:54,Nadeem Ahmed,There's actually someone else who did further research on this now. They took Wild yellow flowers non GMO that just pop up in the United States from the Smithsonian archives that a sample from 1840s and compared it with today wild version and found a protein content 30% lower so our food is already garbage compared 2 pre industrial agriculture and it looks like that it's only going to get much worse,UCLrF0GsqruCcTTZEv1sL28A,1,UgzZznsOBZHLjez3BJx4AaABAg,wzjVT07bcYA,2019-10-10 17:31:48
2,UgzZznsOBZHLjez3BJx4AaABAg.9-v9RRD7YC09-vSqWaD-nA,,6,2019-10-10 21:14:29,Archibald Belanus,"Well yes, both do.",UCOM0k_BJn3fpzV76I7IXDhA,1,UgzZznsOBZHLjez3BJx4AaABAg,wzjVT07bcYA,2019-10-10 17:31:48
3,UgzBXNDQUcGYzTZ7Zz94AaABAg,0.0,0,2020-11-30 05:51:41,Foodtech Simplified,This was really informative. Thank you!,UCRGlvUQT3iZ6kf57xk87I1Q,0,UgzBXNDQUcGYzTZ7Zz94AaABAg,wzjVT07bcYA,2019-10-10 17:31:48
4,Ugxwuqaa0Dor5-ZI3XF4AaABAg,1.0,1,2019-10-11 00:24:20,Mohammad sohel,"How can i watch this lecture with english subtitle, thank you?",UCYBs6qB4GQ3VJzvO0578FsQ,0,Ugxwuqaa0Dor5-ZI3XF4AaABAg,wzjVT07bcYA,2019-10-10 17:31:48
5,Ugxwuqaa0Dor5-ZI3XF4AaABAg.9-vn_18Jqel9-vsIOU-DHG,,1,2019-10-11 01:05:37,Fkn Compton,"On mobile when you tap on the screen once you'll see 3 dots in the top right of the screen. Tap on them, then tap on captions",UCBzCd2Dqn8J5N69jd2t1Fkg,1,Ugxwuqaa0Dor5-ZI3XF4AaABAg,wzjVT07bcYA,2019-10-10 17:31:48
6,Ugymm4NC3zdL5E8f-op4AaABAg,0.0,0,2019-10-28 17:04:18,Alice Dinh,thank you very much for the information,UCu4z8dOMs5LnC8-qwiNKRpg,0,Ugymm4NC3zdL5E8f-op4AaABAg,wzjVT07bcYA,2019-10-10 17:31:48
7,UgwdTwGCsRVywUi3vKN4AaABAg,0.0,1,2019-10-11 12:55:25,"How-to, Tutorial, Tips and Knowledge",welcome winter with open arms!,UCBbzPYLj0Yi4Khm8KAHVmHg,0,UgwdTwGCsRVywUi3vKN4AaABAg,wzjVT07bcYA,2019-10-10 17:31:48
8,UgzYeXlnLkOpfzuO_ix4AaABAg,0.0,1,2019-10-22 07:38:28,김민성,"<a href=""https://www.youtube.com/watch?v=wzjVT07bcYA&amp;t=9m25s"">9:25</a>",UCK8Pbr2ZZFoJiX025zJWUXQ,0,UgzYeXlnLkOpfzuO_ix4AaABAg,wzjVT07bcYA,2019-10-10 17:31:48
9,UgxW3hO-K_p_nt1CgGl4AaABAg,0.0,0,2019-10-10 20:55:41,قاصدک طلایی,More great news😏,UCRxaKqtCYRbl6IYkgmhrZwQ,0,UgxW3hO-K_p_nt1CgGl4AaABAg,wzjVT07bcYA,2019-10-10 17:31:48
