,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgwdezHApFIzHg2IXO54AaABAg,3.0,15,2020-09-22 00:57:30,JUST ME,We&#39;re in the Midst of SHTF Time 🔥🔥🔥💧💧💧⚡⚡⚡🌩🌩🌩,UCz4HhHmpxGfN1Ef1yVU9wlQ,0,UgwdezHApFIzHg2IXO54AaABAg,xXMlFFY9uEI,2020-09-22 00:49:14
1,UgwdezHApFIzHg2IXO54AaABAg.9DtMCcHWfmE9E4hiXbdgw1,,0,2020-09-26 20:05:07,M'sheArt2,"and it all planned and it's all lies. The weather and climate is intentionally engineered. "" In searching for a new enemy to unite us, we came up with the idea that pollution, the threat of global warming, water shortages, famine and the like would fit the bill. All these dangers are caused by human intervention And it is only through changed attitudes and behavior that they can be overcome.."" - Club of Rome, premier environmental think-tank, consultants to the United Nations 'Weather modification operations in California,' June 1955."" (TD201.C2) https://archive.org/details/weathermodificat196162calirich S. 3383 (94th): National Weather Modification Policy Act Introduced: May 5, 1976 94th Congress, 1975–1976 Status:Enacted —https://tinyurl.com/ybauyao5 S.517 - Weather Modification Research and Development Policy Authorization Act (2005-2006)https://tinyurl.com/mpslwcq NOAA Technical Memorandum ERL OD-14 Office of the Director Boulder, Colorado May 1972 Cumulus Clouds And Their Modification https://repository.library.noaa.gov/view/noaa/11214 WMO Geneva, Switzerland 2013) https://www.wmo.int/pages/prog/arep/wwrp/new/documents/Doc_3_6_weather_mod_2013_Final_tn.pdf • ""Why Big Oil Conquered the World"" https://youtu.be/0wlNey9t7hQ 'Weather modification operations in California,' June 1955."" (TD201.C2) https://archive.org/details/weathermodificat196162calirich S. 3383 (94th): National Weather Modification Policy Act Introduced: May 5, 1976 94th Congress, 1975–1976 Status:Enacted —https://tinyurl.com/ybauyao5 S.517 - Weather Modification Research and Development Policy Authorization Act (2005-2006)https://tinyurl.com/mpslwcq NOAA Technical Memorandum ERL OD-14 Office of the Director Boulder, Colorado May 1972 Cumulus Clouds And Their Modification https://repository.library.noaa.gov/view/noaa/11214 WMO Geneva, Switzerland 2013) https://www.wmo.int/pages/prog/arep/wwrp/new/documents/Doc_3_6_weather_mod_2013_Final_tn.pdf • ""Why Big Oil Conquered the World"" https://youtu.be/0wlNey9t7hQ",UCEEPSC7MeSnZKK9gqFTEzYw,1,UgwdezHApFIzHg2IXO54AaABAg,xXMlFFY9uEI,2020-09-22 00:49:14
2,UgwdezHApFIzHg2IXO54AaABAg.9DtMCcHWfmE9Dud9mIq6nZ,,1,2020-09-22 12:53:39,Michael Law,"Richard Lindzen is an American atmospheric physicist known for his work in the dynamics of the middle atmosphere, atmospheric tides, and ozone photochemistry. He has published more than 200 scientific papers and books. From 1983 until his retirement in 2013, he was Alfred P. Sloan Professor of Meteorology at the Massachusetts Institute of Technology. He was a lead author of Chapter 7, ""Physical Climate Processes and Feedbacks,"" of the Intergovernmental Panel on Climate Change's Third Assessment Report on climate change. https://youtu.be/RCgEAmr42yI",UC2bCxJ_Q3skQqjDUrnTEi3Q,1,UgwdezHApFIzHg2IXO54AaABAg,xXMlFFY9uEI,2020-09-22 00:49:14
3,UgwdezHApFIzHg2IXO54AaABAg.9DtMCcHWfmE9DtN1BgUwBm,,4,2020-09-22 01:04:41,Castle J Richardson,Not to mention 🌀🌪️❄️ and COVID-19 🧫🧪💊💉 wear your mask 😷😷,UCGixJO2Ywr19gwPZANNdfLQ,1,UgwdezHApFIzHg2IXO54AaABAg,xXMlFFY9uEI,2020-09-22 00:49:14
4,Ugw6OqAqF8xJw8yDbQJ4AaABAg,9.0,20,2020-09-22 01:01:12,Brian Pulliam,Man thinks he owns the planet and he doesnt the planet has gone threw this every few million or so years this has happened before and its just started so those who deny this well your doomed,UCbx2eU7x8DBr7-38oXqGz1Q,0,Ugw6OqAqF8xJw8yDbQJ4AaABAg,xXMlFFY9uEI,2020-09-22 00:49:14
5,Ugw6OqAqF8xJw8yDbQJ4AaABAg.9DtMceFWewT9HtGnVFjGQP,,0,2020-12-30 10:15:49,Brian Pulliam,@Atrox Army yep,UCbx2eU7x8DBr7-38oXqGz1Q,1,Ugw6OqAqF8xJw8yDbQJ4AaABAg,xXMlFFY9uEI,2020-09-22 00:49:14
6,Ugw6OqAqF8xJw8yDbQJ4AaABAg.9DtMceFWewT9Ht2oi7Hjuk,,0,2020-12-30 08:13:39,Atrox Army,No WE will be doomed if people don’t wake up and listen to these scientists then we all get kicked in the nuts in the end as well.,UCT2rZ_aM_t6draCSztpbyGQ,1,Ugw6OqAqF8xJw8yDbQJ4AaABAg,xXMlFFY9uEI,2020-09-22 00:49:14
7,Ugw6OqAqF8xJw8yDbQJ4AaABAg.9DtMceFWewT9E5_f970wsY,,0,2020-09-27 04:14:00,Angela Michael,Good night more love in planet lifes matter very yes please people,UCZdwhb77aEoc5ANW-8Xr7Zg,1,Ugw6OqAqF8xJw8yDbQJ4AaABAg,xXMlFFY9uEI,2020-09-22 00:49:14
8,Ugw6OqAqF8xJw8yDbQJ4AaABAg.9DtMceFWewT9E4ZfzSJRAf,,1,2020-09-26 18:46:08,RosyOutlook2,"Own smoan, the weather is modified and controlled globally, it's a classic create the problem for a reaction to offer a solution #agenda21",UCRbHKI5N7p6VMsb0h01tHQQ,1,Ugw6OqAqF8xJw8yDbQJ4AaABAg,xXMlFFY9uEI,2020-09-22 00:49:14
9,Ugw6OqAqF8xJw8yDbQJ4AaABAg.9DtMceFWewT9E3eZocVLVx,,0,2020-09-26 10:18:21,Brian Pulliam,@Aidan Margarson u keep thinking that when your property is under water moron,UCbx2eU7x8DBr7-38oXqGz1Q,1,Ugw6OqAqF8xJw8yDbQJ4AaABAg,xXMlFFY9uEI,2020-09-22 00:49:14
