,id,replyCount,likeCount,published_at,author_name,text,authorChannelId,is_reply,threadId,video_id,video_published_at
0,UgzQiMcMyTSh98UGktR4AaABAg,2.0,163,2020-06-22 02:27:19,Pro Metheus,Sorry but can&#39;t get over mr Morton&#39;s beard,UCT-7_vBMxDIfQHroru_DLBQ,0,UgzQiMcMyTSh98UGktR4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
1,UgzQiMcMyTSh98UGktR4AaABAg.9ABcLtIY7KC9DPrBePXMmz,,1,2020-09-10 04:40:32,Nutter Butter,Makes it hard to focus on what he's saying,UCZqBoiTK37XkiUOm_ATPYJQ,1,UgzQiMcMyTSh98UGktR4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
2,UgzQiMcMyTSh98UGktR4AaABAg.9ABcLtIY7KC9BXY7yn7Urs,,1,2020-07-25 11:16:24,PatrickJS,fax,UCltX9dajncCCww6DxIV8luQ,1,UgzQiMcMyTSh98UGktR4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
3,UgwGc4_gaZoXq5-6tbt4AaABAg,0.0,4,2020-12-22 20:32:21,Mira Singh,"Anthropecene, an existential threat to our planet: exists <br />comment section: bUt pRoFfeSsOr mOrToN&#39;s bEaRd!",UC6AxrEwM1v8_dTAf-uhwdhQ,0,UgwGc4_gaZoXq5-6tbt4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
4,Ugw2os6v1KcuWZcHOEh4AaABAg,3.0,63,2020-06-25 07:58:34,Merijn van W,"Just to explain you all about this man’s beard; he is using his beard as a metaphor for the planets deforestation, every hair resembles 1 hectare of forest left. This practice is commonly know as voodoobearding",UC4GQqnL3eNsyW3e9p6ZzjsA,0,Ugw2os6v1KcuWZcHOEh4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
5,Ugw2os6v1KcuWZcHOEh4AaABAg.9AJwdgaHTgy9KcarfhtwtQ,,0,2021-03-08 12:26:59,zazugee,"@Thu Ha Vu ikr, i almost punched my laptop's screen >_>",UCyyczMea-WGnNiNWKQj8oBw,1,Ugw2os6v1KcuWZcHOEh4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
6,Ugw2os6v1KcuWZcHOEh4AaABAg.9AJwdgaHTgy9AeFrfUrXYT,,7,2020-07-03 14:39:17,Thu Ha Vu,I hate your profile pic,UCl5Tdp5m2IBBX6UMPDMSqCg,1,Ugw2os6v1KcuWZcHOEh4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
7,Ugw2os6v1KcuWZcHOEh4AaABAg.9AJwdgaHTgy9ATphHniWWr,,0,2020-06-29 04:10:18,ce sil,Hahaha,UCBwhmgrUZjLyzEcYQk39OrA,1,Ugw2os6v1KcuWZcHOEh4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
8,UgzSyp4VAXDQn942wX14AaABAg,0.0,13,2020-06-20 09:52:50,Well Geo,“... pump it back down into geology”. Now there’s a sentence.,UCEWJ-_14T0MgVMb6oCb3rHA,0,UgzSyp4VAXDQn942wX14AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
9,Ugzv0V4QFN7ilV6vPbp4AaABAg,0.0,5,2020-06-20 00:26:19,fucked World's,"Everything is made of carbon, why has the teachings of the ring of fire stopped?",UC6iWQsRTqSCroCjX1C5WiDQ,0,Ugzv0V4QFN7ilV6vPbp4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
10,Ugwny8gokrbVR-uPWRp4AaABAg,0.0,9,2020-06-19 16:06:39,Sourabh Mate,You can&#39;t change system without changing economics of it.,UC1cbAzL2OrE6HZZHVzExbnw,0,Ugwny8gokrbVR-uPWRp4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
11,UgyLC1dfe5_eJBgx3JJ4AaABAg,0.0,45,2020-06-25 13:10:39,Aung Hein,If you can change your beard we can focus on your talks on climate change.,UCcT1xKkUFuxqDigy72rz6qg,0,UgyLC1dfe5_eJBgx3JJ4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
12,UgxTbIR65h31SKh2yWF4AaABAg,3.0,16,2020-06-19 15:33:05,Marsel Alişerov,I feel like we will live in one of the apocalypse films sometime in the future,UCrB1tB9YrJHTl7uYiN6tEiQ,0,UgxTbIR65h31SKh2yWF4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
13,UgxTbIR65h31SKh2yWF4AaABAg.9A5ItSuOo9v9DQ6jg4fSvU,,0,2020-09-10 07:05:08,Tom R,You've been watching too many films.,UCP2wrmU6U0fBacgSoVOCaWw,1,UgxTbIR65h31SKh2yWF4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
14,UgxTbIR65h31SKh2yWF4AaABAg.9A5ItSuOo9v9AABMgvIx9R,,1,2020-06-21 13:03:31,Oldinea Miller,You should not watch so much Netflix.,UCmgvVcwneE9nfEf8vYfSPpg,1,UgxTbIR65h31SKh2yWF4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
15,UgxTbIR65h31SKh2yWF4AaABAg.9A5ItSuOo9v9A5dF9_SejT,,1,2020-06-19 18:39:41,Sharoon Javaid,No. We jlare actually living in the prequel.,UCB2ubIFxmgEU7PqxJ73eA4A,1,UgxTbIR65h31SKh2yWF4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
16,UgwpSQ0h1LWKPFNJorh4AaABAg,0.0,13,2020-06-19 17:56:39,Laurence Fish,I&#39;m just here for the beard comments,UCSsWnrbQ2Rjpi2wqAtKpK2Q,0,UgwpSQ0h1LWKPFNJorh4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
17,Ugwf4DbnPfFJL0yRzY94AaABAg,2.0,9,2020-06-22 00:19:42,Gerry Houska,"In Australia, we are betting on fossils as our future. After all, we can eliminate global warming by opening our windows and turning up our air conditioners.",UCDRE2p2frvgnJqgk36Mwtfg,0,Ugwf4DbnPfFJL0yRzY94AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
18,Ugwf4DbnPfFJL0yRzY94AaABAg.9ABOkDT4orF9AGYpSeEG3L,,5,2020-06-24 00:24:00,LaidbackLuc9,At least your summers are cool and winters are hot.,UCCz0rN_WXLfYIPj9ADFPh0w,1,Ugwf4DbnPfFJL0yRzY94AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
19,Ugwf4DbnPfFJL0yRzY94AaABAg.9ABOkDT4orF9AFNtbUZ_-n,,0,2020-06-23 13:29:12,Oldinea Miller,Love it.🤣😆😁,UCmgvVcwneE9nfEf8vYfSPpg,1,Ugwf4DbnPfFJL0yRzY94AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
20,UgxUDbwmk3oI4pw63pJ4AaABAg,0.0,0,2020-06-23 02:35:40,KimchiBBQ친구,Totally love this.thank you♥,UCX_qeP27Jef0wO3Of-PSrWg,0,UgxUDbwmk3oI4pw63pJ4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
21,Ugzt5ZPaT6mC-P0NuWt4AaABAg,0.0,0,2020-07-26 13:00:53,"It's the Economy,","<a href=""https://www.youtube.com/watch?v=yhlg9txl7yM&amp;t=5m29s"">5:29</a> I did not know that the field of science known as Geology had any in situ carbon absorption qualities.",UC56Im0hm6MA1SCHr4UheL0w,0,Ugzt5ZPaT6mC-P0NuWt4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
22,UgwkX9EjNlnJsLXPCAh4AaABAg,1.0,13,2020-06-19 15:35:47,progyan das,"Everytime I get serious watching this , the guy’s face cracks me up !",UCVLNcUG9V6VORqhRVJyM26Q,0,UgwkX9EjNlnJsLXPCAh4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
23,UgwkX9EjNlnJsLXPCAh4AaABAg.9A5JC9UuJk39A5M0Rozkqg,,0,2020-06-19 16:00:24,Yosuf Kushan,"Bro forreal, could he have not styled his beard differently 😭💀",UCmOwjuo6197XDXhYR5LUj9Q,1,UgwkX9EjNlnJsLXPCAh4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
24,Ugz_bdS5hdq_ZijyyX94AaABAg,0.0,1,2020-06-19 14:24:23,Andrey Titoruk,"jees, watch &quot;inside bill&#39;s brain&quot;",UCV8E8T3j7e9I1At_HVd-Njg,0,Ugz_bdS5hdq_ZijyyX94AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
25,UgzsooP0mRyJb__ba_d4AaABAg,0.0,0,2020-07-01 14:56:08,Khalid Pirzada,Very comprehensive coverage.<br />Thank you..,UCHq4CvqfA5M8Q5CvHj-FVEQ,0,UgzsooP0mRyJb__ba_d4AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
26,UgwxvDCWqW0NOVMqkc14AaABAg,36.0,53,2020-06-19 14:03:22,All things Marine,I hope one day I can see the Great Barrier Reef before it’s gone :( I’m a marine biology student who has never seen a coral reef,UC-VW5pJjhMapFO91jGiZGzg,0,UgwxvDCWqW0NOVMqkc14AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
27,UgwxvDCWqW0NOVMqkc14AaABAg.9A58cMq2DnC9DQE8a4RkUq,,0,2020-09-10 08:09:50,Tom R,​@Oldinea Miller Indeed. He was (is) a pioneer of science on the reef. Incredible.,UCP2wrmU6U0fBacgSoVOCaWw,1,UgwxvDCWqW0NOVMqkc14AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
28,UgwxvDCWqW0NOVMqkc14AaABAg.9A58cMq2DnC9DQ9Ijrtb-q,,0,2020-09-10 07:27:32,Oldinea Miller,@Tom R That's right. He got fired because he openly spoke his mind. His words are 100% credible. Nobody can tell he had an adwantage of whatsoever from revealing all that.,UCmgvVcwneE9nfEf8vYfSPpg,1,UgwxvDCWqW0NOVMqkc14AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
29,UgwxvDCWqW0NOVMqkc14AaABAg.9A58cMq2DnC9DQ6KpYguzo,,0,2020-09-10 07:01:36,Tom R,Look up Peter Ridd - You'll see that the Reef is fine.,UCP2wrmU6U0fBacgSoVOCaWw,1,UgwxvDCWqW0NOVMqkc14AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
30,UgwxvDCWqW0NOVMqkc14AaABAg.9A58cMq2DnC9DQ6Iu1udrE,,0,2020-09-10 07:01:20,Tom R,"@Dimitar Nachev OK and even if that is true, WHY is co2 increasing, and do humans have any control in it? I don't believe so.",UCP2wrmU6U0fBacgSoVOCaWw,1,UgwxvDCWqW0NOVMqkc14AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
31,UgwxvDCWqW0NOVMqkc14AaABAg.9A58cMq2DnC9ADO5rMV0Yh,,0,2020-06-22 18:52:32,Oldinea Miller,"@Virginia Tyree Well I did. Ten years to be precise. It depends what you want to do there. Im a french citizen, so it was easy for me. What is your nationality?",UCmgvVcwneE9nfEf8vYfSPpg,1,UgwxvDCWqW0NOVMqkc14AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
32,UgwxvDCWqW0NOVMqkc14AaABAg.9A58cMq2DnC9ADKSsSmjQg,,0,2020-06-22 18:20:43,Virginia Tyree,"6 22 20 Hey again@Oldinea Miller, Sounds lovely. It seems that it might be difficult to earn a living there. Tourism doesn't seem as though it will recover for sometime. v",UCyHJsH2tLJ375XP2FgJTdOg,1,UgwxvDCWqW0NOVMqkc14AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
33,UgwxvDCWqW0NOVMqkc14AaABAg.9A58cMq2DnC9ADJkEgiWne,,0,2020-06-22 18:14:29,Oldinea Miller,"@Virginia Tyree It is only about a two hours flight from Brisbane. But the airport (Tontouta), is one hour away from the capital Nouméa. It's a nice place to travel to. The city is very colonial french stile, which gives you the illusion to be in a mediteranian area.",UCmgvVcwneE9nfEf8vYfSPpg,1,UgwxvDCWqW0NOVMqkc14AaABAg,yhlg9txl7yM,2020-06-19 14:00:33
