id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgwYg9ibnAA5JIJMIUh4AaABAg	138	389	2019-11-15 16:26:45	Bill Brockman	I’ll say you’re demonstrating your courage once again.	UCu-e_In1tcVzYrWAVGNikZw	http://www.youtube.com/channel/UCu-e_In1tcVzYrWAVGNikZw	0		
UgwYg9ibnAA5JIJMIUh4AaABAg.91MdX_FUIeR9HmOTGFNqSC		1	2020-12-27 18:08:09	IfWhiningAtProblemsWorks, WhyDoCorporationsLobby?	Am I the _only person_ who noticed that all his statements are based upon a model that they have no way of confirming actually has correct data about the planet's current mean temperature? Sorry, it's just that I live on an island: he's talking about world temperatures rising for 6, 7 decades and ice melting due to it, & I'm still here above water and so is _ALL_ the island - as are all other islands. So, like this inaccurate model, are they measuring _ice_ in only certain areas, not over all the planet? After all, we do not have accurate records of the planet's mean temperature going back to even _last_ year. Can someone show _exactly what_ data they're putting into this model?	UCct1sKRzMUJpLILnLopO7pA	http://www.youtube.com/channel/UCct1sKRzMUJpLILnLopO7pA	1	UgwYg9ibnAA5JIJMIUh4AaABAg	Bill Brockman
UgwYg9ibnAA5JIJMIUh4AaABAg.91MdX_FUIeR9Hgq2kvmBom		0	2020-12-25 14:22:29	Phil Wilson	@Mike Jack One of the predictably idiotic statements that befoul discussions of climate change on any YouTube thread - no different from flat earth belief in shear stupidity, but with way worse consequences. This link is not for the drooling fool who posted, but for anyone looking for real information - https://www.pbs.org/newshour/world/how-climate-change-is-driving-emigration-from-central-america	UC_012TBHa31LPbAoXtP1zVA	http://www.youtube.com/channel/UC_012TBHa31LPbAoXtP1zVA	1	UgwYg9ibnAA5JIJMIUh4AaABAg	Bill Brockman
UgwYg9ibnAA5JIJMIUh4AaABAg.91MdX_FUIeR9HfpiGJsd2T		0	2020-12-25 05:00:19	Jonnie Park	@M Woods They are talking about climate models, not weather models. This is made clear in the first 10 seconds of the video. Until you can distinguish the two, you're never going to be able to follow what climate scientists are talking about. Merry Christmas	UCNbqDbC3eFJ0uvaq8LEZuQw	http://www.youtube.com/channel/UCNbqDbC3eFJ0uvaq8LEZuQw	1	UgwYg9ibnAA5JIJMIUh4AaABAg	Bill Brockman
UgwYg9ibnAA5JIJMIUh4AaABAg.91MdX_FUIeR9HfQv9bCKW7		0	2020-12-25 01:14:53	M Woods	This guys attempt to talk technical nomenclature and double speak to impress and confuse falls flat. His defense of all the failed weather models that have been shown wrong so far, makes him sound guilty of something and his trying to talk himself out of it.	UCvD5jnpA34CElGnRQm2Th_A	http://www.youtube.com/channel/UCvD5jnpA34CElGnRQm2Th_A	1	UgwYg9ibnAA5JIJMIUh4AaABAg	Bill Brockman
UgwYg9ibnAA5JIJMIUh4AaABAg.91MdX_FUIeR9Gc03M6FXFD		0	2020-11-28 20:51:06	Staal Burgher	My issue if the climate debate is that the loudest activists refuse to consider nuclear power.	UC8gZl6PFdidQKeddx-9O-Uw	http://www.youtube.com/channel/UC8gZl6PFdidQKeddx-9O-Uw	1	UgwYg9ibnAA5JIJMIUh4AaABAg	Bill Brockman
UgwYg9ibnAA5JIJMIUh4AaABAg.91MdX_FUIeR9Gc-rL8pKm1		0	2020-11-28 20:49:19	Staal Burgher	@Mart Bosman electric cars are not simpler to build, cheaper or more powerful. On what planet are you mate?	UC8gZl6PFdidQKeddx-9O-Uw	http://www.youtube.com/channel/UC8gZl6PFdidQKeddx-9O-Uw	1	UgwYg9ibnAA5JIJMIUh4AaABAg	Bill Brockman
UgwYg9ibnAA5JIJMIUh4AaABAg.91MdX_FUIeR9Ey93qXiDp7		1	2020-10-18 18:10:18	Jonnie Park	@Ken Hiett “I'm not throwing out anything, I'm being a diligent skeptic.” Well I’m being a diligent skeptic too, but one thing I am not “throwing out”, unlike yourself, is the idea that climate scientists can model climate to a useful degree of accuracy, a position which is demonstrably at odds with reality, as I have shown you twice now. “You have forgotten one of the most important principles of legitimate science.” What’s that then Ken? “Climatologists have allowed their once burgeoning science to be hijacked.” They have done no such thing. Besides, when their work is routinely trashed, mocked and undermined by a long line of Republican politicians, most of whom are generously funded by fossil fuel donations or fat cheques from science-denying thinktanks like the Heartland Institute, what do you expect them to say to environmentalists who push back these hatchet jobs? ... “Oi! You stay out of this!” ? “They allowed politicians and grifters like Al Gore and Ocasio-Cortez to make a mockery of their relatively new science. Oh is that so? So if you think Gore and AOC are making a mockery of climate science, WTF do you think Neanderthals like Tony Heller (“Make no mistake, global warming is the biggest scientific fraud in history ”), Jim Inhofe (“[Global warming is] the greatest hoax ever perpetrated on the American people.”) or Donald Trump (“global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.”) are doing for climate science? Get a grip of yourself. “Climatologists have allowed themselves to supercede the science itself because they like the attention and funding that comes with calls to existential threats.” Read that sentence to yourself, Ken, and ask yourself how many of the hundreds of thousands of scientists who work in the broad field of climate research this rather rash generalization applies to. Now….care to reword it? “When a group of scientists are doing their best to sing in unison you know you have a REALLY big problem.” Ken, that is just a huge, steaming pile of horseshit. You are simply crimping out more vacuous, unsubstantiated and inane verbal diarrhoea. Once again, you are showing contempt for an entire field of scientists and your complete ignorance of the culture and mindset that prevails among scientists. I work for the world’s largest oil company and I cross paths every day of the week with some of the most brilliant scientists you could hope to work with, and I know from many a bracing personal experience that scientists are the most argumentative, pedantic contrarians in any organization. So when they do all “sing in unison”, as they do with anthropogenic global warming, yes, mankind should realize that it does have a really big problem. For once, you have been right, albeit entirely by accident. “That's exactly the opposite conditions in which science produces optimum results.” Ken, it is now abundantly clear that you know fuck all about science. Stop embarrassing yourself.	UCNbqDbC3eFJ0uvaq8LEZuQw	http://www.youtube.com/channel/UCNbqDbC3eFJ0uvaq8LEZuQw	1	UgwYg9ibnAA5JIJMIUh4AaABAg	Bill Brockman
UgwYg9ibnAA5JIJMIUh4AaABAg.91MdX_FUIeR9ExlvrG7aeZ		0	2020-10-18 14:39:22	Ken Hiett	@Jonnie Park I'm not throwing out anything, I'm being a diligent skeptic. You have forgotten one of the most important principles of legitimate science. Climatologists have allowed their once burgeoning science to be hijacked. They allowed politicians and grifters like Al Gore and Ocasio-Cortez to make a mockery of their relatively new science. Climatologists have allowed themselves to supercede the science itself because they like the attention and funding that comes with calls to existential threats. When a group of scientists are doing their best to sing in unison you know you have a REALLY big problem. That's exactly the opposite conditions in which science produces optimum results.	UCJmMrUy3hjrO9GDUWWRKENA	http://www.youtube.com/channel/UCJmMrUy3hjrO9GDUWWRKENA	1	UgwYg9ibnAA5JIJMIUh4AaABAg	Bill Brockman
UgwYg9ibnAA5JIJMIUh4AaABAg.91MdX_FUIeR9ExJOO7i4ax		1	2020-10-18 10:21:15	Jonnie Park	@Ken Hiett I'm confused why you're so willing to dismiss the work of an entire field of climate scientists but so ready to cite the musings of a young Philosophy graduate on the same topic, who receives generous hand outs from the fossil fuel billionaire Koch brothers.... Are you sure you know where the real gravy train is rolling?	UCNbqDbC3eFJ0uvaq8LEZuQw	http://www.youtube.com/channel/UCNbqDbC3eFJ0uvaq8LEZuQw	1	UgwYg9ibnAA5JIJMIUh4AaABAg	Bill Brockman
