id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgyyP-5o91Uf5pQ8w714AaABAg	0	0	2021-01-28 10:09:38	Guardian News	∙ Inauguration after insurrection: Can Biden lead a new era? | Anywhere but Washington ► <a href="https://youtu.be/ZHVsBROCiDw">https://youtu.be/ZHVsBROCiDw</a><br />∙ Biden signals radical shift from Trump era with executive orders on climate change ► <a href="https://www.theguardian.com/us-news/2021/jan/27/joe-biden-climate-change-executive-orders">https://www.theguardian.com/us-news/2021/jan/27/joe-biden-climate-change-executive-orders</a>	UCIRYBXDze5krPDzAEOxFGVA	http://www.youtube.com/channel/UCIRYBXDze5krPDzAEOxFGVA	0		
UgxGAy7vPRqqNo5EYqd4AaABAg	1	5	2021-01-29 00:57:30	Shaun Greenhalgh	<a href="https://www.youtube.com/watch?v=0wXe-GanTh0&amp;t=00m12s">00:12</a> - <a href="https://www.youtube.com/watch?v=0wXe-GanTh0&amp;t=00m15s">00:15</a> “And I might snook paronthetically”<br />Intelligent words from Biden	UCTZZLARFGM6ZWOx6b-s8PTg	http://www.youtube.com/channel/UCTZZLARFGM6ZWOx6b-s8PTg	0		
UgxGAy7vPRqqNo5EYqd4AaABAg.9J4WkOCUuGe9JCph6yxgC9		0	2021-02-01 06:25:44	Kermit Muppet	Well if you have to snook you might as well do it paronthetically	UCkzO8ko3XKYp9a3v_jnH91A	http://www.youtube.com/channel/UCkzO8ko3XKYp9a3v_jnH91A	1	UgxGAy7vPRqqNo5EYqd4AaABAg	Shaun Greenhalgh
UgytYJ7w23dLtQyPtA54AaABAg	0	4	2021-01-28 19:36:34	trav	Bananna joe<br />Greta thunderpants will save us all	UCgJNK6A34q27nhuBS81J8Dg	http://www.youtube.com/channel/UCgJNK6A34q27nhuBS81J8Dg	0		
UgxAbz9WzgLUQ9TJ1Bt4AaABAg	0	13	2021-01-27 22:15:38	Richard Tong	Here we go again.	UCDlU-Lp4QyetocQS6xy7-SA	http://www.youtube.com/channel/UCDlU-Lp4QyetocQS6xy7-SA	0		
Ugxf60AVfl875m0Hqll4AaABAg	0	2	2021-01-31 09:03:11	Keith Lemon	An old man plants an acorn on his land knowing that he will not see it grow to maturity but future generations will marvel at its beauty and sit in its shade.	UCxWm7vCNf_voiUk8icRw3_g	http://www.youtube.com/channel/UCxWm7vCNf_voiUk8icRw3_g	0		
UgyQVyJIgZoA9rq5U7J4AaABAg	0	1	2021-01-28 03:22:40	Bak Khan	I thpught the title would say combat COVID 19<br />instead this	UCODVnSlJO-57fX-4FVdLr3A	http://www.youtube.com/channel/UCODVnSlJO-57fX-4FVdLr3A	0		
UgyHor8eaxlq0IST8aB4AaABAg	0	0	2021-01-28 05:51:18	SHAIGAI CHAN	🐻‍❄️	UCq3NVhdj3_U33I7LWuMFxOQ	http://www.youtube.com/channel/UCq3NVhdj3_U33I7LWuMFxOQ	0		
Ugx8Ff3zwEF_4kBv1D94AaABAg	0	1	2021-01-30 19:54:43	Phoenix TV Entertainment	I like turtles 👁👄👁	UC-VH4_jYhRcyNjoS1rpQy6g	http://www.youtube.com/channel/UC-VH4_jYhRcyNjoS1rpQy6g	0		
Ugz9dZioD4ZC5uTUw1V4AaABAg	0	1	2021-01-30 20:24:35	Half Code	Watch this at 0.5 speed and you can see the psychopathy.	UCG7saSDtIdp6SQsm4RB1HiA	http://www.youtube.com/channel/UCG7saSDtIdp6SQsm4RB1HiA	0		
