id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxUFntNfap50pK1V2d4AaABAg	1	11	2020-11-10 00:18:34	T MONEY	About a month or so the tables will be turned. &quot; Hello Darkness my old freind &quot; Amy Coney Barrett , Brett Kavanagh &amp; Clarence Thomas will never forget how they were treated.	UCwVdootjKr9zWKT0HTplD5A	http://www.youtube.com/channel/UCwVdootjKr9zWKT0HTplD5A	0		
UgxUFntNfap50pK1V2d4AaABAg.9FrShK3bKgM9HBaW1vGFWx		0	2020-12-13 01:50:59	Michael_C	lol how’s that working out?	UC7cMcphCeSxTIpKfTjhqPsw	http://www.youtube.com/channel/UC7cMcphCeSxTIpKfTjhqPsw	1	UgxUFntNfap50pK1V2d4AaABAg	T MONEY
UgwtVyzbIIiDWdEelCh4AaABAg	3	81	2020-10-16 23:34:55	Xantylon74	Harris tried the Chewbacca questioning, but failed miserably. &quot; &quot;	UCsqaHL6TCi5v09t79AGy-cw	http://www.youtube.com/channel/UCsqaHL6TCi5v09t79AGy-cw	0		
UgwtVyzbIIiDWdEelCh4AaABAg.9Et_cdNdW5e9GgH2pQgXyK		0	2020-11-30 12:36:32	Xantylon74	@Mouhamadou B. Diagne Du laberst vielleicht einen Quatsch, super Dickmann in der Frischebox. 🤣	UCsqaHL6TCi5v09t79AGy-cw	http://www.youtube.com/channel/UCsqaHL6TCi5v09t79AGy-cw	1	UgwtVyzbIIiDWdEelCh4AaABAg	Xantylon74
UgwtVyzbIIiDWdEelCh4AaABAg.9Et_cdNdW5e9Gg05rlupSx		0	2020-11-30 10:08:24	Mouhamadou B. Diagne	She actually exposed ACB as an anti-science climate change denier quite brilliantly.	UCzalU8stIU2gimV89l9aL5g	http://www.youtube.com/channel/UCzalU8stIU2gimV89l9aL5g	1	UgwtVyzbIIiDWdEelCh4AaABAg	Xantylon74
UgwtVyzbIIiDWdEelCh4AaABAg.9Et_cdNdW5e9F3RIhrUtry		3	2020-10-21 04:45:04	Ajijixe	I can see Chewy Chewbacca being attracted to Kamala.	UCc3pBxet6SAFlSk-KLkm5QA	http://www.youtube.com/channel/UCc3pBxet6SAFlSk-KLkm5QA	1	UgwtVyzbIIiDWdEelCh4AaABAg	Xantylon74
UgyRAYoprHIYT1Xu2gx4AaABAg	0	15	2020-10-18 19:13:14	worlds end	Kamala is angry at such an exceptional candidate for Supreme Court!!	UCpg0kaRkACTJUo8hEA1WC2g	http://www.youtube.com/channel/UCpg0kaRkACTJUo8hEA1WC2g	0		
UgwtAEXaaa2v4Hp3FuF4AaABAg	0	6	2020-11-09 18:33:27	anyonethere	That kameleon Harris is trying to sound inteligent by read a couple op papers. Sooooo smart. Lol	UC_Iyav8ZdIQl38VTt3TBOVg	http://www.youtube.com/channel/UC_Iyav8ZdIQl38VTt3TBOVg	0		
UgyQPH-LT9-iiB0-O-Z4AaABAg	0	17	2020-10-27 03:18:56	Rajram Ramakrishnan	hahah stupid harris.. smart Amy	UC4gx4CCU_Ch38vB60Y-RYqA	http://www.youtube.com/channel/UC4gx4CCU_Ch38vB60Y-RYqA	0		
UgzReK9UYDOiRm6UeD14AaABAg	2	55	2020-10-29 10:06:09	V K	One is a flawless judge. The other is a condescending woman who slept with married men to rise in her career.	UCZbTtsqlIqnEhPdZvBGBbHw	http://www.youtube.com/channel/UCZbTtsqlIqnEhPdZvBGBbHw	0		
UgzReK9UYDOiRm6UeD14AaABAg.9FObPR_Ft6W9G8DXaAhwcr		0	2020-11-16 21:52:22	eat water with spaggetti	acb is definitely not flawless	UC9Xd5-fCX9qVwyNWoyZxqTA	http://www.youtube.com/channel/UC9Xd5-fCX9qVwyNWoyZxqTA	1	UgzReK9UYDOiRm6UeD14AaABAg	V K
UgzReK9UYDOiRm6UeD14AaABAg.9FObPR_Ft6W9FcQu_zEJ4p		3	2020-11-04 04:14:18	M Romero	One can flawlessly answer a question the other cannot even read off of a piece of paper. Smh...	UCoeqxh90T3pod5yY6y-jYsg	http://www.youtube.com/channel/UCoeqxh90T3pod5yY6y-jYsg	1	UgzReK9UYDOiRm6UeD14AaABAg	V K
UgxhUkWZtyVT3QaQ6L94AaABAg	0	10	2020-10-18 19:12:41	worlds end	Amy!!! Amy!!!! Amy!!!	UCpg0kaRkACTJUo8hEA1WC2g	http://www.youtube.com/channel/UCpg0kaRkACTJUo8hEA1WC2g	0		
Ugyf0P-l3fl3ziKZw5t4AaABAg	0	2	2020-10-18 04:42:59	Darby Cash	Only guy on youtube asking the real questions	UCrYClfqZnsJEU0VxKrmtEsQ	http://www.youtube.com/channel/UCrYClfqZnsJEU0VxKrmtEsQ	0		
UgwWcCgTDutkVWC3uD94AaABAg	2	41	2020-10-16 17:51:43	JF	This was so satisfying to watch	UC_8BjlUAIWf4DXwsB60aE3w	http://www.youtube.com/channel/UC_8BjlUAIWf4DXwsB60aE3w	0		
UgwWcCgTDutkVWC3uD94AaABAg.9EsyLx1eAf49F_hO2V9bTx		0	2020-11-03 02:49:17	Mr E	@James Medina Y tú paisano cómo es que estás a favor de Trump si él nos tachó de violadores y narcotraficantes?	UCiF_8N3__tkzw_kLcyUziJQ	http://www.youtube.com/channel/UCiF_8N3__tkzw_kLcyUziJQ	1	UgwWcCgTDutkVWC3uD94AaABAg	JF
UgwWcCgTDutkVWC3uD94AaABAg.9EsyLx1eAf49EvrW8xw1Oc		2	2020-10-17 20:49:40	Oldinea Miller	@Isaac Ortiz Yes, yes, yes.	UCmgvVcwneE9nfEf8vYfSPpg	http://www.youtube.com/channel/UCmgvVcwneE9nfEf8vYfSPpg	1	UgwWcCgTDutkVWC3uD94AaABAg	JF
Ugyohc83UYc2nsWyouh4AaABAg	2	42	2020-10-16 18:23:50	24james	Which one of them slept with Willie Brown for a promotion again? Oh, kneepads Harris💯	UC0d3P3LnyA0Nwg7rdPVhqnQ	http://www.youtube.com/channel/UC0d3P3LnyA0Nwg7rdPVhqnQ	0		
Ugyohc83UYc2nsWyouh4AaABAg.9Et11C8DysY9F7VF6OR38z		1	2020-10-22 18:36:29	zachelberry0188	Biden and Harris Pee pads and knee pads	UCZ9xRhtscffau42Zio4_4Mg	http://www.youtube.com/channel/UCZ9xRhtscffau42Zio4_4Mg	1	Ugyohc83UYc2nsWyouh4AaABAg	24james
Ugyohc83UYc2nsWyouh4AaABAg.9Et11C8DysY9Et9MmEj5ko		2	2020-10-16 19:36:41	P Man	It’s heels 👠 up Harris	UCkjc2TbiHHz_66JmrrP26PQ	http://www.youtube.com/channel/UCkjc2TbiHHz_66JmrrP26PQ	1	Ugyohc83UYc2nsWyouh4AaABAg	24james
UgwCCSU3K104qTfHwVF4AaABAg	0	6	2020-10-22 19:55:54	wasabiimenace	Of all the things... here we go again with &quot;climate change&quot; 🙄	UCdYI6muJucUWFMoDIc_l3hg	http://www.youtube.com/channel/UCdYI6muJucUWFMoDIc_l3hg	0		
UgzBCewQr8m46pJlH7N4AaABAg	0	0	2020-12-14 07:33:55	Matt McClellan	these are the lies of the reptillians xD	UC58RRUwjmP5e09v-nmjqMBA	http://www.youtube.com/channel/UC58RRUwjmP5e09v-nmjqMBA	0		
UgyN_5LndxfKgJBHfDB4AaABAg	0	11	2020-10-19 21:36:21	Amanda Arcement	ACB is AMAZING!	UCDgIBwtV-X8M33koRU3dQjA	http://www.youtube.com/channel/UCDgIBwtV-X8M33koRU3dQjA	0		
Ugx91tOiZaVg4jAVg-p4AaABAg	0	0	2020-11-08 19:11:17	Artemi P	Beauty and the beast	UC9s5xFkst3V1xwtW_pE8N8w	http://www.youtube.com/channel/UC9s5xFkst3V1xwtW_pE8N8w	0		
UgzRQsl9ducCyS-h9et4AaABAg	0	2	2020-10-18 20:17:18	Susie Barajas Music Lover	Omg 😱 affordable care act! Oh no we can’t lose that wonderful Obama Care!!!! Yeah right give me a break revamp that lame Act!!	UCj3rsjq9gV6fVhVR3p5h95w	http://www.youtube.com/channel/UCj3rsjq9gV6fVhVR3p5h95w	0		
UgwxA1mhSc9RniMbxud4AaABAg	2	5	2020-11-08 19:52:14	Chris Lee	Wait for the plot twist America. This will be the greatest drama our <br />country has ever seen. Joe Biden and Kamala Harris will have to face <br />ACB, Clarence Thomas and Brett Kavanugh once again. And Clarence Thomas <br />has been waiting for 30 years.	UCCwUWt89Ti9gv71-3BblQWQ	http://www.youtube.com/channel/UCCwUWt89Ti9gv71-3BblQWQ	0		
UgwxA1mhSc9RniMbxud4AaABAg.9FoPQjtrvF79Foi9x_rN7a		1	2020-11-08 22:44:42	Chris Lee	@Ralph W I'm sure they're drooling at the mouth	UCCwUWt89Ti9gv71-3BblQWQ	http://www.youtube.com/channel/UCCwUWt89Ti9gv71-3BblQWQ	1	UgwxA1mhSc9RniMbxud4AaABAg	Chris Lee
UgwxA1mhSc9RniMbxud4AaABAg.9FoPQjtrvF79Fogfo2lNy5		2	2020-11-08 22:31:43	Ralph W	Oh boy the smile I’d have if I were Justice Thomas and Justice Kavanugh right not 😂	UCFLjxXDLgZpAK5W6PoJhDzw	http://www.youtube.com/channel/UCFLjxXDLgZpAK5W6PoJhDzw	1	UgwxA1mhSc9RniMbxud4AaABAg	Chris Lee
UgxupBhR5kzUzO3l3_54AaABAg	0	1	2021-03-08 01:38:49	James Ansley	Why is there no questions about the rockets that dump plenty of gases directly into the( ozone) word I having heard in a long time and how it splits the jet stream and you might get a polar blast in Texas but you still set a record for the most satellites sent at one time	UCbF3SUBxdXhI4MCzFp6F0jg	http://www.youtube.com/channel/UCbF3SUBxdXhI4MCzFp6F0jg	0		
Ugzc4QiYCuvn66m6e5t4AaABAg	0	4	2020-10-18 20:20:38	Susie Barajas Music Lover	I’ve notice same speech writer that the Obama’s use, with all that campaign funding couldn’t they change up the speech writer instead of them folks all sounding the same?	UCj3rsjq9gV6fVhVR3p5h95w	http://www.youtube.com/channel/UCj3rsjq9gV6fVhVR3p5h95w	0		
UgwXVaE9c2AjFpwyRa14AaABAg	0	9	2020-10-18 11:53:14	zekstr	This is honestly getting scary. It&#39;s the only way to describe it.	UCIeOp1MTfBTy65AMjaDDnMA	http://www.youtube.com/channel/UCIeOp1MTfBTy65AMjaDDnMA	0		
UgxUI1Bsb-7OyMi6KXV4AaABAg	0	4	2020-10-18 21:10:05	SteelsCrow	That was not a kindly move, Sen. Harris. -2 points from the gallery!<br /><br />I&#39;ll add a caveat that testing Barrett&#39;s reaction to entrapment attempts is a worthy motive, but I disapprove of choosing a topic close to your group&#39;s agenda.	UCQyB-EXNGk0BNP5eHXR5gGw	http://www.youtube.com/channel/UCQyB-EXNGk0BNP5eHXR5gGw	0		
