id	1QIa_76xX8Y
published	2017-10-24 06:36:49
published_unix	1508827009
title	Meet America's First Climate Change Refugees
description	As the Trump administration pulls America out of international meetings on climate change, we visit communities who are already feeling its effects, and being forced to leave their homes. Dateline reporters scour the globe to bring you a world of daring stories. Our reputation is for fearless and provocative reporting. Australia's beloved, award winning and longest running international current affairs program. More: http://bit.ly/2yzMIkC https://www.sbs.com.au/news/dateline https://www.facebook.com/DatelineSBS/ #SpecialBroadcastingService #DatelineSBS #Documentary
channelId	UCY_Bq1AF0xvPUjaAqV7kweA
channelTitle	SBS Dateline
duration	PT25M12S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	PT
licensedContent	1
viewCount	22844
likeCount	272
dislikeCount	22
favoriteCount	0
commentCount	205
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
