id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugxk0Kj1Xb6x0adImZV4AaABAg	1	59	2019-03-14 19:32:56	gominuke	Jack is just so damn good at storytelling.	UCEHJVRkjpsGOyhAxchT52vA	http://www.youtube.com/channel/UCEHJVRkjpsGOyhAxchT52vA	0		
Ugxk0Kj1Xb6x0adImZV4AaABAg.8sTYHybdUCv9KjLV6ihSuZ		0	2021-03-11 03:18:38	Marco Jackson	@Duncan Angelo Checking it out now. Looks to be working :)	UCMNT2AafsyiHxxbYIW0GS3g	http://www.youtube.com/channel/UCMNT2AafsyiHxxbYIW0GS3g	1	Ugxk0Kj1Xb6x0adImZV4AaABAg	gominuke
Ugx5kTMLFgSWm-hdMy54AaABAg	0	15	2019-03-10 09:30:30	Meghan Hughes	one of the most informative &amp; reachable videos I&#39;ve seen on global warming in a while. u broke it down so well &amp; I&#39;m elated to see u &amp; ur brother spreading this message calling for change across ur platforms. THANK YOU.	UChZUCgX-hBXDpnpB8O1XQbA	http://www.youtube.com/channel/UChZUCgX-hBXDpnpB8O1XQbA	0		
UgxIH7rEuz5iykMjKBB4AaABAg	2	454	2019-03-09 18:26:22	Ysabella Y.	Thank you for your passion, Jack. Thank you for using your platform to talk about topics that people need to hear more about.	UCIkjuY9ZH655IuT6W5D0mnw	http://www.youtube.com/channel/UCIkjuY9ZH655IuT6W5D0mnw	0		
UgxIH7rEuz5iykMjKBB4AaABAg.8sGYh791YiD9-7Rd0ti3vr		0	2019-09-21 01:42:38	Gina Plympton	"Front lines" ? Hyperbolic martyr much?	UCU4W9Z4c1fK6NfH6bK3CvNw	http://www.youtube.com/channel/UCU4W9Z4c1fK6NfH6bK3CvNw	1	UgxIH7rEuz5iykMjKBB4AaABAg	Ysabella Y.
UgxIH7rEuz5iykMjKBB4AaABAg.8sGYh791YiD8sH1RTuTSMK		0	2019-03-09 22:54:59	Edward Cullen	Just scratched my butt. Felt good	UCPqPwMyzb1_6xSRCfzmmqlw	http://www.youtube.com/channel/UCPqPwMyzb1_6xSRCfzmmqlw	1	UgxIH7rEuz5iykMjKBB4AaABAg	Ysabella Y.
UgyMQLlK-3DxaoN5WxJ4AaABAg	0	4	2019-03-23 07:24:27	Family Freedom	Thank you 🙏💚	UCjLhciYmZrIlzT6EyIAhuxQ	http://www.youtube.com/channel/UCjLhciYmZrIlzT6EyIAhuxQ	0		
UgwbffLIQwOh2NZOOkJ4AaABAg	0	60	2019-03-10 01:22:58	LauraLivin	&quot;Change doesn&#39;t care about borders... The fact is climate change is going to affect us all, even though right now the terrible irony is that climate change is affecting those who have done the least to cause it.&quot; <br /><br />Brilliant.	UCJ0ckuV5fq14FLeAAh3tsMg	http://www.youtube.com/channel/UCJ0ckuV5fq14FLeAAh3tsMg	0		
UgzDDDb77PYF-vnToMV4AaABAg	2	124	2019-03-09 19:28:02	Leon Kirstein	It‘s not only right and important what you‘re saying.. but I, as a media designer, really admire your speaking and presentation skills!! 👌🏼	UC5-W1urnCgniW0NdYn78XJA	http://www.youtube.com/channel/UC5-W1urnCgniW0NdYn78XJA	0		
UgzDDDb77PYF-vnToMV4AaABAg.8sGekfyL_WH8z5NH8MW5Zr		0	2019-08-26 09:54:41	Pragmatist Youth	Leon Ki I fancy you. do you have a boy friend?	UC9os4FhFQeFxo-lncvrt17g	http://www.youtube.com/channel/UC9os4FhFQeFxo-lncvrt17g	1	UgzDDDb77PYF-vnToMV4AaABAg	Leon Kirstein
UgzDDDb77PYF-vnToMV4AaABAg.8sGekfyL_WH8sKhgidHoMR		0	2019-03-11 09:10:40	Jeepman	Thank you, Leon I see you looked at the facts and made up your own ! Good for you not following things people tell you as truth without checking and thinking for yourself!for yourself!	UCL83JjwSCKnH2FtJqeavLBw	http://www.youtube.com/channel/UCL83JjwSCKnH2FtJqeavLBw	1	UgzDDDb77PYF-vnToMV4AaABAg	Leon Kirstein
UgycCyNQWyP3YhtAX054AaABAg	2	208	2019-03-09 18:09:18	Hi, I Am KATHARINA	Such an important issue to talk about, what you’re doing is great! I love that you are using this platform and your channel to raise awareness! Thank you!! So scary what is happening to our planet, let’s fight this!!	UCcb2GbOjRk2nNtQuqwr1elg	http://www.youtube.com/channel/UCcb2GbOjRk2nNtQuqwr1elg	0		
UgycCyNQWyP3YhtAX054AaABAg.8sGWk3uXIVU8slzkJL4rAr		1	2019-03-22 08:47:10	coleorum	@Oliver 2000 Only to those who want it to be.	UCpl6o8bAwnpQkY5v9EEuZlw	http://www.youtube.com/channel/UCpl6o8bAwnpQkY5v9EEuZlw	1	UgycCyNQWyP3YhtAX054AaABAg	Hi, I Am KATHARINA
