id	6EFHZfISGp4
published	2019-07-28 14:00:00
published_unix	1564322400
title	Climate Change Activists vs Skeptics: Can They See Eye To Eye? | Middle Ground
description	Follow us on INSTAGRAM: https://www.instagram.com/jubileemedia/ Dan: https://www.instagram.com/thedchen/ Erin: https://www.instagram.com/erin_laulau/ SUBSCRIBE for more! 👉http://bit.ly/SUBSCRIBEjubilee 👈 Be in a Jubilee video: http://bit.ly/JubileeCasting Join our company! http://bit.ly/JubileeCareers Are you a loyal Jubilee fan? Join our Facebook group: https://www.facebook.com/groups/407942859721012/ | ABOUT | Jubilee exists to bridge people together and inspire love through compelling stories. We create shareable human-centric videos that create connection, challenge assumptions, and touch the soul. Ultimately, we aim to inspire people to LIVE DEEPER. | SOCIAL | Jubilee Facebook: https://www.facebook.com/jubileemedia Jubilee Instagram: https://www.instagram.com/jubileemedia/ Jubilee Twitter: https://www.twitter.com/jubileemedia Jubilee Website: https://www.jubileemedia.com For brands interested in partnering with Jubilee, email us: hello@jubileemedia.com Help us caption & translate this video! https://amara.org/v/qVRP/
channelId	UCJjSDX-jUChzOEyok9XYRJQ
channelTitle	Jubilee
duration	PT14M58S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	1909486
likeCount	58670
dislikeCount	1377
favoriteCount	0
commentCount	22729
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
