id	9Pqp_8XLC6c
published	2019-05-23 18:47:11
published_unix	1558637231
title	Climate Change is Too Big for our Brains feat. Mike Rugnetta | Hot Mess 
description	Try Audible for 30 days visit https://www.audible.com/hotmess or text hotmess to 500 500! Like this video? SUBSCRIBE to Hot Mess! ►► http://bit.ly/hotmess_sub What can a bunch of circles and squares from a 19th century novella tell us about Climate Change? Its metaphor time! Connect with us on: Twitter: https://twitter.com/HotMessPBS Instagram: https://www.instagram.com/hotmesspbs Facebook: http://facebook.com/hotmesspbs Hot Mess T-shirts! https://store.dftba.com/products/hot-mess-shirt References: bit.ly/2M7gWG7 ----------- Host: Miriam Nielsen Featuring: Mike Rugnetta Writer: Mike Rugnetta, Miriam Nielsen Creative Director: David Schulte Editors/Animator: Derek Borsheim Producers: Stephanie Noone & Amanda Fox Editor-In-Chief: Joe Hanson ----------- Produced by PBS Digital Studios Theme Music: Eric Friend/Optical Audio Music: APM
channelId	UCsaEBhRsI6tmmz12fkSEYdw
channelTitle	Hot Mess
duration	PT10M55S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	28519
likeCount	1885
dislikeCount	121
favoriteCount	0
commentCount	351
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
