id	AN5wNFlwiag
published	2016-12-22 19:56:09
published_unix	1482436569
title	Adam Ruins Everything - Climate Change is Already Happening. Now what?
description	The question isn't will warming happen; the question is how bad will it be? Subscribe: http://bit.ly/truTVSubscribe Watch Full Episodes for FREE: http://bit.ly/1Rw2yzp Check Adam’s Sources: http://bit.ly/1Q7MHpK In Adam Ruins Everything, host Adam Conover employs a combination of comedy, history and science to dispel widespread misconceptions about everything we take for granted. A blend of entertainment and enlightenment, Adam Ruins Everything is like that friend who knows a little bit too much about everything and is going to tell you about it... whether you like it or not. truTV Official Site: http://www.trutv.com/ Like truTV on Facebook: https://www.facebook.com/truTV Follow truTV on Twitter: https://twitter.com/truTV Follow truTV on Tumblr: http://trutv.tumblr.com/ Get the truTV app on Google Play: http://bit.ly/1eYxjPP Get the truTV app on iTunes: http://apple.co/1JiGkjh Way more truTV! Watch clips, sneak peeks and exclusives from original shows like Comedy Knockout, Those Who Can't and more – plus fresh video from hit shows like Impractical Jokers and The Carbonaro Effect. Adam Ruins Everything - Climate Change is Already Happening. Now what?
channelId	UCb0xfM3HGOsqPYNAocXXNAQ
channelTitle	truTV
duration	PT2M24S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	1855883
likeCount	35467
dislikeCount	3172
favoriteCount	0
commentCount	8659
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
