id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxTVtkkfAxDXngWP0B4AaABAg	0	2	2021-03-11 10:20:38	Abdullah Ahmed	<a href="https://www.youtube.com/watch?v=AN5wNFlwiag&amp;t=00m00s">00:00</a> Adam you thicc!!!	UCxPDqHpmNQfTr6AQEDXz6Vw	http://www.youtube.com/channel/UCxPDqHpmNQfTr6AQEDXz6Vw	0		
Ugx7rAFZkhJyA64tD8l4AaABAg	0	0	2021-03-07 23:47:00	Little Mac Is underrated	I’m not saying the people in the comments are stupid, I’m saying they’re in denial	UCMEa7cWoHEwlQzq2Ua2ajsw	http://www.youtube.com/channel/UCMEa7cWoHEwlQzq2Ua2ajsw	0		
UgyKs-xc1Cf6YhsqJ_B4AaABAg	0	0	2021-03-05 17:00:04	Sean Gardner	Like life thought us every choices got consquences and so far we are choosing the one that will end up being a to big consequence to call this planet home.	UC8Gi-8Ds_j6yTx-rPE5F_rg	http://www.youtube.com/channel/UC8Gi-8Ds_j6yTx-rPE5F_rg	0		
UgzjdOo8r61T_9JngDt4AaABAg	0	0	2021-03-01 19:50:05	CoopTube123	The sad thing that changing over to renewable energy is very hard and would cost probably billions of dollars, no company wants to do that....	UC1JCdCdRopWoD_Usdmd1gLw	http://www.youtube.com/channel/UC1JCdCdRopWoD_Usdmd1gLw	0		
UgwYd4lLrR0tx1sk4dt4AaABAg	0	0	2021-02-26 13:42:50	Gwen Rees	Join Extinction Rebellion. Let&#39;s demand change together.	UC0BTYoc-yacVcXD9wEjrbxQ	http://www.youtube.com/channel/UC0BTYoc-yacVcXD9wEjrbxQ	0		
Ugy78k-mTaNl4vvLGmx4AaABAg	0	0	2021-02-24 10:53:17	Yaniv Rubin	&quot;It won&#39;t be our planet anymore&quot;<br /><br />No, its going to my planet.<br /><br />Jerks	UCtA1Pqa3r3WdjVxEeIHf0ZA	http://www.youtube.com/channel/UCtA1Pqa3r3WdjVxEeIHf0ZA	0		
UgyWJAwPcfAjVXfmu394AaABAg	0	0	2021-02-24 02:11:38	BlaBlaBlaBla BlaBlaBla	Also there&#39;s 600 000 000 tons of methane in the polar ice caps which will start to warm the earth up exponentially.	UCtLCZRy2ugXw9u8tQ3H7jOA	http://www.youtube.com/channel/UCtLCZRy2ugXw9u8tQ3H7jOA	0		
Ugx6e93CFgaqb8-GuIl4AaABAg	0	1	2021-02-21 23:49:47	Michael Foulkes	The actual sea level has risen 3 inches in the last 30 years, and he thinks that we need to change our whole way of life? You look at what the climate scientists predicted in the 1980’s and 90’s - none of it has come true.	UCw_LhuyRGwy-azoTBuehgBQ	http://www.youtube.com/channel/UCw_LhuyRGwy-azoTBuehgBQ	0		
Ugx_cEsGO1cwvmHTM7N4AaABAg	0	0	2021-02-18 01:58:29	medoncho	I love how confused the Asian guy looks, when he&#39;s not talking	UCX9tPYiLDg4J7MW73oiskZw	http://www.youtube.com/channel/UCX9tPYiLDg4J7MW73oiskZw	0		
Ugx7k-UcmwvVAY0JIOR4AaABAg	0	0	2021-02-16 04:03:19	Nerdic Mem	I’m not a big fan of adam ruins everything, but I think they approached climate change pretty well. They mention how our current energy sources are harmful to our planet but also mention how we’ve constructed our society off of fossil fuel burning and its almost impossible to cut this as an energy source without causing severe damage to our economy and power supply. Dealing with climate change is like stopping a car on an icy road. We can’t slam the breaks and wipe ff burning off the earth, we have to ease into the stop, introduce cleaner ways to burn fossil fuels along with finding efficient renewable alternatives to shift into over time. Its good to remember the world will change but it won’t be the end if we head in the right direction.	UCiWIGbuoM6nWO4Nt_qnEOIQ	http://www.youtube.com/channel/UCiWIGbuoM6nWO4Nt_qnEOIQ	0		
