id	B-nEYsyRlYo
published	2017-01-10 13:00:30
published_unix	1484053230
title	His Epic Message Will Make You Want to Save the World | Short Film Showcase
description	As the human population continues to grow, so does our impact on the environment. In fact, recent research has shown that three-quarters of Earth’s land surface is under pressure from human activity. In this short film, spoken word artist Prince Ea makes a powerful case for protecting the planet and challenges the human race to create a sustainable future. Winner of the Film4Climate competition organized by the Connect4Climate Program of the World Bank (film4climate.net). ➡ Subscribe: http://bit.ly/NatGeoSubscribe ➡ Get More Short Film Showcase: http://bit.ly/ShortFilmShowcase About Short Film Showcase: The Short Film Showcase spotlights exceptional short videos created by filmmakers from around the web and selected by National Geographic editors. We look for work that affirms National Geographic's belief in the power of science, exploration, and storytelling to change the world. The filmmakers created the content presented, and the opinions expressed are their own, not those of National Geographic Partners. See more from National Geographic's Short Film Showcase at http://documentary.com Get More National Geographic: Official Site: http://bit.ly/NatGeoOfficialSite Facebook: http://bit.ly/FBNatGeo Twitter: http://bit.ly/NatGeoTwitter Instagram: http://bit.ly/NatGeoInsta About National Geographic: National Geographic is the world's premium destination for science, exploration, and adventure. Through their world-class scientists, photographers, journalists, and filmmakers, Nat Geo gets you closer to the stories that matter and past the edge of what's possible. Read more about the impact humans have on the environment: http://news.nationalgeographic.com/2016/08/human-footprint-map-ecological-impact/ Three Seconds: https://www.youtube.com/watch?v=sacc_x-XB1Y His Epic Message Will Make You Want to Save the World | Short Film Showcase https://youtu.be/B-nEYsyRlYo National Geographic https://www.youtube.com/natgeo
channelId	UCpVm7bg6pXKo1Pr6k5kxG9A
channelTitle	National Geographic
duration	PT4M24S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	1853905
likeCount	127945
dislikeCount	1898
favoriteCount	0
commentCount	6390
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
