id	B_NClASd4fQ
published	2020-10-04 23:20:01
published_unix	1601853601
title	Climate change's worst possible outcome
description	The "father of climate science," James Hansen lays out what irreversible changes will hurt the planet if humans don't act to stop climate change Subscribe to the 60 Minutes Channel HERE: http://bit.ly/1S7CLRu Watch Full Episodes of 60 Minutes HERE: http://cbsn.ws/1Qkjo1F Get more 60 Minutes from 60 Minutes: Overtime HERE: http://cbsn.ws/1KG3sdr Relive past episodes and interviews with 60 Minutes Rewind HERE: http://cbsn.ws/1PlZiGI Follow 60 Minutes on Instagram HERE: http://bit.ly/23Xv8Ry Like 60 Minutes on Facebook HERE: http://on.fb.me/1Xb1Dao Follow 60 Minutes on Twitter HERE: http://bit.ly/1KxUsqX Get the latest news and best in original reporting from CBS News delivered to your inbox. Subscribe to newsletters HERE: http://cbsn.ws/1RqHw7T Get your news on the go! Download CBS News mobile apps HERE: http://cbsn.ws/1Xb1WC8 Get new episodes of shows you love across devices the next day, stream local news live, and watch full seasons of CBS fan favorites anytime, anywhere with CBS All Access. Try it free! http://bit.ly/1OQA29B --- 60 Minutes, the most successful American television broadcast in history, began its 52nd season in September. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 is still a hit in 2020. 60 Minutes makes Nielsen’s weekly Top 10 nearly every week and was the #1 weekly television broadcast three times last season. The program still averages more than 10 million viewers, more than double the audience of its nearest network news magazine competitor. The average audience for a 60 Minutes broadcast is 150% higher than those of the network morning news programs; the audience dwarfs the number of viewers drawn by the most popular cable news programs. About a million more people listen to the 60 Minutes radio simulcast in several major cities and on its companion podcast. Tens of thousands each week experience 60 Minutes online. The broadcast’s segments can be watched at 60Minutes.com and on the CBS All Access app. Its webcast, 60MinutesOvertime.com, offers content originally produced for the web, including behind-the-scenes video about the production of 60 Minutes stories and timely archival segments. 60 Minutes has won every major broadcast award. Its 25 Peabody and 150 Emmy awards are the most won by any single news program. It has also won 20 duPont-Columbia University journalism awards. Other distinguished journalism honors won multiple times include the George Polk, RTDNA Edward R. Murrow, Investigative Reporters and Editors, RFK Journalism, Sigma Delta Chi and Gerald Loeb awards. 60 Minutes premiered on CBS September 24, 1968. Bill Owens is the program’s executive producer. The correspondents and contributors of 60 Minutes are Sharyn Alfonsi, Anderson Cooper, John Dickerson, Norah O’Donnell, Scott Pelley, Lesley Stahl, Bill Whitaker and L. Jon Wertheim.
channelId	UCsN32BtMd0IoByjJRNF12cw
channelTitle	60 Minutes
duration	PT1M42S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	CA,JP
licensedContent	1
viewCount	13611
likeCount	218
dislikeCount	31
favoriteCount	0
commentCount	185
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
