id	CqCx9xU_-Fw
published	2019-08-22 19:00:14
published_unix	1566500414
title	Climate Grief | Philosophy Tube
description	rip 🌍https://www.patreon.com/PhilosophyTube Subscribe! http://tinyurl.com/pr99a46 Paypal.me/PhilosophyTube Wanna get me a gift for the show? http://amzn.eu/5JAYdOd Check out my other videos on: Men. Abuse. Trauma. ★ - https://www.youtube.com/watch?v=AeGEv0YVLtw Abortion & Ben Shapiro - https://www.youtube.com/watch?v=c2PAajlHbnU Sex Work: https://www.youtube.com/watch?v=1DZfUzxZ2VU Jordan Peterson & The Meaning of Life https://www.youtube.com/watch?v=SEMB1Ky2n1E& Brexit: What is Democracy? https://www.youtube.com/watch?v=Vr-ZeToI4R8 Steve Bannon: https://www.youtube.com/watch?v=wO6uD3c2qMo Why Does Britain Still Have A Queen? https://www.youtube.com/watch?v=x2W7P3wGBI8 YouTube: Art or Reality? https://www.youtube.com/watch?v=kVav1ri65Ws Is Philosophy Just White Guys J3rk!ng Off? https://www.youtube.com/watch?v=weiz9wbIcGQ Transphobia: An Analysis - https://www.youtube.com/watch?v=yCxqdhZkxCo Suicide and Mental Health - https://www.youtube.com/watch?v=eQNw2FBdpyE Discord: https://discord.gg/a4Nwt5 Twitter: @PhilosophyTube Email: ollysphilosophychannel@gmail.com Facebook: http://tinyurl.com/jgjek5w realphilosophytube.tumblr.com Bibliography: Aaron Bastani, Fully Automated Luxury Communism https://tinyurl.com/y2kfubay Contrapoints, “The Apocalypse” https://www.youtube.com/watch?v=S6GodWn4XMM& D. Kapua’ala Sproat, “An Indigenous People’s Right to Environmental Self-Determination: Native Hawaiians and the Struggle Against Climate Change Devastation,” in Stanford Environmental Law Journal David Tickler et al. “Modern Slavery and the Race to Fish,” in Nature Communications Derek Parfit, Reasons and Persons https://tinyurl.com/yyq5cz2p Derek Parfit, “Future People, the Non-Identity Problem, and Person-Affecting Principles” in Philosophy and Public Affairs Dina Gilio-Whitaker, As Long As Grass Grows https://tinyurl.com/y5xs7y2e Drumbeat: Anger & Renewal in Indian Country, ed Boyce Richardson https://tinyurl.com/y2uguudx Ella Belfer, James Ford, Michelle Mailet, “Representation of Indigineous People in Climate Reporting,” in Climatic Change Evgeny Morozov, To Save Everything, Click Here https://tinyurl.com/y2meq9jt Gareth Dale, “Climate, Communism and the Age of Affluence?” in Ecologist https://theecologist.org/2019/may/29/climate-communism-and-age-affluence Gilbert Ryle, The Concept of Mind https://tinyurl.com/y5qju8fz Greta Thunberg, “School Strike For Climate - Save the World by Changing the Rules” https://www.youtube.com/watch?v=EAmmUIEsN9A&t=547s Hbomberguy, “Climate Denial: A Measured Response” https://www.youtube.com/watch?v=RLqXkYrdmjY Hot Mess, Climate Change is Too Big for Our Brains feat. Mike Rugnetta https://www.youtube.com/watch?v=9Pqp_8XLC6c Hot Mess, ‘Feeling Guilty About Climate Change feat. Hank Green https://www.youtube.com/watch?v=JsQp2PnhPak Jem Bendell, “Deep Adaptation: A Map for Navigating Climate Tragedy” https://www.lifeworth.com/deepadaptation.pdf Jonathan Neale, “Social Collapse and Climate Change,” in Ecologist Jordan Engel, “Names and Locations of the Top 100 People Killing the Planet,” in Decolonial Atlas https://decolonialatlas.wordpress.com/2019/04/27/names-and-locations-of-the-top-100-people-killing-the-planet/ Kalamaoka’aina Niheu, “Indigenous Resistance in an Era of Climate Change,“ in Radical History Review Kathrin, Climate Change: Are We All F*cked? https://www.youtube.com/watch?v=5jqXzMKtrMw&feature=youtu.be Lewis Hodder, “Fully Automated Luxury Communism” in Ebb Magazine Mark Fisher, Capitalist Realism https://tinyurl.com/y59rsa73 Mike Pearl, “Climate Despair is Making People Give Up on Life,” in Vice https://www.vice.com/en_us/article/j5w374/climate-despair-is-making-people-give-up-on-life Natasha Lennard, “The El-Paso Shooter Embraced Eco-Fascism. We Can’t Let the Far Right Co-Opt the Environmental Struggle,” in The Intercept https://theintercept.com/2019/08/05/el-paso-shooting-eco-fascism-migration/ Nick Estes, Our History is the Future https://tinyurl.com/y2luzaeq Nick Serpe, “Indigineous Resistance is Post-Apocalyptic, with Nick Estes,” Dissent Magazine https://www.dissentmagazine.org/online_articles/booked-indigenous-resistance-is-post-apocalyptic-with-nick-estes Out of the Woods, “Extinction Rebellion: Not the Movement We Need, Part 1” in LibCom https://libcom.org/blog/extinction-rebellion-not-struggle-we-need-pt-1-19072019 Terry Eagleton, Why Marx Was Right https://tinyurl.com/y425lrr3 Timothy Morton, Hyperobjects https://tinyurl.com/y4u4os7o Timothy Morton, The Ecological Thought https://tinyurl.com/y3s7ed8g Music: ‘Revolution Lover’ by Left at London ‘There Are Many Different Kinds of Love,’ ‘Direct To Video,’ ‘God Be With You Till We Meet Again,’ ‘Cylinder Five,’ ‘Obelisks,’ and ‘What Does Anybody Know About Anything’ are licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/) Source: http://chriszabriskie.com/dtv/ Artist: http://chriszabriskie.com/ #ClimateChange #GlobalWarming #Environment
channelId	UC2PA-AKmVpU6NKCGtZq_rKQ
channelTitle	Philosophy Tube
duration	PT29M31S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	833088
likeCount	57347
dislikeCount	961
favoriteCount	0
commentCount	5494
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
