id	EH__Fa2yqnE
published	2020-03-04 21:15:00
published_unix	1583356500
title	Do All Climate Change Skeptics Think the Same? | Spectrum
description	Watch behind the scenes of this season of Spectrum on our second channel, Twobilee! 👉https://youtu.be/Fd_0AAmJbWQ 👈 Follow us on INSTAGRAM: 👉https://www.instagram.com/jubileemedia/ 👈 SUBSCRIBE for more! http://bit.ly/SUBSCRIBEjubilee Be in a Jubilee video: http://bit.ly/JubileeCasting The views expressed by cast members in this video do not reflect the views or opinions of Jubilee Media. Facts, data, and claims mentioned in this episode have not been fact checked or verified in any way. We encourage you to do your own research, respect opinions that don't align with your own and to have empathy! Are you a loyal Jubilee fan? Join our Facebook group: https://www.facebook.com/groups/407942859721012/ | ABOUT | We believe in the power of empathy for human good. Ultimately, we aim to inspire people to EMBRACE EMPATHY. | SOCIAL | Jubilee Facebook: https://www.facebook.com/jubileemedia Jubilee Instagram: https://www.instagram.com/jubileemedia/ Jubilee Twitter: https://www.twitter.com/jubileemedia Jubilee Website: https://www.jubileemedia.com FEATURING: Alex - https://twitter.com/alexepstein For brands interested in partnering with Jubilee, email us: hello@jubileemedia.com Help us caption & translate this video! https://amara.org/v/C0I2I/ #Jubilee #Spectrum
channelId	UCJjSDX-jUChzOEyok9XYRJQ
channelTitle	Jubilee
duration	PT16M33S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	474164
likeCount	13437
dislikeCount	4374
favoriteCount	0
commentCount	10044
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
