id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxnELcQ7ts5ah4QvCx4AaABAg	4	5	2020-03-02 09:21:04	Unveiled	Here are 10 inventions which could help against climate change.. --&gt; <a href="https://www.youtube.com/watch?v=Xz57NMHBfc4">https://www.youtube.com/watch?v=Xz57NMHBfc4</a>	UCYJyrEdlwxUu7UwtFS6jA_Q	http://www.youtube.com/channel/UCYJyrEdlwxUu7UwtFS6jA_Q	0		
UgxnELcQ7ts5ah4QvCx4AaABAg.95gyfLqNNen9CPW8qrEET-		0	2020-08-16 04:56:31	John J Keaveney	The ice will be no more, even if we defeat climate change it will inevitably melt	UCaKBnZDOBsmmOW9sBaorbWQ	http://www.youtube.com/channel/UCaKBnZDOBsmmOW9sBaorbWQ	1	UgxnELcQ7ts5ah4QvCx4AaABAg	Unveiled
UgxnELcQ7ts5ah4QvCx4AaABAg.95gyfLqNNen9CF5p8W75hN		0	2020-08-12 03:54:06	Lorenzo Blum	Reduce Reuse Repair Recycle Replant trees Boycott all kinds of junk....	UCsYupKQPnWV7J3FUsGGwyEA	http://www.youtube.com/channel/UCsYupKQPnWV7J3FUsGGwyEA	1	UgxnELcQ7ts5ah4QvCx4AaABAg	Unveiled
UgxnELcQ7ts5ah4QvCx4AaABAg.95gyfLqNNen9AAXsC5RaOf		0	2020-06-21 16:20:11	Gabb1	Dude... you intro your video saying climate change is credible and post a video of ice calving. You do understand that the cause of calving is because of ice GROWTH. Not ice loss. When ice melts, it turns into rivers of water. When ice grows it expands until it breaks off and calves.	UC8LOWfUoFiug2fqzMUBcC7Q	http://www.youtube.com/channel/UC8LOWfUoFiug2fqzMUBcC7Q	1	UgxnELcQ7ts5ah4QvCx4AaABAg	Unveiled
UgxnELcQ7ts5ah4QvCx4AaABAg.95gyfLqNNen95oENaviub7		0	2020-03-05 05:01:44	SamePluto	I wish this channel was more popular because I really like there videos	UCZFVKNt3EJ7iKHngPpu5m0w	http://www.youtube.com/channel/UCZFVKNt3EJ7iKHngPpu5m0w	1	UgxnELcQ7ts5ah4QvCx4AaABAg	Unveiled
UgxS2dOVrXTvJU-vVRt4AaABAg	2	40	2020-03-01 15:52:59	William Simpson	There&#39;s a Thanos joke in there somewhere	UCtxv_qaOgTofGmOkUR1LX7w	http://www.youtube.com/channel/UCtxv_qaOgTofGmOkUR1LX7w	0		
UgxS2dOVrXTvJU-vVRt4AaABAg.95f5irDO0q495mKwWpb5OU		1	2020-03-04 11:20:36	varishth singh	"Climate change is inevitable" 👁	UC52fLwscfK0JIZuOW0iPE1g	http://www.youtube.com/channel/UC52fLwscfK0JIZuOW0iPE1g	1	UgxS2dOVrXTvJU-vVRt4AaABAg	William Simpson
UgxS2dOVrXTvJU-vVRt4AaABAg.95f5irDO0q495mJth-Nde4		0	2020-03-04 11:11:28	Lou Sensei	In 2019 maybe😒😴	UCNSffenp1osG4g6k7PflhuA	http://www.youtube.com/channel/UCNSffenp1osG4g6k7PflhuA	1	UgxS2dOVrXTvJU-vVRt4AaABAg	William Simpson
Ugz_8MoZ98n42XcEq-J4AaABAg	1	11	2020-07-13 03:05:01	Crazy Arnold	Nobody:<br /><br />2020: yep we are screwed	UCUV-scXKrq7ARy-4uaABp6w	http://www.youtube.com/channel/UCUV-scXKrq7ARy-4uaABp6w	0		
Ugz_8MoZ98n42XcEq-J4AaABAg.9B1lMSvrHL89DMx8Wxj5vq		0	2020-09-09 01:34:49	Nicolle Herr	Scientists: "We have until 2030 to turn this around." 2020: "eh Well..."	UCye5EtG6tbqAuqBNxhSWSLg	http://www.youtube.com/channel/UCye5EtG6tbqAuqBNxhSWSLg	1	Ugz_8MoZ98n42XcEq-J4AaABAg	Crazy Arnold
