id	EyMAmakw1dU
published	2019-09-02 12:00:00
published_unix	1567425600
title	Full Frontal Rewind: Sam's Takes on Climate Change | Full Frontal on TBS
description	Unfortunately, the DNC declined to have a presidential debate on the very real, very serious topic of climate change. Fortunately, we've put together some of our top pieces on the topic from over the year. #FullFrontalRewind Watch Full Frontal with Samantha Bee all new Wednesdays at 10:30/ 9:30c on TBS! Subscribe: https://www.youtube.com/fullfrontalsamb?sub_confirmation=1 Follow Full Frontal with Samantha Bee: Twitter: https://twitter.com/FullFrontalSamB Facebook: https://www.facebook.com/fullfrontalsamb/ Instagram: https://www.instagram.com/fullfrontalsamb/ Medium: https://medium.com/@fullfrontalsamb/ SamBee.com #SamanthaBee #FullFrontalSamB
channelId	UC18vz5hUUqxbGvym9ghtX_w
channelTitle	Full Frontal with Samantha Bee
duration	PT20M2S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	243933
likeCount	3933
dislikeCount	145
favoriteCount	0
commentCount	326
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
