id	G1s_JKh9i2E
published	2020-12-03 23:18:13
published_unix	1607037493
title	Climate change affecting record wildfire season
description	A record-breaking 2020 fire season is likely a result of the growing climate change crisis around the world.
channelId	UCBi2mrWuNuyYy4gbM6fU18Q
channelTitle	ABC News
duration	PT3M45S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	12369
likeCount	599
dislikeCount	54
favoriteCount	0
commentCount	222
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
