id	GxIDJWCbk6I
published	2019-06-12 12:00:03
published_unix	1560340803
title	The Green New Deal, explained
description	What's actually in the Green New Deal? Become a Video Lab member! http://bit.ly/video-lab The Green New Deal is an ambitious plan to fight the effects of climate change. It’s the only American plan that actually acknowledges the size of the impending crisis. And it contains some difficult truths that we might not want to hear. Read the Green New Deal resolution here: https://ocasio-cortez.house.gov/sites/ocasio-cortez.house.gov/files/Resolution%20on%20a%20Green%20New%20Deal.pdf For additional context I recommend this piece by Vox’s Umair Irfan on the United Nations climate report, where the world’s best climatologists tell us how urgent of a problem this is: https://www.vox.com/2018/10/8/17948832/climate-change-global-warming-un-ipcc-report This piece from Vox’s David Roberts, shows that world leaders really aren’t taking this urgency seriously. https://www.vox.com/2016/10/4/13118594/2-degrees-no-more-fossil-fuels Finally, you should read this explainer of the Green New Deal, followed by this story (in list form) by Hannah Northey: https://www.vox.com/energy-and-environment/2018/12/21/18144138/green-new-deal-alexandria-ocasio-cortez https://www.eenews.net/stories/1060106501 I also enjoyed this piece, from Kate Aronoff of the Intercept, that imagines a world after the Green New Deal: https://theintercept.com/2018/12/05/green-new-deal-proposal-impacts/ Vox.com is a news website that helps you cut through the noise and understand what's really driving the events in the headlines. Check out http://www.vox.com. Watch our full video catalog: http://goo.gl/IZONyE Follow Vox on Facebook: http://goo.gl/U2g06o Or Twitter: http://goo.gl/XFrZ5H
channelId	UCLXo7UDZvByw2ixzpQCufnA
channelTitle	Vox
duration	PT7M30S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	1990722
likeCount	74648
dislikeCount	16722
favoriteCount	0
commentCount	11546
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	
