id	IDOouqQGZY4
published	2020-01-22 12:00:04
published_unix	1579694404
title	Jane Fonda on changing her lifestyle to combat climate change | Nightline
description	Fonda, who has spoken out for decades on issues including women’s rights and the Vietnam War, tells “Nightline” that climate change is a singularly important: “This is the future of the entire planet. WATCH NIGHTLINE EPISODES: https://abc.go.com/shows/nightline ALSO AVAILABLE ON HULU: https://hulu.tv/2wSmSrZ #Nightline #JaneFonda #ClimateChange #Trump #Protesters #Politics #VietnamWar #WomensRights
channelId	UCBi2mrWuNuyYy4gbM6fU18Q
channelTitle	ABC News
duration	PT9M22S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	16229
likeCount	448
dislikeCount	108
favoriteCount	0
commentCount	196
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
