id	KkmNUK-kwmM
published	2021-01-21 10:51:47
published_unix	1611226307
title	Climate Change meme review
description	Time to put that PhD to good use. See me create my own memes, and support educational video for less than $1 a month at https://www.curiositystream.com/simonclark! Act before the 31st of January to snag that sweet 41% off! In this video I put my PhD in atmospheric physics to good use and conduct a meme review (meme peer review?) of climate change and global warming memes. Some of these slew me, some of them just made me very sad. Want to see more like this? Let me know in the comments! Links: (1) https://www.linkedin.com/pulse/what-reduces-our-personal-co2-footprint-we-have-clue-frank-bilstein/ (2) https://b8f65cb373b1b7b15feb-c70d8ead6ced550b4d987d7c03fcdd1d.ssl.cf3.rackcdn.com/cms/reports/documents/000/002/327/original/Carbon-Majors-Report-2017.pdf?1499691240 (3) https://www.pnas.org/content/115/43/10953 You can support the channel by donating at http://www.patreon.com/simonoxfphys Check out my website! https://www.simonoxfphys.com/ ---------- II ---------- My twitter - http://www.twitter.com/simonoxfphys My facebook - http://www.facebook.com/youtubesimon My insta - http://www.instagram.com/simonoxfphys My goodreads - http://www.goodreads.com/simonoxfphys ---------- II ---------- Music by Epidemic Sound: http://epidemicsound.com Huge thanks to my supporters on Patreon: Stormchaser007 , Daan Sneep, Felix Freiberger, Robert Connell, Josh McMillan, Jaime Stark, Kolbrandr, , Sebastain Graf, Dan Nelson, Shane O'Brien, Fujia Li, Harry Eakins, Will Tolley, Nafi Iftekhar, Andrew Young, Cody VanZandt, Jesper Koed, Jovana, hennersfl, Federico Ameijenda, Jon Sjöberg, Jack Troup, Austin Frazee, SexyCaveman , James Munro, Chrismarie , Oskar Hellström, Sean Richards, Kedar , Omar Miranda, Alastair Fortune, bitreign33 , Mat Allen, Anne Smith, Colin J. Brown, Princess Andromeda, Leighton Mackenzie, BenDent , Charles Bray, Andy Hartley, Lachlan Woods, Tim Boxall, Dan Hanvey, Simon Donkers, Kodzo , James Bridges, Liam , Andrea De Mezzo, Wendover Productions, Kendra Johnson.
channelId	UCRRr_xrOm66qaigIbwFLvbQ
channelTitle	Simon Clark
duration	PT13M47S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	29837
likeCount	2944
dislikeCount	56
favoriteCount	0
commentCount	278
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
