id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugy-TyGOsiFqubxTGNl4AaABAg	5	5	2020-10-30 20:33:27	AngieLovesUSA	Why didn&#39;t CFCs cause an even thinning of the Ozone?<br />Why only 1 whole in a specific location? <br />Something not totally true with CFCs as bad guy.	UC-zvEAnb05O9i_du-mht5NA	http://www.youtube.com/channel/UC-zvEAnb05O9i_du-mht5NA	0		
Ugy-TyGOsiFqubxTGNl4AaABAg.9FSIzhh_B3X9J5kaI_AOSG		0	2021-01-29 12:26:25	ChurchInAshes	​@mA x Max SoyFed, go take a look at all the plastic and rubbish in Gretta's tesla. The climate change religion	UCAeABikdMlzsQrULn07kUxg	http://www.youtube.com/channel/UCAeABikdMlzsQrULn07kUxg	1	Ugy-TyGOsiFqubxTGNl4AaABAg	AngieLovesUSA
Ugy-TyGOsiFqubxTGNl4AaABAg.9FSIzhh_B3X9J5eaWV2_kQ		0	2021-01-29 11:34:01	mA x	@ChurchInAshes go home, buddy, you're drunk.	UC4Vi9ZDOLJhf8ufrgRLW1CA	http://www.youtube.com/channel/UC4Vi9ZDOLJhf8ufrgRLW1CA	1	Ugy-TyGOsiFqubxTGNl4AaABAg	AngieLovesUSA
Ugy-TyGOsiFqubxTGNl4AaABAg.9FSIzhh_B3X9J5Tho-Yz-f		0	2021-01-29 09:50:10	ChurchInAshes	@mA x scientific papers written by far left intellectuals who require climate change to be an issue to make a living?	UCAeABikdMlzsQrULn07kUxg	http://www.youtube.com/channel/UCAeABikdMlzsQrULn07kUxg	1	Ugy-TyGOsiFqubxTGNl4AaABAg	AngieLovesUSA
Ugy-TyGOsiFqubxTGNl4AaABAg.9FSIzhh_B3X9GA17fX20Gl		0	2020-11-17 14:42:27	Anthony Matthews	AngieLovesUSA. Angie definitely doesn't love science.	UCEPnfmQumHgMarVnZH4msVg	http://www.youtube.com/channel/UCEPnfmQumHgMarVnZH4msVg	1	Ugy-TyGOsiFqubxTGNl4AaABAg	AngieLovesUSA
Ugy-TyGOsiFqubxTGNl4AaABAg.9FSIzhh_B3X9FvTA-gWv40		1	2020-11-11 13:39:35	mA x	The scientifoc approach to such a question would be to look into scientific peer reviewed papers for an answer. And you'd be surprised that there is a sound explaination for it. Hint: it has to do with the tilt of rotation axis of the earth and ice's abillity to serve as a reservoir of CFCs and release them back in huge amounts if melted again.	UC4Vi9ZDOLJhf8ufrgRLW1CA	http://www.youtube.com/channel/UC4Vi9ZDOLJhf8ufrgRLW1CA	1	Ugy-TyGOsiFqubxTGNl4AaABAg	AngieLovesUSA
Ugwq7WxNdI-5cmB0r054AaABAg	0	5	2020-03-01 21:17:31	D. Aware	The truth about the coronavirus and how it affects climate	UCg7YYipAUda4lpoAQ-R0pzw	http://www.youtube.com/channel/UCg7YYipAUda4lpoAQ-R0pzw	0		
UgxO31LWxV4b9w6tgEN4AaABAg	4	6	2020-08-14 11:03:22	Paul Colbourne	I like how &quot;climate change will be solved&quot; is bandied about here. Quite convincing for something so little understood. Put all your investment in these ideas right now. The result is...well we don&#39;t know but for some reason you&#39;ll feel good doing it because it&#39;s quite convincing to make you feel somehow responsible.	UC9gZKH9NaeCZZ0mGaBpU4mw	http://www.youtube.com/channel/UC9gZKH9NaeCZZ0mGaBpU4mw	0		
UgxO31LWxV4b9w6tgEN4AaABAg.9CL0Xx7TCgz9HX3c7CXFiS		0	2020-12-21 09:58:08	Anthony Matthews	@Ik You've discovered something that science has overlooked? Of course you haven't.	UCEPnfmQumHgMarVnZH4msVg	http://www.youtube.com/channel/UCEPnfmQumHgMarVnZH4msVg	1	UgxO31LWxV4b9w6tgEN4AaABAg	Paul Colbourne
UgxO31LWxV4b9w6tgEN4AaABAg.9CL0Xx7TCgz9GAaEK2nnn6		0	2020-11-17 19:57:56	Anthony Matthews	@jefrox deejay What?	UCEPnfmQumHgMarVnZH4msVg	http://www.youtube.com/channel/UCEPnfmQumHgMarVnZH4msVg	1	UgxO31LWxV4b9w6tgEN4AaABAg	Paul Colbourne
UgxO31LWxV4b9w6tgEN4AaABAg.9CL0Xx7TCgz9GAJLrJqvUo		1	2020-11-17 17:21:40	jefrox deejay	@Anthony Matthews What would make things more complicated letting you that I'm a liar?	UCoHDMhlQv4r7knHESDHRxuA	http://www.youtube.com/channel/UCoHDMhlQv4r7knHESDHRxuA	1	UgxO31LWxV4b9w6tgEN4AaABAg	Paul Colbourne
UgxO31LWxV4b9w6tgEN4AaABAg.9CL0Xx7TCgz9DSnZUqk_pZ		0	2020-09-11 08:06:33	Anthony Matthews	Paul Colbourne. Climate change is quite easy to understand. What would you like to know?	UCEPnfmQumHgMarVnZH4msVg	http://www.youtube.com/channel/UCEPnfmQumHgMarVnZH4msVg	1	UgxO31LWxV4b9w6tgEN4AaABAg	Paul Colbourne
UgxosxptVxWw-LKrnU14AaABAg	1	2	2020-01-27 16:42:00	Saahadat Ali	NICE SPEECH	UCBYkUc8J1d0R8AhTtJrjeWg	http://www.youtube.com/channel/UCBYkUc8J1d0R8AhTtJrjeWg	0		
UgxosxptVxWw-LKrnU14AaABAg.94IdJBFmC_M94OFngufbiY		4	2020-01-29 21:03:17	Władca Wymiaru	Bleh. That was cesswater spill!	UCherSgfuX4ODBO5-pMrThYg	http://www.youtube.com/channel/UCherSgfuX4ODBO5-pMrThYg	1	UgxosxptVxWw-LKrnU14AaABAg	Saahadat Ali
UgyWW3xlQ_osIUMHG0R4AaABAg	1	7	2020-07-12 22:38:32	Cold War Jesus	That boy has been eating way too much Tofu !!!	UCSaGQfYo9LRxl0fQZac9w_w	http://www.youtube.com/channel/UCSaGQfYo9LRxl0fQZac9w_w	0		
UgyWW3xlQ_osIUMHG0R4AaABAg.9B1Hrahza3T9G9kMMBTu8X		0	2020-11-17 12:07:10	Anthony Matthews	Cold War Jesus. Too much tofu? Beats all that sniffing of tail pipes you good old boys seem to get off on.	UCEPnfmQumHgMarVnZH4msVg	http://www.youtube.com/channel/UCEPnfmQumHgMarVnZH4msVg	1	UgyWW3xlQ_osIUMHG0R4AaABAg	Cold War Jesus
