id	M2Jxs7lR8ZI
published	2012-02-05 23:57:05
published_unix	1328486225
title	Climate Change
description	In which Hank details the five scariest things that will likely happen because of climate change. Follow SciShow on Twitter: http://www.twitter.com/scishow Like SciShow on Facebook: http://www.facebook.com/scishow Solar Energy Infusion: www.youtube.com/watch?v=4uPVZUTLAvA Epigenetics Infusion: www.youtube.com/watch?v=kp1bZEUgqVI
channelId	UCZYTClx2T1of7BRZ86-8fow
channelTitle	SciShow
duration	PT10M52S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	979712
likeCount	22208
dislikeCount	1408
favoriteCount	0
commentCount	8009
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
