id	NUfRRckdDGA
published	2021-01-31 20:00:03
published_unix	1612123203
title	Schumer Throws Climate Crisis On Biden's Desk
description	Chuck Schumer wants Biden to do something about the climate crisis. Schumer, aren’t you the Senate Majority Leader? John Iadarola and Adrienne Lawrence break it down on The Damage Report. Become a TDR YouTube Member: youtube.com/thedamagereport/join Follow The Damage Report on Facebook: https://www.facebook.com/TheDamageReportTYT/ Help build the Home of the Progressives http://tyt.com/JOIN Subscribe to The Damage Report YouTube channel: https://www.youtube.com/thedamagereport?sub_confirmation=1 Follow The Damage Report on Instagram: instagram.com/thedamagereport/ Follow The Damage Report on Twitter: https://twitter.com/TheDamageReport Read more here: https://www.theguardian.com/environment/2021/jan/25/global-ice-loss-accelerating-at-record-rate-study-finds "The melting of ice across the planet is accelerating at a record rate, with the melting of the Greenland and Antarctic ice sheets speeding up the fastest, research has found. The rate of loss is now in line with the worst-case scenarios of the Intergovernmental Panel on Climate Change, the world’s leading authority on the climate, according to a paper published on Monday in the journal The Cryosphere. Thomas Slater, lead author and research fellow at the centre for polar observation and modelling at the University of Leeds, warned that the consequences would be felt around the world. “Sea level rise on this scale will have very serious impacts on coastal communities this century,” he said" #TheDamageReport #JohnIadarola #TheYoungTurks
channelId	UCl9roQQwv4o4OuBj3FhQdDQ
channelTitle	The Damage Report
duration	PT4M38S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	14489
likeCount	1165
dislikeCount	22
favoriteCount	0
commentCount	174
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
