id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgxzMjclHiwjBdpZrJJ4AaABAg	15	7	2021-01-26 20:04:51	The Damage Report	Become a TDR YouTube Member: <a href="http://youtube.com/thedamagereport/join">youtube.com/thedamagereport/join</a>	UCl9roQQwv4o4OuBj3FhQdDQ	http://www.youtube.com/channel/UCl9roQQwv4o4OuBj3FhQdDQ	0		
UgxzMjclHiwjBdpZrJJ4AaABAg.9IzqfF6G0OF9JE_Mz3c6T5		0	2021-02-01 22:41:31	GlueFactoryBJJ	@Charles Roger Martin ROFL! That is great conspiracy theory trolling!	UCg6ipDTvpVat22oKQVkDwXQ	http://www.youtube.com/channel/UCg6ipDTvpVat22oKQVkDwXQ	1	UgxzMjclHiwjBdpZrJJ4AaABAg	The Damage Report
UgxzMjclHiwjBdpZrJJ4AaABAg.9IzqfF6G0OF9JE_GmK8GRH		0	2021-02-01 22:40:40	GlueFactoryBJJ	@Jack Garrison You tagged me in your comment, but I don't know why... I never mentioned Al Gore in any of my comments here.	UCg6ipDTvpVat22oKQVkDwXQ	http://www.youtube.com/channel/UCg6ipDTvpVat22oKQVkDwXQ	1	UgxzMjclHiwjBdpZrJJ4AaABAg	The Damage Report
UgxzMjclHiwjBdpZrJJ4AaABAg.9IzqfF6G0OF9JEO5-gyS4I		0	2021-02-01 20:54:12	Jack Garrison	@Shade Bleu I'm not Lying to Anyone I'm telling The TRUTH and Yes Joe BIDEN has Broken His Promise on that well at least for now anyway He could still make that Yes I know that He is Human and can't keep every Promise that He makes but it was ridiculous how many PROMISES TRUMP broke as The PRESIDENT	UCAiZOpMhaPj1Rbebit1dRMw	http://www.youtube.com/channel/UCAiZOpMhaPj1Rbebit1dRMw	1	UgxzMjclHiwjBdpZrJJ4AaABAg	The Damage Report
UgxzMjclHiwjBdpZrJJ4AaABAg.9IzqfF6G0OF9JENc_dTqQv		0	2021-02-01 20:50:11	Shade Bleu	You're lying to your audience. Biden also promised 2k checks.	UCNyDTp6YvfDGsWzvZHff_Dg	http://www.youtube.com/channel/UCNyDTp6YvfDGsWzvZHff_Dg	1	UgxzMjclHiwjBdpZrJJ4AaABAg	The Damage Report
UgxzMjclHiwjBdpZrJJ4AaABAg.9IzqfF6G0OF9JBw-eD8dKs		0	2021-01-31 22:01:35	Jack Garrison	@GlueFactoryBJJ Yes Al Gore did drop out of The Election for President which was really Stupid but He is 100% Correct about Global Warming it has been Affecting Earth since The Day it came into existence and Unfortunately will probably be always A problem until The Earth Dies whether that is and Who knows it will be A Problem centuries after Earth dies as well and Yes it was Hilarious on SOUTHPARK when Had Al Gore going crazy about Man Bear Pig	UCAiZOpMhaPj1Rbebit1dRMw	http://www.youtube.com/channel/UCAiZOpMhaPj1Rbebit1dRMw	1	UgxzMjclHiwjBdpZrJJ4AaABAg	The Damage Report
UgxzMjclHiwjBdpZrJJ4AaABAg.9IzqfF6G0OF9JBsXS67gec		0	2021-01-31 21:31:15	GlueFactoryBJJ	@Tommy Bushenger For many reasons, which are easily found through a quick search, that "private jet" criticism is BS. It has been thoroughly debunked. The only way to deal with climate change is through SOCIETAL LEVEL, not individual change. And if your protest is that "elites" enjoy privileges "We, the People" don't, well, I agree, but so of "true" communism I don't know how we'll change that... or if we even should. As the old saying goes, "Rank hath it's privileges."	UCg6ipDTvpVat22oKQVkDwXQ	http://www.youtube.com/channel/UCg6ipDTvpVat22oKQVkDwXQ	1	UgxzMjclHiwjBdpZrJJ4AaABAg	The Damage Report
UgxzMjclHiwjBdpZrJJ4AaABAg.9IzqfF6G0OF9JBrNhHRryj		0	2021-01-31 21:21:11	GlueFactoryBJJ	@Jack Garrison I agree.	UCg6ipDTvpVat22oKQVkDwXQ	http://www.youtube.com/channel/UCg6ipDTvpVat22oKQVkDwXQ	1	UgxzMjclHiwjBdpZrJJ4AaABAg	The Damage Report
UgxzMjclHiwjBdpZrJJ4AaABAg.9IzqfF6G0OF9JBoCEcvjZ6		1	2021-01-31 20:53:24	Jack Garrison	@GlueFactoryBJJ Yes He does but He is right about taking Climate change Seriously	UCAiZOpMhaPj1Rbebit1dRMw	http://www.youtube.com/channel/UCAiZOpMhaPj1Rbebit1dRMw	1	UgxzMjclHiwjBdpZrJJ4AaABAg	The Damage Report
UgxzMjclHiwjBdpZrJJ4AaABAg.9IzqfF6G0OF9JBnxNLUhx7		0	2021-01-31 20:51:14	GlueFactoryBJJ	Sen Schumer is such a weak sauce, wimp "leader". Dang! He definitely needs to be voted out of the leadership position. Oh, I agree that Pres Biden can do more on his own. BUT Sen Schumer needs to do some of the heavy lifting himself. Ugh! P.S. Bernie for majority leader!	UCg6ipDTvpVat22oKQVkDwXQ	http://www.youtube.com/channel/UCg6ipDTvpVat22oKQVkDwXQ	1	UgxzMjclHiwjBdpZrJJ4AaABAg	The Damage Report
