id	OWXoRSIxyIU
published	2014-09-22 17:36:43
published_unix	1411407403
title	13 Misconceptions About Global Warming
description	Donate to the IPCC to prevent climate change → https://ve42.co/donateIPCC Common misconceptions about climate change. Check out Audible: http://bit.ly/AudibleVe References below: For CO2, sea levels, Arctic sea ice, Antarctic and Greenland land ice: http://climate.nasa.gov Satellite data shows that ground-based stations underestimate recent warming: Cowtan and Way, 2014 http://onlinelibrary.wiley.com/doi/10.1002/qj.2297/full For papers published on climate change during the 1970's, see Peterson, 2008 http://ams.confex.com/ams/pdfpapers/131047.pdf For solar and temperature data see NASA GISS, PMOD: http://www.acrim.com/tsi%20monitoring.htm Krivova et al. 2007: http://www2.mps.mpg.de/projects/sun-climate/data.html CO2 ratio of Carbon-13:Carbon-12 decreasing. IPCC AR4: http://www.ipcc.ch/publications_and_data/ar4/wg1/en/ch2s2-3.html CO2 emitted by volcanoes vs by humans: Gerlach, 2011 www.agu.org/pubs/pdf/2011eo240001.pdf Gerlach Mauna Loa CO2 data: http://www.esrl.noaa.gov/gmd/ccgg/trends/ Rising atmospheric water vapour: Santer, 2007 http://www.pnas.org/cgi/reprint/0702872104v1.pdf A doubling of CO2 will likely lead to a 3C increase in global temperatures according to many independent pieces of evidence: Knutti & Hegerl, 2008 http://www.iac.ethz.ch/people/knuttir/papers/knutti08natgeo.pdf Great resource on Milankovitch cycles: http://www.sciencecourseware.org/eec/GlobalWarming/Tutorials/Milankovitch/ CO2 lags temperature rise in the southern hemisphere but leads the global average temperature rise, Shakun et al. 2012 http://www.nature.com/nature/journal/v484/n7392/abs/nature10915.html Music by Kevin McLeod, http://incompetech.com Songs: Hidden Agenda, Sneaky Snitch, Harlequin
channelId	UCHnyfMqiRRG1u-2MsSQLbXA
channelTitle	Veritasium
duration	PT6M50S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	4142509
likeCount	150283
dislikeCount	11751
favoriteCount	0
commentCount	30333
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
