id	S-DZRO687l0
published	2020-09-15 06:48:33
published_unix	1600152513
title	Trump denies climate change link to wildfires: 'I don't think science knows'– video
description	The US president is urged to recognise the changing climate and what it means to forests, during a briefing on the wildfires in California on Monday. Trump interrupts an official, Wade Crowfoot, the secretary of California’s Natural Resources Agency, to argue the climate 'will start getting cooler, you just watch'. Crowfoot responds: 'I wish science agreed with you.' To which Trump retorts: 'I don’t think science knows actually' Subscribe to Guardian News on YouTube ► http://bit.ly/guardianwiressub Biden calls Trump a 'climate arsonist' as president denies science on wildfire tour ► https://www.theguardian.com/us-news/2020/sep/14/biden-trump-wildfires-messages-campaign-trail-california Support the Guardian ► https://support.theguardian.com/contribute Today in Focus podcast ► https://www.theguardian.com/news/series/todayinfocus The Guardian YouTube network: The Guardian ► http://www.youtube.com/theguardian Owen Jones talks ► http://bit.ly/subsowenjones Guardian Football ► http://is.gd/guardianfootball Guardian Sport ► http://bit.ly/GDNsport Guardian Culture ► http://is.gd/guardianculture
channelId	UCIRYBXDze5krPDzAEOxFGVA
channelTitle	Guardian News
duration	PT56S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	46853
likeCount	338
dislikeCount	75
favoriteCount	0
commentCount	244
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
