id	S7jpMG5DS4Q
published	2014-06-13 00:22:40
published_unix	1402618960
title	Climate Change Animation Shows Devastating Effects
description	AJ+ animates the devastating effects on how climate change is already affecting every continent and every ocean on the planet, based on the most definitive report compiled by the United Nations. Hundreds of leading scientists from all over the world worked over 5 years researching the impacts and the challenges ahead for the UN Intergovernmental Panel on Climate Change. Subscribe for more videos: http://www.youtube.com/channel/UCV3Nm3T-XAgVhKH9jT0ViRg?sub_confirmation=1 Follow us on Twitter: https://twitter.com/ajplus Like us on Facebook: https://www.facebook.com/ajpluscommunity Learn more about AJ+: http://www.ajplus.net/
channelId	UCV3Nm3T-XAgVhKH9jT0ViRg
channelTitle	AJ+
duration	PT3M5S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	243986
likeCount	1716
dislikeCount	101
favoriteCount	0
commentCount	236
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
