id	TbW_1MtC2So
published	2019-03-14 17:21:13
published_unix	1552584073
title	The Biggest Lie About Climate Change
description	You were lied to about climate change. Listen to our podcast Sidenote! https://youtu.be/GQVKvU25Ojk CLIMATE PROTEST INFO: US: https://www.youthclimatestrikeus.org/strikes GLOBAL: https://www.fridaysforfuture.org/events/map WATCH MORE! Tech!: https://youtube.com/playlist?list=PLv... Health!: https://youtube.com/playlist?list=PLv... Food!: https://youtube.com/playlist?list=PLv... FOLLOW US! Greg Instagram: https://instagram.com/whalewatchmeplz Twitter: https://twitter.com/whalewatchmeplz Mitch Instagram: https://instagram.com/mitchellmoffit Twitter: https://twitter.com/mitchellmoffit ASAPScience Instagram: https://instagram.com/asapscience Facebook: https://facebook.com/asapscience Twitter: https://twitter.com/asapscience Tumblr: https://asapscience.tumblr.com Created by Mitchell Moffit and Gregory Brown Written by: Greg Brown Illustrated by: Max Simmons Edited by: Sel Ghebrehiwot Send us stuff! ASAPSCIENCE INC. P.O. Box 93, Toronto P Toronto, ON, M5S2S6 References/Further Reading: https://www.ourenergypolicy.org/wp-content/uploads/2017/08/Supran_2017_Environ._Res._Lett._12_084019.pdf http://www.documentcloud.org/documents/705551-mob-nyt-1997-dec-4-uncertainty.html https://insideclimatenews.org/sites/default/files/documents/1982%20Exxon%20Primer%20on%20CO2%20Greenhouse%20Effect.pdf https://www.researchgate.net/publication/270549325_Merchants_of_Doubt_How_a_Handful_of_Scientists_Obscured_the_Truth_on_Issues_from_Tobacco_Smoke_to_Global_Warming-_Naomi_Oreskes_Erik_M_Conway_2010_Blooms-bury_Press_New_York_New_York_355_pp_ISBN_978-1 https://www.theguardian.com/environment/2003/mar/04/usnews.climatechange http://www.documentcloud.org/documents/705551-mob-nyt-1997-dec-4-uncertainty.html https://insideclimatenews.org/news/18092015/exxon-confirmed-global-warming-consensus-in-1982-with-in-house-climate-models https://www.theguardian.com/environment/2015/jul/08/exxon-climate-change-1981-climate-denier-funding https://www.theguardian.com/environment/climate-consensus-97-per-cent/2018/sep/19/shell-and-exxons-secret-1980s-climate-change-warnings https://www.scientificamerican.com/article/exxon-knew-about-climate-change-almost-40-years-ago/ http://insideclimatenews.org/sites/default/files/documents/Budget%20Cutting%20Memo%20%281982%29.pdf https://www.ucsusa.org/global-warming/fight-misinformation/tweet-facts-about-fossil-fuel-industry-climate-change-deception#.XGsKg-hKhPY http://content.time.com/time/magazine/0,9263,7601890102,00.html http://theconversation.com/i-was-an-exxon-funded-climate-scientist-49855 https://iopscience.iop.org/article/10.1088/1748-9326/aa815f#erlaa815fr87 https://www.nytimes.com/2017/08/23/climate/exxon-global-warming-science-study.html https://www.ourenergypolicy.org/wp-content/uploads/2017/08/Supran_2017_Environ._Res._Lett._12_084019.pdf http://polluterwatch.com/exxon-and-mobil-ads https://www.desmogblog.com/lee-raymond http://www.climatefiles.com/exxonmobil/1997-exxon-lee-raymond-speech-at-world-petroleum-congress/ https://www.vox.com/science-and-health/2017/7/6/15924444/global-warming-consensus-survey https://weather.com/science/environment/news/americans-climate-change-scientific-consensus https://grist.org/article/rex-tillerson-funded-climate-denial-at-exxon-now-hes-suddenly-a-big-fan-of-facts/ https://en.wikipedia.org/wiki/Rex_Tillerson https://www.nytimes.com/2006/04/13/business/exxon-chairman-got-retirement-package-worth-at-least-398-million.html https://en.wikipedia.org/wiki/Darren_Woods https://en.wikipedia.org/wiki/ExxonMobil https://www.theguardian.com/environment/2015/jul/08/exxon-climate-change-1981-climate-denier-funding https://insideclimatenews.org/news/22082017/study-confirms-exxon-misled-public-about-climate-change-authors-say https://www.theguardian.com/environment/climate-consensus-97-per-cent/2018/sep/19/shell-and-exxons-secret-1980s-climate-change-warnings https://www.scientificamerican.com/article/exxon-knew-about-climate-change-almost-40-years-ago/ https://www.theguardian.com/business/2019/jan/21/world-26-richest-people-own-as-much-as-poorest-50-per-cent-oxfam-report
channelId	UCC552Sd-3nyi_tk2BudLUzA
channelTitle	AsapSCIENCE
duration	PT9M2S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	1607434
likeCount	70998
dislikeCount	8820
favoriteCount	0
commentCount	13414
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
