id	TtGvpe4b5PQ
published	2019-09-25 07:59:49
published_unix	1569398389
title	The Problem With Greta Thunberg (Climate Activist)
description	Isaac Butterfield Stand Up World Tour - https://www.isaacbutterfield.com/tickets Podcast - https://podcasts.apple.com/us/podcast/the-butterfield-effect/id1478090865 My Live Uncensored Comedy Special - www.isaacbutterfield.com Instagram - https://www.instagram.com/thebuttsmarn Email - Thebuttsmarn@gmail.com PO BOX - 343 Charlestown, NSW, 2290 Become a part of my Patreon - https://www.patreon.com/Thebuttsmarn Support this Channel on Paypal - https://paypal.me/IsaacButterfield?locale.x=en_AU Live Shows - https://www.isaacbutterfield.com/tickets/ Join The Channel Now - https://www.youtube.com/channel/UC-wBAxgUX9P0fXZ6-D0frRA/join
channelId	UC-wBAxgUX9P0fXZ6-D0frRA
channelTitle	Isaac Butterfield
duration	PT10M6S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	
licensedContent	1
viewCount	1077419
likeCount	64783
dislikeCount	4848
favoriteCount	0
commentCount	11370
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
