id	UgOV1dYdYVk
published	2015-11-23 16:00:22
published_unix	1448294422
title	#OursToLose: Climate Change Affects the Things We Love
description	** Sign the petition: https://goo.gl/iGQbWA ** Climate change affects the things we love. But this December we have a huge opportunity. Sign the global petition and ask world leaders to agree to a deal at the COP21 climate conference in Paris. Visit our Tumblr page to find out what else is #OursToLose, and help spread the word to save the things you love: http://goo.gl/oG1D6d Learn how climate change might affect … New York: http://goo.gl/bzcKmj Sports and fitness: http://goo.gl/WmwPuf Fall leaves: http://goo.gl/OXQtPW Chocolate: http://goo.gl/SwQXEg Skiing: http://goo.gl/3fOca4 The ocean: https://goo.gl/uJNSgp New Zealand: http://goo.gl/xxquDf Coral reefs: http://goo.gl/kKceCa Many thanks to the creators who are participating in this campaign. In order of appearance: It’s Okay to be Smart: https://youtube.com/user/itsokaytobesmart Casey Neistat: https://youtube.com/user/caseyneistat Flavia Calina: https://youtube.com/user/Fla1982 Blogilates: https://youtube.com/user/blogilates Finn Harries (JacksGap): https://youtube.com/user/JacksGap FunForLouis: https://youtube.com/user/FunForLouis Marques Brownlee: https://youtube.com/user/marquesbrownlee SORTEDfood: https://youtube.com/user/sortedfood Golden Moustache: http://youtube.com/GoldenMoustacheVideo DeevaJessica: https://youtube.com/user/deevajessica Jamie’s World: https://youtube.com/user/theJamiesWorld Music: "Better Love" by Foxes: https://www.youtube.com/watch?v=oQBiPwklN_Q Photography: "Between Land and Sea" by Abrar Mohsin With special thanks to the World Resources Institute (http://wri.org) for all their help in the development of this project.
channelId	UCBR8-60-B28hp2BmDPdntcQ
channelTitle	YouTube
duration	PT2M2S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	3288251
likeCount	38889
dislikeCount	9816
favoriteCount	0
commentCount	9925
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
