id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugxw-Nm5mfLecX4eAnl4AaABAg	0	0	2021-01-09 18:54:48	reference2me	there is a lot of unused land in Canada and Russia ... it is to cold there now ... the population can move into these unused areas as it warms up...	UCczk7l3l64RNKEqHyHmmpJA	http://www.youtube.com/channel/UCczk7l3l64RNKEqHyHmmpJA	0		
UgyLMuHbXnJQo0uWsYJ4AaABAg	0	0	2020-12-26 23:07:45	Logan Paul	Until the COVID-19 lockdown began and people stopped driving cars and worked from home back in March.	UCrNRcY7s43Nz6nLBV2AXvcQ	http://www.youtube.com/channel/UCrNRcY7s43Nz6nLBV2AXvcQ	0		
Ugy0egfmqmRczObmkXx4AaABAg	0	0	2020-08-31 17:26:49	Name	If you have a garden, don&#39;t rake your leaves. They&#39;ll eventually humify, and humus eats Co2 for breakfast, dinner and lunch. Ivy does too.	UC0AqnCAum6y7KGDSey1gAUg	http://www.youtube.com/channel/UC0AqnCAum6y7KGDSey1gAUg	0		
UgwBfZUe1a4jBsYnLXx4AaABAg	1	0	2020-04-23 03:29:42	Jalen Byrd	Un Age restrict the videos now	UCvWSn7Kvw_uKim4pxo9znTw	http://www.youtube.com/channel/UCvWSn7Kvw_uKim4pxo9znTw	0		
UgwBfZUe1a4jBsYnLXx4AaABAg.97mEnJSA99O97mEw17a-Vu		0	2020-04-23 03:30:53	Jalen Byrd	It doesn’t matter if you age restricted all videos please unage restrict the videos	UCvWSn7Kvw_uKim4pxo9znTw	http://www.youtube.com/channel/UCvWSn7Kvw_uKim4pxo9znTw	1	UgwBfZUe1a4jBsYnLXx4AaABAg	Jalen Byrd
Ugzm2g7q4qJm8J-jMgV4AaABAg	0	0	2020-01-13 19:03:56	Randal Hampton	Be the change! No car- no cellphone-ride a bike!	UCSs8LkPu4-8A1JpwDmsO9fA	http://www.youtube.com/channel/UCSs8LkPu4-8A1JpwDmsO9fA	0		
UgwXHlPD7d6C-bMtZFx4AaABAg	0	0	2019-09-27 09:26:02	Aditi	Meat eaters telling us about climate change..haha	UClKwpeId4DoqbT-fPW0twAw	http://www.youtube.com/channel/UClKwpeId4DoqbT-fPW0twAw	0		
UgwE_KvHEzbUjmlkzlN4AaABAg	0	0	2019-08-05 19:50:02	Hurricane Dorian	Hopefully climate change destroys the Youtube HQ first	UClf0MEq2CjKOVDdHj_lJh8w	http://www.youtube.com/channel/UClf0MEq2CjKOVDdHj_lJh8w	0		
UgwuWGw9nOAoVsPYcU14AaABAg	0	1	2018-10-09 11:06:03	Muhammad Arif	Losing hope for humanity after readed some the negative comments!	UCjE2xeg_6K3Sx0chtcZI5aQ	http://www.youtube.com/channel/UCjE2xeg_6K3Sx0chtcZI5aQ	0		
Ugx7sD50KB9Fopn8aYt4AaABAg	0	0	2018-04-03 20:31:10	Jacob's Tech Zone	I just watched a BBC documentary. The earth will be FINE. Humans will go EXTINCT, however. After 1 million years, the earth will have regenerated to its pre-human state.	UCXQ-B2Jg9UdDx-zsvIIcSdg	http://www.youtube.com/channel/UCXQ-B2Jg9UdDx-zsvIIcSdg	0		
