id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugyt1BcOb5WL83iJyut4AaABAg	11	11	2019-09-19 14:30:49	The Economist	On Friday at 1:00pm GMT we are hosting a live Q&amp;A about the issues surrounding climate change. What do you want to ask our experts? Oliver Morton, a senior editor at The Economist who specialises in climate science and policy, and Sarah Collinson, the director of this film, will be live to answer your questions.	UC0p5jTq6Xx_DosDFxVXnWaQ	http://www.youtube.com/channel/UC0p5jTq6Xx_DosDFxVXnWaQ	0		
Ugyt1BcOb5WL83iJyut4AaABAg.9-3ex_THYL79Hx2LmrF64g		0	2020-12-31 21:26:32	Jennifer Cuddy	Maybe if more companies developed complementary relationships with eco friendly battery generators with less volts needed for their products things might speed up a bit? Power electronics for renewable energy systems.	UCsWRzD0bdvJVfzr1bMhgNTQ	http://www.youtube.com/channel/UCsWRzD0bdvJVfzr1bMhgNTQ	1	Ugyt1BcOb5WL83iJyut4AaABAg	The Economist
Ugyt1BcOb5WL83iJyut4AaABAg.9-3ex_THYL79-NKaQPYrDi		1	2019-09-27 05:48:58	Bo Rood	Here is the question. Do you understand that there is no such thing as man made carbon, just like there is no such thing as man made oxygen or man made water? Do you understand that this is a fact?	UCwWD1Wa19pkqKxIE9KSE1Xw	http://www.youtube.com/channel/UCwWD1Wa19pkqKxIE9KSE1Xw	1	Ugyt1BcOb5WL83iJyut4AaABAg	The Economist
Ugyt1BcOb5WL83iJyut4AaABAg.9-3ex_THYL79-NKIs8QsJI		2	2019-09-27 05:46:25	Bo Rood	Climate change is a lie, a scam, a fraud.	UCwWD1Wa19pkqKxIE9KSE1Xw	http://www.youtube.com/channel/UCwWD1Wa19pkqKxIE9KSE1Xw	1	Ugyt1BcOb5WL83iJyut4AaABAg	The Economist
Ugyt1BcOb5WL83iJyut4AaABAg.9-3ex_THYL79-GIgzA-9BY		0	2019-09-24 12:17:42	GEORGELET4	@James Foley I don't see your "collosal waste of fossil fuels" but what do you propose that will make the world better for people and wildlife?	UCWTsXCpWs43jFLsiQv1N5EQ	http://www.youtube.com/channel/UCWTsXCpWs43jFLsiQv1N5EQ	1	Ugyt1BcOb5WL83iJyut4AaABAg	The Economist
Ugyt1BcOb5WL83iJyut4AaABAg.9-3ex_THYL79-GHekNiRzR		0	2019-09-24 12:08:39	James Foley	@GEORGELET4 the soil is severely depleted in carbon and artificial fertilisers are being used which is a collosal waste of fossil fuels. The lack of vegetative ground cover causes more huge variations of temperature, as you would see in any ploughed field.	UCU-plT9PZ9ZtGk_1yVqWsNg	http://www.youtube.com/channel/UCU-plT9PZ9ZtGk_1yVqWsNg	1	Ugyt1BcOb5WL83iJyut4AaABAg	The Economist
Ugyt1BcOb5WL83iJyut4AaABAg.9-3ex_THYL79-G5JuCaR1a		0	2019-09-24 10:20:49	GEORGELET4	James Foley What verifiable evidence is there that any of this carbon has had a bad effect?	UCWTsXCpWs43jFLsiQv1N5EQ	http://www.youtube.com/channel/UCWTsXCpWs43jFLsiQv1N5EQ	1	Ugyt1BcOb5WL83iJyut4AaABAg	The Economist
Ugyt1BcOb5WL83iJyut4AaABAg.9-3ex_THYL79-G1hSZppBr		1	2019-09-24 09:49:13	James Foley	The more important carbon sink is in the soil of grasslands. The problem is that it involves cows or megaherbivores. This is a problem because cows have been labelled the problem. The problem though has been the way they are currently managed. Mob/holistic grazing is needed. Follow gabe brown, Greg Judy, Alan savoury	UCU-plT9PZ9ZtGk_1yVqWsNg	http://www.youtube.com/channel/UCU-plT9PZ9ZtGk_1yVqWsNg	1	Ugyt1BcOb5WL83iJyut4AaABAg	The Economist
Ugyt1BcOb5WL83iJyut4AaABAg.9-3ex_THYL79-C_AreELIR		2	2019-09-23 01:33:30	GEORGELET4	"Climate Change" due to fossil fuel CO2 The biggest fraud in the history of science. Address real pollution and poor peoples’ – in Africa and elsewhere - inability to get abundant, reliable energy.	UCWTsXCpWs43jFLsiQv1N5EQ	http://www.youtube.com/channel/UCWTsXCpWs43jFLsiQv1N5EQ	1	Ugyt1BcOb5WL83iJyut4AaABAg	The Economist
Ugyt1BcOb5WL83iJyut4AaABAg.9-3ex_THYL79-CPINl_kkR		1	2019-09-22 23:58:24	Rollling	No, leftish ideologues can not do anything good for the planet.	UCC0HCfy54C6Wmt4E7hs6VMQ	http://www.youtube.com/channel/UCC0HCfy54C6Wmt4E7hs6VMQ	1	Ugyt1BcOb5WL83iJyut4AaABAg	The Economist
Ugyt1BcOb5WL83iJyut4AaABAg.9-3ex_THYL79-5cPE33b0g		1	2019-09-20 08:46:59	kim warburton	Id like links on how to find info on compatible species. My local eco groups r focusing on trees. To contribute, i resorting to collecting some of the local fallen acorn beech sycamore acorn n hazel nuts this autumn, currently holding them in fridge in an attempt to trick them into sprouting 1 season early inside my flat. Can seeding a forest with local compatible species n then letting nature take over be an effective shortcut to the natural rewilding? Concerned folk NEED to feel n see a tangible contribution Also, can u address why some folk have hopped onto the agenda 21, sun dimming, depopulation, carbon tax being a ponzi, heading for iceage (best argument being desalination killing gulf stream that warms NW europe) etc etc etc Cos its causing many to feel their efforts not needed Also gov subsidies in fossil fuels n why those companies not getting into renewables (they cld b our greatest assest if they wanted n still make profit, only gov subsidies keepin them competitive n thus keepin them from desire to change)	UCKYN_Q4NN7S76UGMTgDs90A	http://www.youtube.com/channel/UCKYN_Q4NN7S76UGMTgDs90A	1	Ugyt1BcOb5WL83iJyut4AaABAg	The Economist
